Store #,City,State,BU,Region,Market,Upstream Node,Max Packages, Launch Week, Launch Date:,Van Launch,# of Vans
2362,SOUTH EUCLID,OH,NORTH BU,20,209,Grove City RDC,360,35,10/1/25,,
2429,SPRINGFIELD,OH,NORTH BU,21,223,Grove City RDC,190,35,10/1/25,,
2615,VALDOSTA,GA,SOUTHEAST BU,3,27,MCO1,80,35,10/1/25,,
2628,LEXINGTON,KY,NORTH BU,41,260,IND3,210,35,10/1/25,,
2687,GREER,SC,EAST BU,4,35,NC9,238,35,10/1/25,,
2700,WHITE LAKE,MI,NORTH BU,19,203,MI9,119,35,10/1/25,,
2725,LEWIS CENTER,OH,NORTH BU,21,217,Grove City RDC,210,35,10/1/25,,
2791,GEORGETOWN,DE,EAST BU,22,285,NJ9,310,35,10/1/25,,
2806,BOILING SPRINGS,SC,EAST BU,4,42,NC9,350,35,10/1/25,,
2872,VAN BUREN TWP,MI,NORTH BU,19,197,MI9,274,35,10/1/25,,
2931,SALISBURY,MD,EAST BU,22,285,NJ9,180,35,10/1/25,,
2962,POMPANO BEACH,FL,SOUTHEAST BU,9,108,FL9,100,35,10/1/25,,
2963,CORAL SPRINGS,FL,SOUTHEAST BU,9,108,FL9,100,35,10/1/25,,
2967,FT WRIGHT,KY,NORTH BU,21,225,IND3,160,35,10/1/25,,
2986,NEENAH,WI,NORTH BU,53,439,IL9,220,35,10/1/25,,
3342,AMELIA,OH,NORTH BU,21,225,IND3,110,35,10/1/25,,
3348,LAKE PARK,FL,SOUTHEAST BU,9,107,FL9,100,35,10/1/25,,
3363,OWENSBORO,KY,NORTH BU,41,254,KY9,135,35,10/1/25,,
3469,LINDEN,NJ,EAST BU,17,175,NJ9,1000,35,10/1/25,,
3487,SHELBY TOWNSHIP,MI,NORTH BU,19,206,MI9,194,35,10/1/25,,
3602,SPRINGFIELD,IL,NORTH BU,25,275,IND3,238,35,10/1/25,,
3645,MIDLAND,TX,SOUTHWEST BU,7,73,DFW5,200,35,10/1/25,,
3784,FRANKLIN,OH,NORTH BU,21,221,Grove City RDC,160,35,10/1/25,,
4224,CONOVER,NC,EAST BU,26,304,NC9,190,35,10/1/25,,
4323,KANKAKEE,IL,NORTH BU,25,262,IL9,120,35,10/1/25,,
4410,GRANITE FALLS,NC,EAST BU,26,304,NC9,224,35,10/1/25,,
4440,IRMO,SC,EAST BU,4,41,NC9,200,35,10/1/25,,
4446,WEST PALM BEACH,FL,SOUTHEAST BU,9,107,FL9,100,35,10/1/25,,
4521,LEXINGTON,SC,EAST BU,4,41,NC9,250,35,10/1/25,,
4609,CINCINNATI,OH,NORTH BU,21,225,IND3,200,35,10/1/25,,
5064,KALAMAZOO,MI,NORTH BU,19,201,MI9,322,35,10/1/25,,
5082,PARMA,OH,NORTH BU,20,214,Grove City RDC,350,35,10/1/25,,
5160,JACKSON,MI,NORTH BU,19,202,MI9,184,35,10/1/25,,
5278,CHICOPEE,MA,EAST BU,16,154,PHL5,373,35,10/1/25,,
5298,GASTONIA,NC,EAST BU,26,305,NC9,250,35,10/1/25,,
5301,WEST PALM BEACH,FL,SOUTHEAST BU,9,107,FL9,100,35,10/1/25,,
5385,DEFIANCE,OH,NORTH BU,19,207,MI9,156,35,10/1/25,,
5399,DIXON,IL,NORTH BU,25,279,IL9,140,35,10/1/25,,
5403,URBANA,IL,NORTH BU,25,273,IND3,162,35,10/1/25,,
5472,SALINE,MI,NORTH BU,19,202,MI9,100,35,10/1/25,,
5487,TRAVELERS REST,SC,EAST BU,4,35,NC9,170,35,10/1/25,,
5499,MILFORD,OH,NORTH BU,21,221,IND3,180,35,10/1/25,,
5616,NASHVILLE,TN,SOUTHEAST BU,12,153,KY9,329,35,10/1/25,,
5857,WESTERVILLE,OH,NORTH BU,21,219,Grove City RDC,200,35,10/1/25,,
5893,NOVI,MI,NORTH BU,19,203,MI9,268,35,10/1/25,,
6476,DANVILLE,IN,NORTH BU,41,482,IND3,120,35,10/1/25,,
6878,HAZEL GREEN,AL,SOUTHEAST BU,12,5,KY9,150,35,10/1/25,,
1671,PAPILLION,NE,WEST BU,47,432,ORD1,140,35,10/1/25,,
1826,VISALIA,CA,WEST BU,57,581,LAX1,100,35,10/1/25,,
1989,LOMPOC,CA,WEST BU,57,447,LAX1,111,35,10/1/25,,
2050,HENDERSON,NV,WEST BU,57,396,LAX1,234,35,10/1/25,,
2119,MILPITAS,CA,WEST BU,56,511,LAX1,300,35,10/1/25,,
2729,FORT COLLINS,CO,WEST BU,54,378,DFW5,114,35,10/1/25,,
3150,COUNCIL BLUFFS,IA,WEST BU,47,432,ORD1,80,35,10/1/25,,
3267,OMAHA,NE,WEST BU,47,432,ORD1,130,35,10/1/25,,
3278,LINCOLN,NE,WEST BU,47,433,ORD1,150,35,10/1/25,,
3566,DENVER,CO,WEST BU,54,380,DFW5,343,35,10/1/25,,
3582,COLORADO SPRINGS,CO,WEST BU,54,391,DFW5,385,35,10/1/25,,
5337,CLOVIS,CA,WEST BU,57,449,LAX1,280,35,10/1/25,,
5341,BROOMFIELD,CO,WEST BU,54,379,DFW5,178,35,10/1/25,,
5435,SAN JOSE,CA,WEST BU,56,451,LAX1,250,35,10/1/25,,
5956,VISALIA,CA,WEST BU,57,581,LAX1,90,35,10/1/25,,
249,CLEVELAND,TX,SOUTHWEST BU,13,503,Sealy RDC,106,37,10/15/25,,
316,ATTALLA,AL,SOUTHEAST BU,14,3,Lagrange RDC,176,37,10/15/25,,
329,ANNISTON,AL,SOUTHEAST BU,14,10,Lagrange RDC,220,37,10/15/25,,
459,COVINGTON,GA,SOUTHEAST BU,2,25,Lagrange RDC,230,37,10/15/25,,
477,SODDY DAISY,TN,SOUTHEAST BU,12,119,Lagrange RDC,260,37,10/15/25,,
494,NEWNAN,GA,SOUTHEAST BU,14,16,Lagrange RDC,110,37,10/15/25,,
520,WINDER,GA,SOUTHEAST BU,2,21,Lagrange RDC,170,37,10/15/25,,
529,LA MARQUE,TX,SOUTHWEST BU,6,61,Sealy RDC,185,37,10/15/25,,
546,RICHMOND,TX,SOUTHWEST BU,6,62,Sealy RDC,160,37,10/15/25,,
588,ALBANY,GA,SOUTHEAST BU,3,27,Lagrange RDC,140,37,10/15/25,,
618,HIRAM,GA,SOUTHEAST BU,2,26,Lagrange RDC,310,37,10/15/25,,
681,GUNTERSVILLE,AL,SOUTHEAST BU,12,5,Lagrange RDC,250,37,10/15/25,,
691,FORT PAYNE,AL,SOUTHEAST BU,14,3,Lagrange RDC,165,37,10/15/25,,
740,OZARK,AL,SOUTHEAST BU,14,7,Lagrange RDC,181,37,10/15/25,,
744,HUMBLE,TX,SOUTHWEST BU,6,59,Sealy RDC,300,37,10/15/25,,
752,PASADENA,TX,SOUTHWEST BU,6,63,Sealy RDC,262,37,10/15/25,,
780,MONROE,GA,SOUTHEAST BU,2,21,Lagrange RDC,130,37,10/15/25,,
808,LAKE JACKSON,TX,SOUTHWEST BU,6,61,Sealy RDC,107,37,10/15/25,,
855,UNION CITY,GA,SOUTHEAST BU,2,20,Lagrange RDC,391,37,10/15/25,,
856,BREMEN,GA,SOUTHEAST BU,2,22,Lagrange RDC,149,37,10/15/25,,
930,MONTGOMERY,AL,SOUTHEAST BU,14,8,Lagrange RDC,220,37,10/15/25,,
932,GRIFFIN,GA,SOUTHEAST BU,14,16,Lagrange RDC,120,37,10/15/25,,
1111,HARTWELL,GA,SOUTHEAST BU,2,21,Lagrange RDC,177,37,10/15/25,,
1150,COLLEGE STATION,TX,SOUTHWEST BU,6,85,Sealy RDC,182,37,10/15/25,,
1181,MARIETTA,GA,SOUTHEAST BU,2,26,Lagrange RDC,290,37,10/15/25,,
1215,CALHOUN,GA,SOUTHEAST BU,12,120,Lagrange RDC,172,37,10/15/25,,
1314,BUFORD,GA,SOUTHEAST BU,2,24,Lagrange RDC,380,37,10/15/25,,
1373,LILBURN,GA,SOUTHEAST BU,2,23,Lagrange RDC,380,37,10/15/25,,
1403,CORNELIA,GA,SOUTHEAST BU,2,18,Lagrange RDC,168,37,10/15/25,,
1488,DOUGLASVILLE,GA,SOUTHEAST BU,2,22,Lagrange RDC,260,37,10/15/25,,
1766,MARIETTA,GA,SOUTHEAST BU,2,24,Lagrange RDC,336,37,10/15/25,,
2439,BAYTOWN,TX,SOUTHWEST BU,6,60,Sealy RDC,106,37,10/15/25,,
2534,DOTHAN,AL,SOUTHEAST BU,14,7,Lagrange RDC,210,37,10/15/25,,
2584,TUCKER,GA,SOUTHEAST BU,2,23,Lagrange RDC,326,37,10/15/25,,
2811,ATHENS,GA,SOUTHEAST BU,2,21,Lagrange RDC,150,37,10/15/25,,
2890,MACON,GA,SOUTHEAST BU,2,32,Lagrange RDC,160,37,10/15/25,,
3226,KATY,TX,SOUTHWEST BU,6,65,Sealy RDC,350,37,10/15/25,,
3390,WOODLANDS,TX,SOUTHWEST BU,13,68,Sealy RDC,262,37,10/15/25,,
3461,PEACHTREE CITY,GA,SOUTHEAST BU,14,16,Lagrange RDC,120,37,10/15/25,,
3510,PEARLAND,TX,SOUTHWEST BU,6,62,Sealy RDC,310,37,10/15/25,,
3585,SPRING,TX,SOUTHWEST BU,13,68,Sealy RDC,335,37,10/15/25,,
3591,MONTGOMERY,TX,SOUTHWEST BU,13,68,Sealy RDC,123,37,10/15/25,,
3609,ELLENWOOD,GA,SOUTHEAST BU,2,19,Lagrange RDC,240,37,10/15/25,,
3710,DECATUR,GA,SOUTHEAST BU,2,20,Lagrange RDC,350,37,10/15/25,,
3874,DAWSONVILLE,GA,SOUTHEAST BU,2,18,Lagrange RDC,220,37,10/15/25,,
4436,ALPHARETTA,GA,SOUTHEAST BU,2,24,Lagrange RDC,270,37,10/15/25,,
5091,CYPRESS,TX,SOUTHWEST BU,6,67,Sealy RDC,440,37,10/15/25,,
5151,ROME,GA,SOUTHEAST BU,12,120,Lagrange RDC,252,37,10/15/25,,
5173,DALTON,GA,SOUTHEAST BU,12,120,Lagrange RDC,205,37,10/15/25,,
5275,WOODSTOCK,GA,SOUTHEAST BU,2,26,Lagrange RDC,370,37,10/15/25,,
5449,MISSOURI CITY,TX,SOUTHWEST BU,6,62,Sealy RDC,290,37,10/15/25,,
5709,LOCUST GROVE,GA,SOUTHEAST BU,2,19,Lagrange RDC,200,37,10/15/25,,
7280,CULLMAN,AL,SOUTHEAST BU,14,2,Lagrange RDC,151,37,10/15/25,,
541,COVINGTON,LA,SOUTHWEST BU,13,128,DFW5,120,49,1/7/26,,
680,GREENEVILLE,TN,SOUTHEAST BU,12,123,NC9,90,49,1/7/26,,
1136,PORT ALLEN,LA,SOUTHWEST BU,13,131,DFW5,120,49,1/7/26,,
1163,NEW ORLEANS,LA,SOUTHWEST BU,13,125,DFW5,250,49,1/7/26,,
1424,COLONIAL HEIGHTS,VA,EAST BU,75,290,CLT1,130,49,1/7/26,,
1523,GLEN ALLEN,VA,EAST BU,75,290,CLT1,180,49,1/7/26,,
1525,MECHANICSVILLE,VA,EAST BU,75,287,CLT1,160,49,1/7/26,,
1656,MEADVILLE,PA,EAST BU,76,228,PHL5,52,49,1/7/26,,
1788,SCARBOROUGH,ME,EAST BU,16,183,PHL1,393,49,1/7/26,,
1973,LAKEWOOD,NY,EAST BU,76,194,PHL5,84,49,1/7/26,,
2330,ROCHESTER,NH,EAST BU,16,183,PHL1,131,49,1/7/26,,
2822,WALKER,LA,SOUTHWEST BU,13,131,DFW5,130,49,1/7/26,,
2913,BOUTTE,LA,SOUTHWEST BU,13,129,DFW5,90,49,1/7/26,,
3281,HARBORCREEK,PA,EAST BU,76,228,PHL5,123,49,1/7/26,,
3535,EPPING,NH,EAST BU,16,157,PHL1,118,49,1/7/26,,
4405,AURORA,IL,NORTH BU,25,264,IL9,170,49,1/7/26,,
4476,CHESTERFIELD,VA,EAST BU,75,290,CLT1,190,49,1/7/26,,
5649,WARRINGTON,PA,EAST BU,22,170,NJ9,310,49,1/7/26,,
7032,HENRICO,VA,EAST BU,75,287,CLT1,140,49,1/7/26,,
