store,BU #,Set,Mod Name,Volume
1427,E – NORTH BU,Week 1,39 J VDR Average_BMX 23,Low
3362,E – NORTH BU,Week 1,39 J VDR Average_BMX 23,Low
200,E – NORTH BU,Week 14,39 S VDR Low_BMX 11,Low
1676,E – NORTH BU,Week 14,39 S VDR Low_BMX 11,Low
3641,E – NORTH BU,Week 14,39 S VDR Low_BMX 11,Low
4118,E – NORTH BU,Week 14,43 S VDR Low_BMX 23,Low
3505,E – NORTH BU,Week 14,43 S VDR Low_Mountain 11,Med
1259,E – NORTH BU,Week 14,43 S VDR Low_Mountain 23,Low
224,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
234,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
1519,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Low
1728,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
2273,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
2588,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
2955,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Low
3529,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
5417,E – NORTH BU,Week 1,46 S VDR Average_Average 11,Med
589,E – NORTH BU,Week 1,46 S VDR Average_BMX 11,Low
1622,E – NORTH BU,Week 1,46 S VDR Average_Cruiser 11,Med
3580,E – NORTH BU,Week 1,46 S VDR Average_Cruiser 11,Med
1948,E – NORTH BU,Week 1,46 S VDR Average_Mountain 11,Low
2127,E – NORTH BU,Week 1,46 S VDR High_Average 11,Med
101,E – NORTH BU,Week 1,46 S VDR High_Average 11,Med
5466,E – NORTH BU,Week 1,46 S VDR High_Average 11,Med
5844,E – NORTH BU,Week 1,46 S VDR High_Average 11,Med
1906,F – EAST BU,Week 1,23 S VDR Low_BMX 0,Med
2248,F – EAST BU,Week 1,23 S VDR Low_BMX 0,Low
2583,F – EAST BU,Week 1,23 S VDR Low_BMX 11,Med
2897,F – EAST BU,Week 1,23 S VDR Low_BMX 11,Low
2845,F – EAST BU,Week 1,23 S VDR Low_BMX 11,Low
3491,F – EAST BU,Week 1,23 S VDR Low_BMX 11,Med
3269,F – EAST BU,Week 1,23 S VDR Low_BMX 11,Low
2178,F – EAST BU,Week 1,23 S VDR Low_Mountain 11,Low
2437,F – EAST BU,Week 1,23 S VDR Low_Mountain 11,Low
2797,F – EAST BU,Week 1,23 S VDR Low_Mountain 11,Low
2833,F – EAST BU,Week 1,23 S VDR Low_Mountain 11,Low
2659,F – EAST BU,Week 14,23 S VDR Low_Mountain 11,Low
2805,F – EAST BU,Week 1,25 S VDR Average_BMX 11,Low
5345,F – EAST BU,Week 1,25 S VDR Average_BMX 11,Low
3191,F – EAST BU,Week 1,25 S VDR Average_BMX 11,Low
1243,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
1867,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2022,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2155,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2183,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2185,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2163,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Med
2236,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2312,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2334,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Med
2904,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Med
3200,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Med
5356,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
3869,F – EAST BU,Week 1,25 S VDR Average_Mountain 11,Low
2908,F – EAST BU,Week 14,25 S VDR Low_BMX 11,Low
5495,F – EAST BU,Week 14,25 S VDR Low_BMX 11,Med
3035,F – EAST BU,Week 14,25 S VDR Low_Mountain 0,Med
5129,F – EAST BU,Week 14,25 S VDR Low_Mountain 11,High
1603,F – EAST BU,Week 1,27 S VDR Average_BMX 11,Low
5142,F – EAST BU,Week 1,27 S VDR Average_BMX 11,High
2000,F – EAST BU,Week 1,27 S VDR Average_Cruiser 11,Med
2531,F – EAST BU,Week 1,27 S VDR Average_Mountain 11,Med
2663,F – EAST BU,Week 1,27 S VDR Average_Mountain 11,Low
5229,F – EAST BU,Week 1,27 S VDR Average_Mountain 11,Low
5445,F – EAST BU,Week 1,27 S VDR Average_Mountain 11,Low
1716,F – EAST BU,Week 14,27 S VDR Low_BMX 11,Low
1930,F – EAST BU,Week 14,27 S VDR Low_BMX 11,Low
4636,F – EAST BU,Week 14,27 S VDR Low_BMX 11,Low
2118,F – EAST BU,Week 14,27 S VDR Low_Mountain 11,Low
2228,F – EAST BU,Week 14,27 S VDR Low_Mountain 11,Low
3543,F – EAST BU,Week 14,27 S VDR Low_Mountain 11,Med
1717,F – EAST BU,Week 1,29 S VDR Average_Average 11,Med
1236,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
1244,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
1807,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
1873,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
2096,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
2164,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
2166,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
2205,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
2530,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
2651,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
2747,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
3563,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
2915,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
3700,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
3912,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
4457,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
5731,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
5944,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Med
7009,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
6789,F – EAST BU,Week 1,29 S VDR Average_BMX 11,Low
1452,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
1980,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
2184,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Med
2258,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Med
2564,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
2807,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
5095,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Med
3869,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
2785,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
4372,F – EAST BU,Week 1,29 S VDR Average_Mountain 11,Low
2566,F – EAST BU,Week 14,29 S VDR Low_BMX 11,Low
3489,F – EAST BU,Week 14,29 S VDR Low_BMX 11,Med
5787,F – EAST BU,Week 14,29 S VDR Low_BMX 11,Low
1780,F – EAST BU,Week 14,29 S VDR Low_Mountain 11,Med
1164,F – EAST BU,Week 14,36 S VDR Low_BMX 11,Low
1614,F – EAST BU,Week 14,36 S VDR Low_BMX 11,Low
5481,F – EAST BU,Week 14,36 S VDR Low_BMX 11,Low
627,F – EAST BU,Week 1,39 J VDR Average_BMX 23,Low
881,F – EAST BU,Week 1,39 J VDR Average_BMX 23,Low
1288,F – EAST BU,Week 1,39 J VDR Average_BMX 23,Low
4499,F – EAST BU,Week 1,39 J VDR Average_BMX 23,Low
4594,F – EAST BU,Week 1,39 J VDR Average_BMX 23,Low
1558,F – EAST BU,Week 14,39 J VDR Low_BMX 23,Low
644,F – EAST BU,Week 14,43 S VDR Low_BMX 23,Low
1123,F – EAST BU,Week 14,43 S VDR Low_BMX 23,Med
5346,F – EAST BU,Week 14,43 S VDR Low_BMX 23,Low
2059,F – EAST BU,Week 1,46 S VDR Average_Average 11,Med
2145,F – EAST BU,Week 1,46 S VDR Average_Average 11,Med
3658,F – EAST BU,Week 1,46 S VDR Average_Average 11,Med
1255,F – EAST BU,Week 1,46 S VDR Average_Cruiser 11,Low
1486,F – EAST BU,Week 1,46 S VDR Average_Cruiser 11,Low
2265,F – EAST BU,Week 1,46 S VDR Average_Cruiser 11,Med
5039,F – EAST BU,Week 1,46 S VDR Average_Cruiser 11,Med
1290,F – EAST BU,Week 1,46 S VDR Average_Mountain 11,Med
1529,F – EAST BU,Week 1,46 S VDR Average_Mountain 11,High
1924,F – EAST BU,Week 1,46 S VDR Average_Mountain 11,Med
2859,F – EAST BU,Week 1,46 S VDR High_Average 11,Med
2302,I – SUBDIVISION I,Week 1,25 S VDR Low_Mountain 11,Med
1822,I – SUBDIVISION I,Week 1,27 S VDR Average_Mountain 11,Med
2067,I – SUBDIVISION I,Week 1,27 S VDR Average_Mountain 11,High
2346,I – SUBDIVISION I,Week 1,27 S VDR Low_Mountain 11,High
1854,I – SUBDIVISION I,Week 14,27 S VDR Low_Mountain 11,High
5793,I – SUBDIVISION I,Week 14,29 S VDR Low_Mountain 11,Med
2072,I – SUBDIVISION I,Week 14,43 S VDR Low_Mountain 11,Med
4606,M – WEST BU,Week 1,23 S VDR Average_Average 11,Low
2071,M – WEST BU,Week 1,23 S VDR Average_BMX 11,Med
5766,M – WEST BU,Week 14,23 S VDR Low_BMX 0,Low
784,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Low
1838,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Low
1877,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Med
2314,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Med
2479,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Med
3217,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Low
5751,M – WEST BU,Week 1,23 S VDR Low_BMX 11,Low
2320,M – WEST BU,Week 1,23 S VDR Low_Mountain 11,Low
5996,M – WEST BU,Week 1,25 S VDR Average_Average 11,Med
2333,M – WEST BU,Week 1,25 S VDR Average_BMX 11,Low
2672,M – WEST BU,Week 1,25 S VDR Average_BMX 11,Low
2711,M – WEST BU,Week 1,25 S VDR Average_BMX 11,Low
4355,M – WEST BU,Week 1,25 S VDR Average_BMX 11,Low
3053,M – WEST BU,Week 1,25 S VDR Average_Mountain 11,Med
43,M – WEST BU,Week 1,25 S VDR Average_Mountain 11,Low
1506,M – WEST BU,Week 1,25 S VDR Average_Mountain 11,Low
1683,M – WEST BU,Week 1,25 S VDR Average_Mountain 11,Low
1732,M – WEST BU,Week 14,25 S VDR Low_BMX 11,Low
2935,M – WEST BU,Week 14,25 S VDR Low_BMX 11,Low
5676,M – WEST BU,Week 14,25 S VDR Low_Mountain 11,Low
1979,M – WEST BU,Week 1,27 S VDR Average_BMX 11,Low
867,M – WEST BU,Week 1,27 S VDR Average_Mountain 11,Med
1415,M – WEST BU,Week 1,27 S VDR Average_Mountain 11,Low
2617,M – WEST BU,Week 1,27 S VDR Average_Mountain 11,Low
3853,M – WEST BU,Week 1,27 S VDR Average_Mountain 11,Med
3151,M – WEST BU,Week 1,27 S VDR Average_Mountain 11,Low
4689,M – WEST BU,Week 1,27 S VDR High_Mountain 11,Low
1693,M – WEST BU,Week 14,27 S VDR Low_BMX 11,Med
2492,M – WEST BU,Week 14,27 S VDR Low_BMX 11,Low
2536,M – WEST BU,Week 14,27 S VDR Low_BMX 11,Med
1696,M – WEST BU,Week 1,29 S VDR Average_Average 11,Low
2269,M – WEST BU,Week 1,29 S VDR Average_Average 11,Med
4488,M – WEST BU,Week 1,29 S VDR Average_Average 11,Med
4653,M – WEST BU,Week 1,29 S VDR Average_Average 11,Med
776,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
1600,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Low
1697,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
1915,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Low
2321,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
2517,M – WEST BU,Week 1,29 S VDR Average_BMX 11,High
5219,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Low
3524,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
3847,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Low
3712,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
4221,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
4393,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
4678,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Low
3650,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Med
4568,M – WEST BU,Week 1,29 S VDR Average_BMX 11,Low
1692,M – WEST BU,Week 1,29 S VDR Average_Cruiser 11,Med
5807,M – WEST BU,Week 1,29 S VDR Average_Cruiser 11,High
1956,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Med
2031,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Med
2119,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Med
2457,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Med
2648,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,High
3364,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Low
3794,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Med
3754,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Low
4284,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Low
4696,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Low
4734,M – WEST BU,Week 1,29 S VDR Average_Mountain 11,Low
2292,M – WEST BU,Week 1,29 S VDR High_Average 11,Med
2751,M – WEST BU,Week 1,29 S VDR High_Mountain 11,Med
1583,M – WEST BU,Week 14,29 S VDR Low_BMX 11,Med
1965,M – WEST BU,Week 14,29 S VDR Low_BMX 11,Med
2251,M – WEST BU,Week 14,29 S VDR Low_BMX 11,Med
2579,M – WEST BU,Week 14,29 S VDR Low_BMX 11,Low
2608,M – WEST BU,Week 14,29 S VDR Low_BMX 11,Med
3087,M – WEST BU,Week 14,36 S VDR Low_BMX 11,Med
6392,M – WEST BU,Week 14,36 S VDR Low_BMX 11,Low
2947,M – WEST BU,Week 14,36 S VDR Low_BMX 11,Med
2927,M – WEST BU,Week 1,39 J VDR Average_Mountain 23,Med
5370,M – WEST BU,Week 1,39 J VDR Average_Mountain 23,Med
1491,M – WEST BU,Week 14,43 S VDR Low_Mountain 23,Low
2131,M – WEST BU,Week 14,43 S VDR Low_Mountain 23,Low
5441,M – WEST BU,Week 14,43 S VDR Low_Mountain 23,Low
1332,M – WEST BU,Week 1,46 S VDR Average_Average 11,Med
1905,M – WEST BU,Week 1,46 S VDR Average_Average 11,Med
2051,M – WEST BU,Week 1,46 S VDR Average_Average 11,Med
3582,M – WEST BU,Week 1,46 S VDR Average_Average 11,Med
5051,M – WEST BU,Week 1,46 S VDR Average_Average 11,Med
3380,M – WEST BU,Week 1,46 S VDR Average_Average 11,Med
372,M – WEST BU,Week 1,46 S VDR Average_BMX 11,Med
1617,M – WEST BU,Week 1,46 S VDR Average_Mountain 11,Med
2004,M – WEST BU,Week 1,46 S VDR High_Average 11,Med
1604,M – WEST BU,Week 14,46 S VDR Low_BMX 11,Med
