Store Number,Vehicle Count,Install Date,Install Time,,,,,,,,
6963,1,7/3/2025,6:30 PM,,,,,,,,
8930,1,6/10/2025,6:30 PM,,,,,,,,
563,1,6/28/2025,7:30 PM,,,,,,,,
613,2,6/16/2025,8:00 PM,,,,,,,,
860,1,6/20/2025,6:30 PM,,,,,,,,
1079,1,6/16/2025,6:30 PM,,,,,,,,
1182,1,6/21/2025,7:00 AM,,,,,,,,
1391,2,6/20/2025,8:00 PM,,,,,,,,
3310,1,6/28/2025,6:30 PM,,,,,,,,
1231,1,6/19/2025,6:30 PM,,,,,,,,
1252,3,6/17/2025,6:30 PM,,,,,,,,
1308,1,6/20/2025,7:45 PM,,,,,,,,
1492,2,6/10/2025,7:00 AM,,,,,,,,
1689,1,6/11/2025,8:15 AM,,,,,,,,
2125,1,6/19/2025,8:00 AM,,,,,,,,
2223,2,6/18/2025,7:00 AM,,,,,,,,
2751,1,6/20/2025,9:00 PM,,,,,,,,
2752,1,6/13/2025,6:30 PM,,,,,,,,
2892,3,6/18/2025,6:30 PM,,,,,,,,
3019,1,6/13/2025,9:00 PM,,,,,,,,
3126,1,6/12/2025,6:30 PM,,,,,,,,
3128,2,6/14/2025,6:30 PM,,,,,,,,
3313,2,6/12/2025,8:00 PM,,,,,,,,
3533,1,6/13/2025,7:30 PM,,,,,,,,
3566,2,6/14/2025,8:30 PM,,,,,,,,
3824,1,6/20/2025,7:00 AM,,,,,,,,
3867,1,6/19/2025,7:45 PM,,,,,,,,
4196,1,6/11/2025,7:00 AM,,,,,,,,
4284,1,6/19/2025,7:00 AM,,,,,,,,
4288,2,6/10/2025,8:00 PM,,,,,,,,
4567,2,6/11/2025,6:30 PM,,,,,,,,
4734,2,6/21/2025,7:00 AM,,,,,,,,
4747,1,6/17/2025,7:00 AM,,,,,,,,
5049,1,6/20/2025,6:30 PM,,,,,,,,
5137,2,6/14/2025,7:00 AM,,,,,,,,
5334,1,6/12/2025,7:00 AM,,,,,,,,
5341,1,6/10/2025,6:30 PM,,,,,,,,
5957,2,6/16/2025,7:00 AM,,,,,,,,
1611,1,6/28/2025,6:30 PM,,,,,,,,
1754,1,6/26/2025,8:00 PM,,,,,,,,
1987,2,6/25/2025,6:30 PM,,,,,,,,
2354,2,6/24/2025,8:00 PM,,,,,,,,
2559,2,6/19/2025,8:00 PM,,,,,,,,
2618,1,6/17/2025,6:30 PM,,,,,,,,
2692,1,6/24/2025,6:30 PM,,,,,,,,
2700,2,6/27/2025,6:30 PM,,,,,,,,
2872,1,6/18/2025,9:15 PM,,,,,,,,
2873,1,6/19/2025,6:30 PM,,,,,,,,
2912,2,6/16/2025,8:00 PM,,,,,,,,
3336,1,6/16/2025,6:30 PM,,,,,,,,
3476,1,6/18/2025,8:00 PM,,,,,,,,
3487,1,6/20/2025,6:30 PM,,,,,,,,
4424,2,6/20/2025,8:00 PM,,,,,,,,
4540,1,6/26/2025,6:30 PM,,,,,,,,
5048,2,6/17/2025,8:00 PM,,,,,,,,
5842,1,6/28/2025,9:00 PM,,,,,,,,
5844,1,6/18/2025,6:30 PM,,,,,,,,
1191,2,6/13/2025,8:30 PM,,,,,,,,
1288,1,6/13/2025,6:30 PM,,,,,,,,
2137,1,6/12/2025,7:45 PM,,,,,,,,
2845,1,6/20/2025,8:00 PM,,,,,,,,
3182,1,6/12/2025,6:30 PM,,,,,,,,
500,2,6/18/2025,7:00 AM,,,,,,,,
512,1,6/20/2025,8:00 PM,,,,,,,,
964,1,6/20/2025,6:30 PM,,,,,,,,
1015,3,6/18/2025,6:30 PM,,,,,,,,
2201,1,6/20/2025,8:00 AM,,,,,,,,
2612,1,6/17/2025,8:00 AM,,,,,,,,
3661,1,6/17/2025,7:00 AM,,,,,,,,
3763,3,6/17/2025,6:30 PM,,,,,,,,
4415,1,6/20/2025,7:00 AM,,,,,,,,
5717,3,6/19/2025,6:30 PM,,,,,,,,
5947,2,6/19/2025,7:00 AM,,,,,,,,
54,3,6/26/2025,7:00 AM,,,,,,,,
100,5,6/27/2025,6:30 PM,,,,,,,,
144,3,6/27/2025,7:00 AM,,,,,,,,
359,4,6/26/2025,6:30 PM,,,,,,,,
4108,4,6/25/2025,6:30 PM,,,,,,,,
5260,4,6/28/2025,6:30 PM,,,,,,,,
5261,3,6/28/2025,7:00 AM,,,,,,,,
953,1,6/19/2025,9:00 PM,,,,,,,,
1815,1,6/19/2025,8:15 PM,,,,,,,,
1882,1,6/19/2025,8:15 AM,,,,,,,,
2001,1,6/19/2025,6:30 PM,,,,,,,,
2985,2,6/18/2025,8:00 PM,,,,,,,,
4238,1,6/19/2025,7:00 AM,,,,,,,,
5337,1,6/18/2025,6:30 PM,,,,,,,,
5701,1,6/20/2025,7:00 AM,,,,,,,,
1923,2,7/8/2025,8:00 PM,,,,,,,,
1942,1,7/9/2025,8:15 AM,,,,,,,,
2493,1,7/9/2025,6:30 PM,,,,,,,,
2567,1,7/8/2025,6:30 PM,,,,,,,,
2620,1,7/10/2025,7:00 AM,,,,,,,,
3328,1,7/9/2025,8:30 PM,,,,,,,,
5386,1,7/9/2025,7:00 AM,,,,,,,,
905,4,6/16/2025,6:30 PM,,,,,,,,
1132,1,6/20/2025,6:30 PM,,,,,,,,
1498,2,6/18/2025,7:45 PM,,,,,,,,
1558,1,6/14/2025,7:45 PM,,,,,,,,
1613,1,6/16/2025,7:45 PM,,,,,,,,
1842,1,6/18/2025,6:30 PM,,,,,,,,
2704,1,6/19/2025,8:00 PM,,,,,,,,
3304,1,6/14/2025,9:00 PM,,,,,,,,
3305,1,6/14/2025,6:30 PM,,,,,,,,
3658,1,6/19/2025,6:30 PM,,,,,,,,
4477,1,6/16/2025,9:00 PM,,,,,,,,
5320,2,6/17/2025,7:00 AM,,,,,,,,
396,2,6/26/2025,7:00 AM,,,,,,,,
631,1,6/26/2025,7:30 PM,,,,,,,,
644,1,6/27/2025,7:00 AM,,,,,,,,
1130,1,6/27/2025,8:00 PM,,,,,,,,
1244,1,6/25/2025,6:30 PM,,,,,,,,
2265,1,6/27/2025,6:30 PM,,,,,,,,
3191,1,6/25/2025,9:00 PM,,,,,,,,
3192,1,6/26/2025,6:30 PM,,,,,,,,
3222,1,6/26/2025,9:00 PM,,,,,,,,
5487,1,6/25/2025,7:45 PM,,,,,,,,
1891,1,6/26/2025,9:00 PM,,,,,,,,
2282,1,6/26/2025,6:30 PM,,,,,,,,
2299,2,6/26/2025,7:00 AM,,,,,,,,
5095,1,6/26/2025,7:45 PM,,,,,,,,
194,1,6/10/2025,9:00 PM,,,,,,,,
297,1,6/10/2025,7:00 AM,,,,,,,,
351,1,6/18/2025,9:00 PM,,,,,,,,
529,2,6/17/2025,7:00 AM,,,,,,,,
546,1,6/17/2025,9:00 PM,,,,,,,,
703,1,6/18/2025,7:30 PM,,,,,,,,
744,2,6/13/2025,7:00 AM,,,,,,,,
752,1,6/13/2025,8:30 PM,,,,,,,,
768,1,6/12/2025,6:30 PM,,,,,,,,
772,1,6/10/2025,8:30 PM,,,,,,,,
849,1,6/12/2025,7:30 PM,,,,,,,,
872,1,6/16/2025,7:30 PM,,,,,,,,
915,2,6/18/2025,7:00 AM,,,,,,,,
1040,1,6/26/2025,7:00 AM,,,,,,,,
1062,1,6/12/2025,7:00 AM,,,,,,,,
1103,1,6/28/2025,7:00 AM,,,,,,,,
1137,2,6/12/2025,7:00 AM,,,,,,,,
1279,1,6/20/2025,7:00 AM,,,,,,,,
1409,1,6/21/2025,7:00 AM,,,,,,,,
1837,2,6/14/2025,7:00 AM,,,,,,,,
2066,1,6/11/2025,8:30 PM,,,,,,,,
2257,1,6/25/2025,7:00 AM,,,,,,,,
2505,1,6/14/2025,6:30 PM,,,,,,,,
2724,1,6/13/2025,7:30 PM,,,,,,,,
2993,1,6/17/2025,7:30 PM,,,,,,,,
3213,2,6/19/2025,7:00 AM,,,,,,,,
3226,1,6/12/2025,7:30 PM,,,,,,,,
3296,1,6/13/2025,6:30 PM,,,,,,,,
3297,2,6/11/2025,7:00 AM,,,,,,,,
3298,1,6/14/2025,8:00 PM,,,,,,,,
3302,1,6/10/2025,7:00 AM,,,,,,,,
3390,1,7/2/2025,7:00 AM,,,,,,,,
3425,1,6/13/2025,6:30 PM,,,,,,,,
3452,1,6/13/2025,8:00 PM,,,,,,,,
3500,1,6/10/2025,7:30 PM,,,,,,,,
3509,1,6/10/2025,7:30 PM,,,,,,,,
3510,1,6/16/2025,8:30 PM,,,,,,,,
3542,1,6/10/2025,6:30 PM,,,,,,,,
3572,1,6/14/2025,8:30 PM,,,,,,,,
