Reg,BU,Market,Store Number,Threshold Met?
76,F,292,3639,No
21,E,217,2725,No
52,M,415,646,No
64,O,533,5863,No
72,O,96,5106,No
17,F,190,3221,No
7,B,569,5808,No
59,O,485,998,Yes
19,E,204,2644,No
2,A,24,7185,No
20,E,258,696,No
46,B,371,2482,Yes
59,O,502,6226,No
57,M,405,1442,No
46,B,372,2112,No
52,M,418,1475,No
21,E,239,3747,No
59,O,554,7339,No
72,O,538,3111,No
7,B,74,7281,No
47,M,411,5219,No
41,E,482,3781,Yes
41,E,243,2968,No
25,E,267,1933,No
13,B,141,874,No
3,A,112,4681,Yes
46,B,370,5124,No
2,A,26,3471,No
13,B,132,402,No
42,A,135,1109,No
11,A,146,106,No
21,E,225,2447,Yes
54,M,582,4696,No
6,B,61,1405,No
72,O,559,4159,No
75,F,315,4697,No
57,M,484,2948,Yes
46,B,366,1325,No
11,A,4,176,No
14,A,13,4497,No
54,M,380,4284,Yes
52,M,422,3498,No
12,A,153,688,No
52,M,413,4606,No
21,E,221,3571,No
64,O,543,7099,No
53,E,439,1471,No
47,M,406,2562,No
64,O,533,3202,No
59,O,566,5716,No
60,M,476,3742,No
5,B,51,3482,No
17,F,162,2898,No
64,O,58,7251,No
26,F,308,1613,No
13,B,66,283,No
61,O,491,3153,No
76,F,320,2833,No
47,M,407,4209,No
5,B,53,5889,Yes
64,O,526,5782,No
25,E,275,1451,No
54,M,403,5235,No
2,A,25,3388,No
64,O,58,3594,No
17,F,174,2090,No
14,A,8,938,No
17,F,175,4153,No
75,F,282,3490,No
54,M,585,3824,No
9,A,105,987,Yes
2,A,21,5482,No
16,F,183,2398,No
47,M,406,419,No
26,F,301,4459,No
2,A,32,7246,No
72,O,545,5771,No
59,O,546,4519,No
14,A,14,3785,Yes
59,O,566,4188,No
11,A,329,62,No
16,F,159,1970,No
42,A,325,1065,No
47,M,407,341,No
75,F,508,2799,No
14,A,8,700,No
9,A,91,3782,No
47,M,411,342,No
76,F,192,2785,No
72,O,548,2391,Yes
64,O,533,5323,No
22,F,165,2254,No
9,A,91,1374,No
16,F,179,1919,No
26,F,297,4484,Yes
16,F,154,2683,No
20,E,317,4278,No
64,O,541,3736,No
26,F,306,1027,No
59,O,546,5198,No
17,F,174,2497,No
59,O,499,7205,No
72,O,537,4579,No
2,A,26,3611,No
9,A,108,2962,Yes
16,F,156,2329,No
59,O,499,7180,No
16,F,183,2659,No
12,A,149,695,No
9,A,115,5264,No
26,F,296,2137,No
25,E,264,786,No
57,M,446,5152,No
72,O,537,3168,No
64,O,507,3508,No
22,F,234,5888,Yes
41,E,251,996,No
64,O,58,5624,Yes
72,O,559,3617,No
44,B,352,3430,No
52,M,422,1952,No
3,A,98,1173,No
61,O,491,3173,No
21,E,221,1441,No
21,E,223,3641,No
42,A,127,1169,No
64,O,507,5840,No
58,M,463,1832,Yes
72,O,544,4189,No
13,B,66,1204,No
46,B,370,5835,No
14,A,7,1462,No
76,F,192,5282,Yes
17,F,162,1891,Yes
61,O,397,5269,No
25,E,273,550,No
22,F,178,3830,No
42,A,135,1110,No
22,F,168,3810,No
64,O,526,4366,No
61,O,397,5423,Yes
4,F,300,1166,No
64,O,543,3042,No
46,B,367,3884,Yes
61,O,515,5691,No
16,F,179,2178,No
13,B,66,449,No
6,B,83,5479,No
64,O,562,7309,No
72,O,103,4617,Yes
11,A,138,1271,No
58,M,364,1328,No
21,E,217,2426,No
17,F,171,2917,No
11,A,145,2322,No
58,M,461,1899,Yes
59,O,497,377,No
41,E,243,2691,No
6,B,63,3425,No
40,E,361,1094,No
56,M,511,5434,Yes
64,O,58,3392,No
41,E,249,1459,No
52,M,421,1858,No
19,E,207,4479,No
13,B,130,1206,Yes
25,E,269,1735,No
16,F,188,3583,No
5,B,55,1118,Yes
64,O,561,5021,Yes
58,M,459,5140,No
19,E,200,5386,No
59,O,485,2442,No
22,F,285,2272,No
14,A,10,733,No
59,O,502,7174,Yes
13,B,143,1088,No
40,E,341,1418,No
52,M,426,1546,No
53,E,444,5438,No
53,E,263,1490,No
54,M,403,2207,Yes
72,O,544,4691,No
13,B,132,543,No
2,A,30,1293,No
61,O,557,4180,No
47,M,411,1054,No
64,O,507,4655,No
76,F,192,1731,No
21,E,248,4231,No
56,M,468,2320,No
22,F,178,1921,No
72,O,559,3817,No
59,O,496,5279,No
64,O,542,3745,No
58,M,445,2333,No
41,E,242,1053,No
60,M,475,5869,No
41,E,251,1013,No
12,A,120,756,No
76,F,280,2790,Yes
42,A,322,373,No
64,O,528,5490,No
72,O,544,3424,No
19,E,207,5030,No
2,A,30,1143,No
44,B,349,162,No
72,O,538,4470,No
6,B,65,4111,No
26,F,301,1379,No
42,A,324,5244,No
21,E,225,4609,No
76,F,192,1813,No
26,F,301,1950,No
64,O,533,3615,No
56,M,392,3408,No
40,E,360,834,No
42,A,334,7249,No
75,F,312,1243,No
75,F,287,1730,No
6,B,64,3302,No
17,F,162,2170,No
60,M,471,3801,No
72,O,492,6943,No
46,B,375,5003,No
42,A,334,338,No
59,O,497,4145,No
64,O,533,5314,Yes
4,F,38,627,No
53,E,444,1650,No
61,O,552,2468,No
46,B,370,2113,Yes
11,A,11,764,No
41,E,260,493,No
4,F,39,795,No
41,E,249,3529,No
44,B,410,2893,No
46,B,370,5329,No
25,E,267,3725,No
26,F,297,1953,No
72,O,538,4478,No
25,E,279,636,No
59,O,496,7162,No
75,F,312,3770,No
12,A,124,3852,No
41,E,242,5417,No
12,A,123,1159,No
47,M,433,2847,No
59,O,509,6243,No
52,M,423,5992,No
26,F,296,1579,No
72,O,559,5846,Yes
17,F,172,2916,No
26,F,296,3182,No
72,O,534,5738,No
44,B,409,346,No
16,F,188,2351,No
21,E,217,1239,No
22,F,170,2445,No
59,O,509,6828,No
42,A,327,167,No
6,B,83,280,No
53,E,263,933,No
19,E,203,4540,No
19,E,213,3809,No
76,F,228,5445,Yes
59,O,499,7146,No
16,F,157,2640,No
59,O,546,4527,No
25,E,273,798,No
58,M,461,1912,Yes
58,M,464,2242,Yes
4,F,29,606,No
60,M,474,4249,No
17,F,175,5281,No
72,O,103,5615,Yes
57,M,470,2314,No
22,F,284,2041,No
7,B,569,2765,No
26,F,302,3701,No
64,O,570,4676,No
41,E,256,1675,No
58,M,463,1805,No
72,O,559,5875,Yes
16,F,180,2634,No
40,E,339,145,No
26,F,298,1558,No
6,B,64,2718,No
64,O,542,3743,No
52,M,414,1732,No
22,F,170,2446,No
54,M,376,5137,No
26,F,309,1255,No
72,O,537,5789,No
61,O,490,3176,No
22,F,558,2518,No
12,A,153,3717,Yes
64,O,507,5364,No
17,F,176,3598,No
58,M,461,1747,Yes
6,B,62,2505,No
42,A,135,149,No
58,M,466,5644,Yes
21,E,225,3342,No
4,F,29,7181,No
5,B,52,206,No
16,F,184,2057,No
22,F,165,1869,No
14,A,97,1223,No
57,M,446,2621,No
25,E,269,1228,No
9,A,91,1084,No
61,O,481,5658,Yes
11,A,140,2939,No
54,M,379,4288,No
58,M,463,2181,Yes
59,O,566,7342,No
53,E,436,1365,No
26,F,298,3304,No
16,F,189,2146,No
41,E,256,589,No
26,F,298,3658,No
44,B,350,232,No
76,F,292,1904,Yes
52,M,423,1786,No
17,F,163,2965,No
7,B,77,5245,No
47,M,432,4568,No
47,M,429,5170,No
54,M,389,962,No
40,E,272,198,No
64,O,542,3746,No
52,M,413,3394,No
19,E,206,3487,No
26,F,301,1197,No
13,B,141,1106,No
4,F,41,2214,No
54,M,376,1492,Yes
26,F,297,5292,No
7,B,88,3623,No
52,M,421,4374,No
42,A,135,1193,No
59,O,496,3713,Yes
4,F,29,728,No
21,E,221,1503,No
46,B,370,4232,Yes
72,O,492,5780,No
21,E,217,1595,No
20,E,209,2506,No
42,A,327,83,No
72,O,544,4756,No
17,F,172,2583,Yes
54,M,582,4689,No
3,A,98,1082,No
72,O,538,5693,No
14,A,10,356,No
61,O,557,5206,No
41,E,271,196,No
20,E,235,2588,Yes
17,F,577,3443,No
60,M,472,2317,No
59,O,546,6732,No
13,B,131,1196,No
6,B,83,475,No
19,E,204,5097,No
46,B,368,4336,No
21,E,223,3765,No
72,O,549,3629,No
16,F,181,4389,No
17,F,174,2582,No
56,M,450,1587,No
56,M,452,5231,No
9,A,108,1589,Yes
22,F,166,5495,Yes
44,B,410,42,No
22,F,170,3564,No
64,O,561,2976,No
61,O,491,3154,No
4,F,29,2832,No
16,F,154,2289,No
64,O,507,5336,No
64,O,533,5286,No
5,B,51,5672,No
16,F,189,2264,No
54,M,380,1308,Yes
17,F,171,2915,No
25,E,264,1553,No
41,E,242,3294,No
72,O,96,5365,No
16,F,154,2901,No
6,B,82,2133,No
21,E,246,2020,No
16,F,181,2639,No
19,E,200,1923,No
52,M,415,1509,No
47,M,406,978,No
19,E,197,4383,Yes
3,A,94,857,No
56,M,455,3712,Yes
19,E,238,1487,No
61,O,557,4494,No
60,M,478,2538,No
16,F,180,3269,No
52,M,412,3761,No
57,M,448,5162,No
56,M,454,2464,Yes
42,A,127,876,No
59,O,496,5923,No
2,A,24,3462,No
44,B,410,368,No
19,E,238,1618,No
58,M,445,1588,Yes
56,M,455,2418,No
2,A,30,4144,Yes
44,B,47,117,No
40,E,340,805,No
76,F,320,4372,No
19,E,200,2238,No
56,M,450,2030,No
4,F,294,1317,No
7,B,80,3567,No
19,E,200,2102,No
47,M,411,484,No
60,M,478,3258,Yes
20,E,311,3772,No
4,F,42,629,No
59,O,546,5903,No
61,O,512,5635,No
21,E,221,3502,No
72,O,538,6971,No
7,B,73,626,No
75,F,289,5922,No
56,M,452,2697,Yes
46,B,369,1532,No
16,F,187,2092,No
16,F,187,3334,No
19,E,203,1423,No
72,O,548,4434,No
5,B,49,5810,Yes
60,M,477,1784,Yes
14,A,10,863,No
14,A,16,4200,No
54,M,585,2752,No
64,O,507,6170,No
72,O,545,6531,No
5,B,50,266,No
22,F,165,5476,Yes
72,O,537,4128,No
6,B,62,915,No
19,E,206,2692,No
40,E,359,203,No
57,M,448,1660,Yes
40,E,341,361,No
11,A,136,716,No
20,E,214,5066,No
17,F,226,4276,Yes
64,O,533,2876,No
11,A,11,425,No
20,E,311,1336,No
41,E,482,1518,No
17,F,162,2200,No
46,B,368,1549,Yes
75,F,293,2248,No
75,F,282,2279,Yes
72,O,538,3062,No
13,B,134,498,No
52,M,413,751,No
64,O,507,2880,No
22,F,165,2109,No
75,F,293,3804,Yes
60,M,514,5073,No
9,A,108,1916,Yes
6,B,59,849,No
72,O,538,7072,No
72,O,534,4686,No
2,A,32,1076,No
64,O,533,2877,No
44,B,349,3229,No
40,E,362,1599,No
54,M,585,2223,No
52,M,421,3806,No
13,B,68,602,No
6,B,83,77,No
53,E,435,2668,No
57,M,446,3650,Yes
72,O,103,5945,Yes
17,F,175,2825,No
17,F,164,2547,No
58,M,460,2527,No
21,E,219,5857,Yes
60,M,471,3757,No
53,E,439,1727,No
40,E,335,337,No
64,O,526,5962,No
76,F,286,6952,No
41,E,256,1170,No
46,B,372,5428,No
57,M,447,1600,No
57,M,581,5215,No
44,B,356,324,No
22,F,178,5142,Yes
47,M,427,2033,No
17,F,161,2283,No
6,B,62,5449,No
59,O,497,4443,No
17,F,176,5867,Yes
72,O,548,6207,No
72,O,492,6975,No
25,E,275,334,No
13,B,129,542,No
26,F,296,3612,No
57,M,448,2297,No
44,B,351,276,No
6,B,84,463,No
60,M,472,5273,No
6,B,87,2404,No
5,B,52,5211,No
7,B,78,470,No
44,B,410,39,No
26,F,308,1849,No
76,F,192,3842,No
20,E,317,1360,No
60,M,467,4137,Yes
64,O,543,5081,No
54,M,388,4377,No
61,O,557,5205,No
16,F,159,2128,No
17,F,162,2331,No
61,O,552,5979,No
46,B,384,5492,No
19,E,200,2567,No
59,O,502,4184,No
64,O,507,5093,Yes
20,E,316,2810,No
12,A,153,659,No
53,E,436,1672,No
40,E,336,354,No
16,F,181,2369,No
58,M,364,1175,No
64,O,526,5108,No
61,O,481,3140,No
21,E,221,1289,No
6,B,65,1409,Yes
52,M,414,647,No
54,M,388,1095,No
5,B,583,8930,Yes
59,O,485,4198,No
6,B,85,4183,No
21,E,239,1480,No
17,F,171,2906,No
11,A,145,466,No
41,E,260,1210,No
22,F,285,1715,No
14,A,14,7247,No
14,A,97,858,No
7,B,71,1051,No
3,A,112,1501,No
11,A,140,708,No
56,M,511,2031,No
40,E,362,2490,No
54,M,582,1827,No
53,E,425,982,No
53,E,263,5044,No
3,A,27,1006,No
54,M,379,5370,No
25,E,268,1897,No
46,B,369,5189,Yes
41,E,482,1557,No
64,O,533,2393,No
13,B,132,415,No
19,E,207,5029,No
17,F,161,3301,No
47,M,407,1282,No
13,B,134,4295,No
25,E,273,612,No
9,A,553,3235,Yes
11,A,329,229,No
44,B,347,81,No
44,B,409,3103,No
46,B,373,5186,No
64,O,543,5832,No
57,M,447,5134,Yes
58,M,461,5425,Yes
7,B,78,458,No
44,B,47,240,No
2,A,20,3067,Yes
11,A,137,1100,No
58,M,466,2206,No
52,M,413,2935,No
42,A,135,976,No
7,B,77,5144,No
52,M,418,1621,No
19,E,205,1592,No
64,O,543,5776,No
76,F,286,2564,No
40,E,272,1395,No
12,A,5,332,No
60,M,467,3537,Yes
52,M,418,985,No
53,E,436,4281,No
2,A,32,2890,No
26,F,306,2134,Yes
16,F,179,1974,No
13,B,125,2706,Yes
11,A,11,362,No
9,A,108,1398,Yes
57,M,396,1560,No
57,M,470,3883,No
25,E,262,852,No
75,F,288,1682,No
21,E,221,2309,No
58,M,459,3494,No
64,O,507,3457,Yes
2,A,19,745,No
41,E,271,833,No
47,M,406,1214,No
59,O,496,3899,Yes
52,M,419,1634,No
13,B,129,961,No
6,B,87,292,No
11,A,136,1530,No
76,F,228,5360,No
57,M,484,2886,Yes
20,E,317,6951,No
19,E,213,1445,No
64,O,570,3385,No
52,M,414,1389,No
76,F,292,5880,No
57,M,449,2001,Yes
54,M,585,5957,Yes
17,F,190,5732,Yes
5,B,44,3285,No
19,E,197,5842,No
5,B,583,3224,No
16,F,156,2267,No
7,B,78,490,No
46,B,373,6480,Yes
17,F,163,2232,No
3,A,98,4444,No
57,M,465,4132,Yes
42,A,328,1147,No
72,O,544,5248,Yes
14,A,14,1174,No
60,M,467,5853,No
25,E,262,1548,No
25,E,262,1386,No
2,A,22,727,No
72,O,537,7242,No
5,B,52,5311,No
46,B,372,1334,No
6,B,67,4538,No
14,A,13,1481,No
44,B,410,111,No
72,O,537,5737,No
54,M,389,2672,No
25,E,278,197,No
56,M,457,5133,No
17,F,176,5111,No
57,M,449,1815,Yes
2,A,22,1047,No
41,E,242,5418,Yes
47,M,382,2608,No
16,F,157,2903,No
47,M,433,350,No
47,M,429,7129,No
9,A,107,5301,Yes
47,M,433,4600,No
64,O,526,3661,No
52,M,421,1738,No
22,F,170,5131,No
16,F,188,2152,Yes
16,F,184,1907,No
54,M,401,3789,Yes
42,A,325,127,No
64,O,533,2875,No
53,E,425,1038,No
12,A,153,710,No
46,B,387,4341,No
40,E,272,436,No
60,M,474,2865,No
60,M,477,2422,No
53,E,441,1267,No
58,M,365,4543,No
13,B,141,2717,Yes
58,M,462,1941,Yes
64,O,507,4585,No
61,O,481,3139,No
16,F,180,2681,No
75,F,314,4636,No
20,E,227,5088,No
22,F,167,3541,No
40,E,272,4259,No
25,E,273,3255,No
6,B,67,703,No
9,A,118,2484,No
57,M,446,3087,Yes
64,O,526,4105,No
52,M,423,2448,No
7,B,569,413,No
9,A,105,3417,No
17,F,174,2604,No
41,E,260,507,No
21,E,221,3784,No
72,O,102,5451,No
11,A,138,1059,No
60,M,477,1793,No
25,E,266,1256,No
21,E,218,3251,No
12,A,151,7020,No
53,E,436,5444,No
25,E,264,1848,No
76,F,292,2038,No
25,E,268,1892,No
44,B,410,1187,No
6,B,62,872,No
6,B,87,765,No
3,A,28,686,No
40,E,272,454,No
13,B,68,3585,No
72,O,492,3599,No
56,M,454,2598,No
25,E,273,2491,No
64,O,543,6577,No
60,M,472,2196,No
6,B,83,3169,No
21,E,239,1729,No
64,O,541,4048,No
41,E,251,1629,No
17,F,173,2954,No
20,E,209,1857,No
64,O,543,5774,No
25,E,273,254,No
21,E,222,2542,No
64,O,562,6590,No
76,F,195,1909,No
21,E,222,5355,No
53,E,442,3499,No
2,A,24,878,No
20,E,227,2603,No
75,F,314,3768,No
64,O,542,3752,No
59,O,496,6174,No
53,E,435,3488,No
3,A,104,3415,Yes
4,F,38,642,No
47,M,430,3853,No
3,A,101,1225,No
9,A,109,1349,Yes
19,E,213,5309,No
64,O,507,6942,No
7,B,78,791,No
52,M,423,3513,No
59,O,496,3646,Yes
76,F,286,4514,No
22,F,233,5795,No
19,E,213,2613,No
5,B,583,1800,Yes
40,E,341,4695,No
64,O,533,5805,No
72,O,538,3238,No
26,F,309,1452,No
58,M,459,5996,No
20,E,214,1839,No
13,B,46,3828,No
16,F,159,2122,Yes
5,B,51,2973,No
40,E,340,295,No
25,E,278,1028,Yes
52,M,413,1393,No
5,B,51,5673,No
14,A,7,740,No
4,F,36,1358,No
72,O,544,5256,No
60,M,514,5041,No
17,F,173,2897,No
20,E,317,2646,No
64,O,507,3340,No
16,F,154,1967,Yes
52,M,426,1625,No
2,A,22,3205,No
41,E,254,257,No
64,O,526,4415,No
6,B,65,3226,No
41,E,253,3362,No
7,B,74,1249,No
19,E,200,3458,No
21,E,223,2124,No
3,A,98,1172,No
42,A,334,92,No
72,O,96,5132,No
3,A,112,5964,Yes
76,F,286,1406,No
59,O,497,3628,No
60,M,478,1775,No
4,F,42,1144,No
11,A,137,409,No
4,F,42,3733,No
25,E,270,1413,No
72,O,102,5453,No
19,E,207,3445,No
20,E,316,2849,No
40,E,333,2175,No
60,M,475,1870,No
64,O,526,6813,No
11,A,138,239,No
58,M,464,2082,Yes
14,A,7,1638,No
53,E,444,1276,No
22,F,178,2195,Yes
21,E,219,5466,No
9,A,115,1171,Yes
22,F,232,3634,No
47,M,381,1456,No
52,M,421,1722,No
21,E,247,1639,No
16,F,188,2504,No
16,F,154,5278,Yes
2,A,25,548,No
25,E,270,1531,No
59,O,509,5013,No
64,O,533,2984,No
75,F,288,3214,No
26,F,298,3305,No
41,E,482,6476,No
7,B,86,3058,No
42,A,325,318,No
64,O,526,5960,No
4,F,29,635,No
58,M,464,3248,Yes
4,F,38,630,No
59,O,498,5908,No
7,B,86,4102,No
20,E,311,3480,No
52,M,426,2714,No
60,M,476,5461,No
58,M,365,1370,No
72,O,545,4357,No
57,M,581,5956,Yes
41,E,271,252,No
4,F,310,1312,No
25,E,275,1602,Yes
22,F,285,4378,No
9,A,115,528,No
46,B,370,2766,No
16,F,187,2424,No
72,O,559,4565,No
56,M,392,3254,No
56,M,453,2052,No
56,M,511,2025,No
19,E,206,4424,No
7,B,77,3112,No
26,F,304,1131,No
7,B,86,999,No
20,E,258,1743,No
44,B,409,186,No
16,F,157,2660,No
59,O,554,2465,No
26,F,301,5851,No
47,M,427,1695,No
19,E,203,2700,No
14,A,13,5262,No
16,F,156,2118,No
9,A,108,2789,Yes
59,O,566,2488,No
57,M,447,4317,No
75,F,290,5847,No
44,B,352,360,No
4,F,39,1130,No
11,A,138,305,No
40,E,357,166,No
46,B,367,5799,Yes
40,E,362,2855,No
14,A,13,4330,No
57,M,396,2050,Yes
46,B,375,873,No
11,A,147,218,No
14,A,97,4427,Yes
4,F,42,4237,No
58,M,462,1756,No
3,A,111,3372,Yes
54,M,403,5763,No
41,E,580,2563,No
26,F,298,5320,No
52,M,414,748,No
13,B,134,170,No
17,F,172,3420,Yes
53,E,435,1167,No
16,F,189,2093,Yes
56,M,457,2044,No
41,E,271,233,No
40,E,336,5477,No
4,F,300,1352,No
2,A,30,1024,No
44,B,352,387,No
56,M,450,5710,Yes
76,F,192,1619,Yes
17,F,173,3548,Yes
54,M,378,1008,No
56,M,392,4370,No
26,F,306,4574,No
42,A,325,33,No
11,A,11,1052,No
57,M,449,5701,No
61,O,481,3138,No
52,M,413,1491,No
44,B,347,63,No
22,F,168,1670,No
46,B,385,829,No
14,A,10,355,No
52,M,418,784,No
76,F,195,2088,No
76,F,320,1653,No
47,M,427,1581,No
75,F,281,2045,Yes
21,E,239,2388,No
72,O,102,6968,No
14,A,13,1229,No
40,E,361,4553,Yes
22,F,237,1640,No
26,F,308,2472,No
6,B,62,2993,No
41,E,271,222,No
4,F,294,1795,No
9,A,108,3858,Yes
42,A,326,24,No
41,E,243,1157,No
25,E,270,4641,No
17,F,164,2905,No
52,M,412,4244,No
46,B,370,1598,No
56,M,392,1648,No
44,B,47,468,No
25,E,273,2934,No
21,E,223,1331,No
52,M,422,3404,Yes
52,M,422,2087,Yes
17,F,173,3546,No
76,F,283,2258,No
16,F,157,3114,Yes
19,E,205,3632,No
53,E,438,1277,No
60,M,473,3217,No
58,M,459,1917,No
25,E,267,2816,No
75,F,282,3481,No
2,A,30,2754,No
14,A,14,1493,No
21,E,222,1333,No
56,M,452,3493,No
19,E,207,1913,No
14,A,14,2760,No
14,A,97,5172,No
75,F,289,3644,No
22,F,165,3339,Yes
25,E,268,1681,Yes
60,M,475,2492,No
76,F,231,5356,No
9,A,92,174,No
7,B,506,1198,No
26,F,302,1661,No
6,B,63,2724,No
20,E,215,1911,Yes
14,A,10,329,No
47,M,427,3875,No
16,F,184,3549,No
58,M,463,1915,No
75,F,282,5228,No
60,M,478,3239,No
40,E,357,173,No
58,M,464,2523,No
20,E,316,5296,No
3,A,101,6978,Yes
41,E,482,1275,No
57,M,448,1563,Yes
58,M,460,2494,Yes
7,B,71,927,No
7,B,71,3826,No
54,M,391,3805,No
20,E,216,1724,No
19,E,203,2869,No
2,A,32,2733,No
40,E,360,325,No
5,B,76,561,No
19,E,203,1754,No
16,F,160,2095,No
52,M,419,4849,No
26,F,301,1641,No
2,A,26,618,No
20,E,208,3860,Yes
11,A,145,4533,No
56,M,455,5136,Yes
21,E,219,5184,No
56,M,511,2648,Yes
21,E,218,1427,No
5,B,479,940,No
44,B,352,2804,No
75,F,291,5731,No
19,E,202,1642,No
17,F,162,5777,No
72,O,559,5265,No
59,O,546,2858,No
25,E,275,3602,No
5,B,51,5210,No
64,O,526,6587,No
72,O,538,7127,No
40,E,359,820,No
9,A,90,1220,Yes
53,E,444,5463,No
11,A,329,70,No
42,A,321,388,No
42,A,127,87,No
19,E,204,1422,No
16,F,183,2153,No
58,M,462,3796,Yes
26,F,305,4594,No
2,A,32,758,No
52,M,415,2004,No
14,A,15,3075,Yes
13,B,131,5056,No
61,O,551,5684,Yes
16,F,156,3409,No
46,B,385,4201,No
75,F,312,2762,No
7,B,73,898,No
17,F,161,2373,No
6,B,60,3298,No
75,F,289,1688,No
17,F,163,2900,No
17,F,173,2585,No
4,F,42,1281,No
4,F,39,514,No
56,M,453,1979,No
4,F,42,4593,No
13,B,132,2938,No
41,E,251,995,No
44,B,410,5307,No
42,A,328,1114,No
56,M,468,1772,No
16,F,184,2142,No
42,A,127,450,No
4,F,35,3191,No
53,E,441,1176,No
52,M,424,1577,No
22,F,178,5414,No
16,F,179,2143,No
12,A,149,4483,No
4,F,39,624,No
44,B,409,4321,No
6,B,85,846,No
4,F,38,2703,No
17,F,164,1959,Yes
25,E,265,1779,No
41,E,243,7087,No
9,A,108,1387,Yes
52,M,413,1435,No
19,E,205,2273,No
13,B,129,3483,No
76,F,194,5027,Yes
44,B,350,225,No
47,M,406,1437,No
54,M,391,1434,No
72,O,537,7317,No
13,B,141,785,No
25,E,278,199,No
75,F,291,4638,No
26,F,301,1502,No
40,E,339,648,No
21,E,259,591,No
13,B,132,310,No
58,M,458,5938,Yes
9,A,90,908,Yes
60,M,471,2594,No
44,B,410,72,No
12,A,149,390,No
7,B,73,897,No
17,F,174,2368,No
56,M,452,1789,Yes
22,F,285,3843,No
56,M,392,3729,Yes
13,B,128,3616,No
41,E,580,566,No
7,B,77,4103,No
42,A,322,54,No
16,F,156,2155,No
25,E,279,633,No
19,E,200,3328,No
16,F,187,5498,No
76,F,228,3253,No
16,F,160,2184,No
5,B,45,1022,No
11,A,140,1710,No
16,F,187,4403,No
53,E,263,1955,No
47,M,383,2607,No
25,E,273,422,No
17,F,171,2286,No
16,F,154,1984,No
5,B,44,3284,Yes
13,B,134,1128,No
53,E,440,1366,No
12,A,120,1469,No
46,B,375,1380,No
64,O,542,4371,No
47,M,432,5361,No
20,E,317,2662,No
6,B,64,3584,Yes
7,B,78,5460,No
7,B,80,429,No
22,F,285,2514,No
53,E,196,2417,No
44,B,347,50,No
46,B,372,2768,No
21,E,225,1443,No
3,A,111,1513,No
57,M,581,1882,Yes
13,B,143,969,No
3,A,93,538,No
57,M,449,2277,Yes
72,O,538,5692,No
3,A,112,1482,No
6,B,64,3827,No
17,F,162,1980,No
76,F,191,3332,No
21,E,219,2726,No
11,A,329,68,No
16,F,160,3561,No
52,M,418,1721,Yes
54,M,389,1384,No
47,M,432,3150,No
61,O,512,5633,No
75,F,290,2808,No
42,A,321,279,No
3,A,111,1390,Yes
17,F,190,2135,No
3,A,28,1018,No
21,E,247,1566,Yes
52,M,412,4253,No
19,E,207,2350,No
76,F,191,1831,No
4,F,310,6879,No
9,A,553,1511,Yes
6,B,82,4219,No
58,M,364,4252,Yes
52,M,412,1545,No
7,B,506,2864,No
44,B,410,242,No
64,O,542,2940,No
75,F,312,1652,No
76,F,228,2909,No
13,B,128,1353,Yes
60,M,478,1925,No
41,E,249,5483,No
21,E,248,1647,No
6,B,82,2991,No
57,M,446,3180,Yes
40,E,362,4611,No
21,E,246,2339,No
46,B,367,3807,No
7,B,80,1958,No
12,A,121,4166,No
7,B,80,397,No
72,O,534,6953,No
40,E,360,195,No
40,E,272,317,No
21,E,223,1495,No
22,F,166,5130,No
12,A,122,2932,No
53,E,441,847,No
47,M,381,4653,No
12,A,149,3137,No
21,E,222,1718,No
3,A,27,7194,No
22,F,233,3501,No
57,M,447,2557,Yes
6,B,63,1062,No
46,B,372,1646,No
16,F,187,1946,No
22,F,167,2236,No
56,M,392,3277,No
60,M,469,2710,No
12,A,124,620,No
16,F,184,3491,No
21,E,218,1368,No
5,B,50,3274,No
42,A,322,914,No
12,A,152,4414,No
56,M,468,5839,Yes
41,E,257,825,No
4,F,39,644,No
26,F,296,5346,No
13,B,130,428,No
2,A,26,3748,No
22,F,168,2614,No
14,A,3,5126,No
72,O,537,2745,No
16,F,154,2228,No
14,A,16,614,No
22,F,170,5012,Yes
12,A,152,568,No
41,E,251,828,No
13,B,503,236,No
41,E,271,262,No
53,E,435,5667,No
41,E,257,1048,No
58,M,462,1922,No
58,M,459,1700,No
53,E,438,971,No
13,B,46,523,No
4,F,37,621,No
20,E,209,5387,No
47,M,407,2784,No
72,O,545,5769,No
46,B,368,5331,No
52,M,415,750,No
22,F,232,2481,No
20,E,227,4644,No
47,M,433,3278,No
12,A,5,7324,No
41,E,253,294,No
5,B,48,353,No
5,B,50,1178,No
20,E,216,2852,No
6,B,60,1137,No
7,B,70,1516,No
26,F,304,948,No
47,M,429,2579,No
46,B,375,2656,No
3,A,27,2615,No
41,E,254,5236,No
64,O,542,4373,No
11,A,4,391,No
41,E,260,720,No
52,M,426,1332,No
60,M,478,5396,No
22,F,558,2841,No
60,M,478,2075,No
6,B,84,437,No
3,A,112,3197,Yes
53,E,440,3643,No
20,E,214,2073,Yes
25,E,262,2956,No
76,F,191,2581,Yes
52,M,419,2937,No
40,E,333,56,No
3,A,111,2796,No
40,E,359,25,No
22,F,285,2931,No
75,F,289,5488,No
75,F,291,3588,No
16,F,181,2332,No
16,F,181,2530,No
40,E,341,201,No
58,M,445,1693,No
47,M,433,774,No
40,E,357,86,No
42,A,127,6932,No
4,F,310,5787,No
7,B,74,3381,No
6,B,67,3297,No
60,M,477,1920,No
