DC Number,CHG NUMBER (WITH SNOW APPROVAL HYPERLINK),Application,SHORT CHANGE SUMMARY,Change Start Date (MM/DD/YYYY),Change Link
8348,CHG3376257,Order Fulfillment,Enables Order Fulfillment to send store stocking zone data to Witron ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=83cba2114707265c4e8db5f4236d4325&recordUrl=change_request.do%3Fsys_id%3D83cba2114707265c4e8db5f4236d4325&sysparm_stack=&sysparm_view=
8348,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
8348,CHG3376618,ESS,Replaces the expiring JKS file with a new one for eSalvage batch load in Grocery DCs to maintain secure connections.,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b65a5b51478f221c4757b5f4236d43aa&recordUrl=change_request.do%3Fsys_id%3Db65a5b51478f221c4757b5f4236d43aa&sysparm_stack=&sysparm_view=
8397,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
8397,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
8397,CHG3374345,Receiving,UI Change : DCFIN WAC base URL is changed,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
8397,CHG3376257,Order Fulfillment,Enables Order Fulfillment to send store stocking zone data to Witron ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=83cba2114707265c4e8db5f4236d4325&recordUrl=change_request.do%3Fsys_id%3D83cba2114707265c4e8db5f4236d4325&sysparm_stack=&sysparm_view=
8851,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
8851,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
8852,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
8852,CHG3374345,Receiving,UI Change : DCFIN WAC base URL is changed,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
8852,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
8852,CHG3376257,Order Fulfillment,Enables Order Fulfillment to send store stocking zone data to Witron ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=83cba2114707265c4e8db5f4236d4325&recordUrl=change_request.do%3Fsys_id%3D83cba2114707265c4e8db5f4236d4325&sysparm_stack=&sysparm_view=
7013,CHG3358315,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
3010,CHG3365444,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=42da5bef87f6eed4d32143b6cebb35db&recordUrl=change_request.do%3Fsys_id%3D42da5bef87f6eed4d32143b6cebb35db&sysparm_stack=&sysparm_view=
8852,CHG3372353,Inventory,Updated backend database configuration for accurate processing,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6095a0cd8703aa1c8992eb5d0ebb3504&recordUrl=change_request.do%3Fsys_id%3D6095a0cd8703aa1c8992eb5d0ebb3504&sysparm_stack=&sysparm_view=
7048,CHG3376183,ESS,Enabling Address Book feature for Enterprise Salvage Solution at Grocery DCs.,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=94b0a2d9c347e2d8b7d93adb05013147&recordUrl=change_request.do%3Fsys_id%3D94b0a2d9c347e2d8b7d93adb05013147&sysparm_stack=&sysparm_view=
7010,CHG3377591,Order Fulfillment,Enables pilot CCM config changes for Trip Handout 1.0 (congestion focus),8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4de794ad4787e6d8e7b7be74236d433b&recordUrl=change_request.do%3Fsys_id%3D4de794ad4787e6d8e7b7be74236d433b&sysparm_stack=&sysparm_view=
7021,CHG3358315,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7047,CHG3358315,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7048,CHG3358315,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7077,CHG3358315,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7084,CHG3358315,WTD,Deploys WTD 2.0 enhancements and bug fixes ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
6056,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6056,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6042,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6042,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7013,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7013,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
2971,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
2971,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
2364,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
2364,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
3010,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
3010,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6064,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6064,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6057,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6057,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7021,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7021,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
4047,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
4047,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
4020,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
4020,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
4154,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
4154,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6090,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6090,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6065,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6065,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7047,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7047,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6047,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6047,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6055,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6055,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6072,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6072,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7010,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7010,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6077,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6077,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7048,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7048,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6059,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6059,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6062,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6062,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6085,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6085,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7015,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7015,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6082,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6082,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
7077,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7077,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6074,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6074,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6071,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6071,CHG3376339,FIXit,Migrates the FIXit damage-app to a new cloud cluster ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=d1503add870326d8765cb845dabb35d6&recordUrl=change_request.do%3Fsys_id%3Dd1503add870326d8765cb845dabb35d6&sysparm_stack=&sysparm_view=
6095,CHG3366558,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
