Store,,MAR,69,YTD,70,MAR,71,YTD,72,MAR,73,YTD,74,MAR,75,YTD,76,MAR,77,YTD,78,MAR,79,YTD,80,MAR,81,YTD,82,MAR,83,YTD,84,MAR,85,YTD,86,MAR,87,YTD,88
2105,,5.69%,,2.08%,,5.39%,,2.92%,,12.23%,,19.98%,,15.79%,,3.19%,,19,,57,,55.11%,,59.35%,G,6,,11,,88.12%,,89.19%,,1:06:14,R,1:00:21,R,1400/2576,,1495/2576,
2996,,12.46%,G,17.26%,G,2.50%,,11.87%,,7.56%,,13.85%,,-14.17%,R,-8.68%,R,13,,40,,31.72%,R,41.41%,,8,,30,G,44.93%,,54.04%,,0:51:35,,0:53:24,,2014/2576,,1364/2576,
5092,,15.54%,G,16.51%,G,41.04%,G,48.71%,G,30.39%,G,33.46%,G,75.57%,G,56.19%,G,26,,76,,40.80%,,40.73%,,5,,12,,74.53%,,75.72%,,0:44:57,,0:39:22,,160/2576,G,68/2576,G
Total,B,7.99%,G,8.18%,G,13.69%,,16.69%,,14.53%,,18.12%,,11.29%,,10.32%,,1.33,,1.62,G,45.99%,,47.67%,,0.31,,0.38,,79.76%,,81.21%,G,0:49:21,,0:47:05,,82/394,,38/394,G
260,,1.96%,,3.16%,,9.74%,,15.66%,,8.84%,,14.00%,,-3.47%,,4.05%,,56,G,143,G,59.95%,G,56.01%,G,2,R,13,,68.98%,,75.45%,,0:43:25,,0:37:43,,1313/2576,,617/2576,
286,,6.87%,,7.62%,G,31.31%,G,32.68%,G,17.17%,,11.59%,,18.49%,,18.12%,G,52,G,111,G,49.77%,,50.83%,,28,G,58,G,95.37%,G,100.41%,G,0:55:34,,0:50:53,,291/2576,G,202/2576,G
565,,-1.73%,,1.98%,,10.86%,,13.32%,,0.71%,,-0.80%,R,0.59%,,8.97%,,83,G,118,G,46.01%,,45.50%,,7,,13,,102.99%,G,106.44%,G,0:50:50,,0:48:05,,1380/2576,,1027/2576,
1118,,6.75%,,11.49%,G,26.50%,G,36.73%,G,38.39%,G,35.59%,G,0.52%,,8.83%,,42,,108,G,58.97%,G,58.30%,G,11,,34,G,45.65%,,47.33%,,0:45:07,,0:44:39,,446/2576,G,199/2576,G
2667,,2.37%,,6.46%,G,31.09%,G,43.11%,G,14.80%,,29.12%,G,16.82%,,21.91%,G,77,G,119,G,42.64%,,44.96%,,6,,11,,88.32%,,89.49%,,0:50:25,,0:44:56,,478/2576,G,119/2576,G
4164,,8.21%,G,8.75%,G,27.99%,G,30.25%,G,13.61%,,15.10%,,50.73%,G,26.76%,G,113,G,267,G,49.23%,,51.57%,,2,R,8,,76.92%,,80.49%,,0:33:34,G,0:31:03,G,159/2576,G,84/2576,G
4215,,-0.03%,,2.98%,,-1.22%,R,4.93%,,9.72%,,9.95%,,-6.81%,,-2.90%,,33,,75,,58.59%,G,60.27%,G,5,,9,,89.32%,,96.19%,G,0:53:05,,0:51:58,,1844/2576,,1409/2576,
5191,,8.54%,G,6.33%,G,50.80%,G,60.02%,G,50.00%,G,57.22%,G,65.00%,G,50.74%,G,25,,82,,55.33%,,53.23%,,5,,9,,65.26%,,61.85%,,0:37:09,,0:35:01,G,58/2576,G,43/2576,G
Total,B,4.04%,,6.33%,G,21.81%,G,27.75%,G,17.64%,,20.40%,G,11.79%,,14.26%,G,1.94,G,2.13,G,52.27%,,52.09%,G,0.27,,0.32,,80.98%,,84.18%,G,0:45:22,,0:42:06,,21/394,G,3/394,G
2086,,4.68%,,8.15%,G,-8.43%,R,0.50%,,-10.40%,R,-4.38%,R,4.41%,,17.20%,G,40,,61,,57.11%,G,50.83%,,12,,20,,100.21%,G,100.95%,G,0:37:56,,0:34:59,G,1500/2576,,1035/2576,
2463,,-2.34%,,-2.65%,,13.42%,,20.00%,,36.52%,G,31.66%,G,0.25%,,12.59%,,3,R,12,R,50.54%,,50.71%,,7,,18,,85.60%,,89.20%,,1:14:30,R,1:11:39,R,1474/2576,,990/2576,
2883,,14.09%,G,12.60%,G,60.82%,G,57.46%,G,51.61%,G,55.86%,G,34.75%,G,30.84%,G,17,,40,,64.94%,G,62.33%,G,9,,10,,93.49%,,91.63%,,0:54:08,,0:54:05,,68/2576,G,93/2576,G
3777,,2.46%,,5.21%,,9.50%,,13.90%,,18.82%,,20.46%,,2.55%,,3.90%,,6,,22,,53.58%,,52.15%,,8,,21,,65.06%,,66.73%,,0:49:45,,0:50:25,,1373/2576,,1010/2576,
6300,,-0.56%,,0.16%,,-9.52%,R,2.77%,,-10.92%,R,2.32%,,-1.55%,,0.00%,,13,,18,,42.67%,,44.50%,,13,,14,,68.67%,,59.70%,,0:46:22,,0:42:57,,2269/2576,R,1898/2576,
7178,,1.47%,,3.26%,,8.93%,,14.17%,,-8.70%,R,-5.80%,R,38.15%,G,28.61%,G,18,,62,,54.45%,,56.44%,G,16,G,49,G,99.58%,G,99.26%,G,1:12:29,R,1:16:33,R,1414/2576,,1053/2576,
Total,B,3.22%,,4.55%,G,10.56%,,16.51%,,9.74%,,13.98%,,11.39%,,13.64%,G,0.52,,0.6,,54.71%,G,53.22%,G,0.35,,0.37,,83.68%,G,82.86%,G,0:54:08,,0:52:58,,173/394,,75/394,G
211,,8.53%,G,7.97%,G,24.86%,,18.63%,,2.10%,,1.63%,,22.92%,G,14.16%,,23,,48,,48.00%,,48.72%,,6,,14,,39.14%,R,41.23%,R,0:41:03,,0:39:28,,646/2576,,789/2576,
248,,-6.27%,R,-6.21%,R,-0.92%,R,-1.99%,R,-4.54%,R,-3.54%,R,2.03%,,-6.45%,,3,R,14,,39.83%,,41.97%,,6,,16,,69.16%,,77.41%,,0:58:38,,0:53:15,,2398/2576,R,2368/2576,R
320,,9.26%,G,17.87%,G,26.43%,G,47.59%,G,8.04%,,33.90%,G,-6.43%,,22.37%,G,83,G,167,G,62.77%,G,52.36%,,4,,12,,112.41%,G,110.63%,G,0:23:47,G,0:23:23,G,179/2576,G,Apr-76,G
610,,1.22%,,7.26%,G,13.89%,,23.95%,,8.79%,,15.65%,,0.87%,,10.00%,,7,,17,,46.91%,,46.16%,,2,R,6,,96.91%,G,98.96%,G,0:54:06,,0:56:30,,1378/2576,,651/2576,
746,,9.46%,G,8.60%,G,14.62%,,13.29%,,-1.96%,R,-9.28%,R,11.28%,,10.25%,,53,G,113,G,58.94%,G,57.74%,G,25,G,47,G,89.66%,,95.24%,G,1:08:30,R,1:06:36,R,981/2576,,1046/2576,
939,,1.43%,,3.58%,,23.95%,,42.07%,G,12.20%,,12.87%,,49.78%,G,113.47%,G,70,G,145,G,57.20%,G,51.50%,,13,,21,,95.94%,G,82.77%,,0:46:02,,0:48:26,,304/2576,G,214/2576,G
1254,,7.92%,G,4.82%,,46.53%,G,30.19%,G,38.74%,G,23.29%,,11.13%,,-3.05%,,229,G,371,G,54.53%,,52.64%,,25,G,53,G,63.78%,,61.18%,,0:23:18,G,0:25:30,G,28/2576,G,185/2576,G
5389,,-5.44%,R,-5.70%,R,-3.68%,R,-2.95%,R,-9.57%,R,-9.22%,R,-16.93%,R,-17.58%,R,121,G,250,G,56.25%,G,52.57%,,5,,18,,44.00%,,46.61%,,0:44:03,,0:42:51,,2278/2576,R,2239/2576,R
6929,,2.18%,,-2.67%,,9.88%,,7.51%,,5.34%,,7.47%,,25.24%,G,3.77%,,26,,61,,58.96%,G,57.99%,G,2,R,4,R,87.04%,,84.14%,,0:56:34,,0:47:52,,1265/2576,,1509/2576,
7156,,0.59%,,-1.55%,,6.63%,,5.77%,,4.87%,,5.04%,,-0.27%,,-4.97%,,16,,28,,50.82%,,52.06%,,2,R,6,,42.31%,,52.35%,,0:46:22,,0:43:55,,1818/2576,,1870/2576,
Total,B,2.52%,,2.58%,,14.62%,,15.18%,,5.56%,,5.01%,R,7.40%,,4.74%,,2.04,G,2.02,G,52.33%,,51.02%,,0.29,,0.33,,72.00%,,74.14%,,0:48:25,,0:46:51,,150/394,,132/394,
421,,7.48%,,10.10%,G,19.11%,,18.47%,,7.48%,,7.03%,,14.44%,,24.25%,G,56,G,111,G,52.02%,,45.20%,,38,G,56,G,98.43%,G,103.68%,G,0:42:58,,0:42:01,,356/2576,G,289/2576,G
940,,13.62%,G,7.98%,G,57.62%,G,42.50%,G,40.64%,G,25.15%,G,16.53%,,9.67%,,122,G,206,G,56.93%,G,55.83%,G,115,G,182,G,76.89%,,70.78%,,0:45:33,,0:52:08,,45/2576,G,197/2576,G
972,,1.81%,,-1.44%,,-5.54%,R,-4.76%,R,-11.08%,R,-10.54%,R,2.56%,,-7.33%,R,22,,42,,61.36%,G,63.59%,G,71,G,93,G,40.91%,R,53.64%,,0:51:15,,0:51:06,,2118/2576,R,2229/2576,R
3773,,10.21%,G,7.44%,G,38.72%,G,35.22%,G,44.54%,G,37.36%,G,15.90%,,14.66%,,64,G,96,G,57.00%,G,58.82%,G,61,G,79,G,78.09%,,86.67%,,0:38:38,,0:38:03,,40/2576,G,41/2576,G
5247,,5.39%,,8.87%,G,44.92%,G,55.61%,G,28.27%,G,39.79%,G,45.17%,G,46.58%,G,22,,40,,55.37%,G,55.79%,G,26,G,57,G,70.88%,,75.54%,,0:56:40,,0:59:26,R,240/2576,G,153/2576,G
5312,,2.08%,,0.95%,,19.87%,,20.50%,,9.27%,,11.90%,,32.43%,G,17.67%,G,315,G,600,G,81.84%,G,77.38%,G,235,G,384,G,105.10%,G,107.10%,G,0:32:50,G,0:34:17,G,137/2576,G,135/2576,G
5316,,-2.40%,,-1.35%,,3.13%,,5.51%,,-8.90%,R,-9.26%,R,-11.80%,R,-0.08%,,293,G,531,G,46.64%,,48.72%,,237,G,399,G,36.40%,R,45.03%,,0:40:12,,0:45:35,,1933/2576,,1750/2576,
Total,B,4.80%,,4.12%,,21.63%,G,21.07%,G,10.87%,,10.22%,,13.35%,G,13.04%,G,4.12,G,3.87,G,58.42%,G,57.33%,G,3.61,G,2.98,G,73.83%,,77.83%,,0:43:23,,0:45:02,,16/394,G,21/394,G
259,,5.82%,,5.93%,,39.07%,G,44.09%,G,30.65%,G,42.63%,G,35.41%,G,18.61%,G,33,,54,,49.74%,,52.94%,,2,R,4,R,74.08%,,77.57%,,0:50:08,,0:44:04,,297/2576,G,167/2576,G
789,,0.75%,,2.48%,,11.55%,,16.53%,,-2.16%,R,6.99%,,4.85%,,2.14%,,40,,90,G,57.01%,G,56.40%,G,11,,29,G,62.36%,,69.01%,,0:41:00,,0:40:37,,1231/2576,,809/2576,
1055,,3.66%,,2.37%,,16.19%,,18.61%,,3.87%,,10.00%,,13.33%,,4.26%,,81,G,209,G,48.81%,,48.09%,,54,G,105,G,70.63%,,80.94%,,0:46:47,,0:43:13,,812/2576,,615/2576,
3224,,-0.30%,,0.35%,,15.27%,,16.44%,,10.93%,,9.14%,,3.58%,,0.74%,,94,G,187,G,70.00%,G,72.80%,G,20,G,64,G,94.04%,,99.11%,G,0:46:52,,0:48:29,,754/2576,,750/2576,
3225,,10.29%,G,8.06%,G,57.36%,G,49.10%,G,30.14%,G,28.81%,G,67.17%,G,62.48%,G,107,G,212,G,54.73%,,55.70%,G,18,G,28,,88.48%,,91.17%,,0:31:07,G,0:30:04,G,Jun-76,G,Oct-76,G
Total,B,3.63%,,3.55%,,23.45%,G,25.32%,G,10.41%,,15.42%,,19.40%,G,12.13%,G,2.29,G,2.51,G,55.17%,G,56.45%,G,0.68,G,0.77,G,76.25%,,82.65%,G,0:43:03,,0:41:40,,15/394,G,9/394,G
&nbsp;,B,3.58%,,4.12%,G,17.86%,G,19.81%,G,12.09%,,13.46%,,10.97%,G,10.28%,G,1.72,G,1.73,G,52.91%,G,52.81%,G,0.7,G,0.72,G,80.37%,G,82.23%,G,0:46:21,,0:45:14,,Feb-34,G,Jan-34,G
297,,12.02%,G,8.84%,G,4.10%,,9.66%,,0.86%,,11.31%,,6.95%,,-8.22%,R,52,G,102,G,52.34%,,49.93%,,5,,14,,68.22%,,65.55%,,1:01:20,R,1:00:56,R,1595/2576,,1469/2576,
744,,2.37%,,-0.81%,,18.98%,,19.33%,,19.76%,,20.71%,,39.95%,G,21.09%,G,21,,40,,45.51%,,46.70%,,3,,12,,60.82%,,65.88%,,1:00:55,R,0:56:21,,1014/2576,,952/2576,
849,,2.78%,,-0.93%,,1.89%,,5.14%,,-2.33%,R,2.04%,,1.01%,,-4.24%,,18,,38,,40.15%,,43.10%,,5,,9,,2.19%,R,3.88%,R,0:48:23,,0:45:27,,2172/2576,R,2101/2576,R
1103,,14.99%,G,12.15%,G,63.31%,G,49.01%,G,64.43%,G,46.11%,G,11.63%,,19.63%,G,48,G,110,G,52.65%,,45.27%,,44,G,84,G,75.00%,,70.73%,,0:50:57,,0:49:45,,101/2576,G,112/2576,G
1279,,0.36%,,-0.62%,,6.33%,,12.35%,,22.73%,,21.28%,,-12.14%,R,-11.71%,R,5,R,11,R,59.72%,G,56.13%,G,14,,24,,67.45%,,63.20%,,1:01:18,R,0:54:29,,1754/2576,,1523/2576,
1837,,4.59%,,3.51%,,29.43%,G,31.58%,G,16.12%,,15.87%,,19.65%,G,18.34%,G,45,,89,G,57.14%,G,57.38%,G,39,G,80,G,95.45%,G,98.45%,G,0:45:31,,0:46:47,,188/2576,G,156/2576,G
4298,,4.01%,,3.83%,,6.86%,,9.24%,,17.09%,,12.26%,,-4.70%,,-4.79%,,9,,51,,57.76%,G,58.77%,G,16,G,41,G,50.49%,,53.95%,,1:10:34,R,1:06:37,R,1736/2576,,1558/2576,
6579,,13.38%,G,11.61%,G,46.29%,G,49.83%,G,44.10%,G,47.70%,G,29.98%,G,29.17%,G,28,,50,,49.58%,,50.78%,,28,G,50,G,96.96%,G,94.26%,G,0:52:17,,0:51:03,,70/2576,G,66/2576,G
Total,B,6.81%,G,4.77%,G,19.04%,,21.01%,G,20.29%,G,19.97%,G,8.13%,,4.44%,,0.91,,1.02,,51.89%,,51.54%,,0.62,G,0.65,G,66.15%,,66.31%,,0:56:05,,0:53:18,,73/394,G,68/394,G
194,,-2.61%,,-3.43%,R,18.62%,,17.76%,,11.40%,,11.61%,,-1.28%,,-0.31%,,57,G,66,,44.81%,,42.47%,,12,,16,,26.93%,R,25.65%,R,0:53:32,,0:49:08,,1450/2576,,1450/2576,
522,,6.82%,,4.34%,,19.32%,,16.11%,,7.60%,,8.91%,,18.50%,,11.20%,,56,G,109,G,52.86%,,52.50%,,9,,21,,69.01%,,64.69%,,0:54:29,,0:47:42,,751/2576,,838/2576,
1186,,2.99%,,1.72%,,13.71%,,10.29%,,29.89%,G,21.70%,,-4.20%,,-6.40%,,95,G,166,G,46.61%,,40.25%,,17,G,20,,78.39%,,61.28%,,0:36:49,,0:33:11,G,666/2576,,1059/2576,
2439,,6.28%,,4.38%,,34.76%,G,31.71%,G,43.89%,G,37.91%,G,15.54%,,8.30%,,39,,56,,46.34%,,41.61%,,10,,11,,56.81%,,53.16%,,0:53:37,,0:53:23,,408/2576,G,611/2576,
3298,,5.15%,,-0.39%,,23.37%,,17.39%,,20.90%,,16.12%,,11.23%,,7.48%,,3,R,6,R,48.48%,,43.21%,,6,,8,,98.99%,G,90.19%,,0:51:37,,0:48:32,,594/2576,,1079/2576,
3500,,14.24%,G,11.54%,G,30.92%,G,32.10%,G,22.56%,,21.73%,,28.21%,G,20.92%,G,28,,68,,47.57%,,50.42%,,9,,21,,63.75%,,54.66%,,1:04:05,R,1:00:16,R,457/2576,G,406/2576,G
5116,,-4.08%,R,-1.50%,,6.74%,,14.56%,,2.03%,,5.74%,,-8.49%,R,-0.12%,,43,,45,,57.54%,G,54.22%,G,3,,5,,70.11%,,73.04%,,0:44:32,,0:39:53,,1740/2576,,1223/2576,
Total,B,4.40%,,2.84%,,20.45%,G,20.29%,G,16.07%,,15.56%,,8.59%,,6.16%,,1.48,G,1.23,,48.89%,,46.63%,,0.3,,0.24,,64.12%,,58.25%,,0:53:26,,0:49:19,,85/394,,108/394,
462,,0.73%,,0.06%,,21.01%,,17.76%,,3.42%,,1.71%,,-15.23%,R,-3.49%,,238,G,408,G,74.68%,G,71.50%,G,58,G,108,G,80.30%,,86.68%,,0:49:05,,0:51:38,,933/2576,,991/2576,
504,,-0.13%,,1.02%,,34.87%,G,36.70%,G,18.07%,,23.19%,,9.34%,,7.36%,,80,G,179,G,49.06%,,51.25%,,21,G,47,G,98.58%,G,94.20%,G,0:42:40,,0:39:21,,254/2576,G,139/2576,G
527,,6.71%,,3.55%,,24.53%,,22.19%,,-0.40%,,-1.25%,R,64.04%,G,45.33%,G,35,,102,G,60.00%,G,57.53%,G,12,,38,G,70.30%,,73.94%,,0:41:17,,0:39:49,,365/2576,G,375/2576,G
529,,-3.92%,R,-4.78%,R,10.57%,,15.75%,,3.48%,,7.05%,,8.06%,,10.43%,,67,G,124,G,46.70%,,41.85%,,8,,29,G,46.42%,,47.73%,,0:43:45,,0:40:02,,1489/2576,,1147/2576,
808,,-3.99%,R,-3.01%,,5.07%,,9.43%,,2.55%,,1.74%,,4.79%,,10.08%,,58,G,120,G,57.83%,G,57.31%,G,4,,9,,52.05%,,60.77%,,0:52:02,,0:50:24,,1850/2576,,1532/2576,
1405,,5.11%,,5.98%,,18.71%,,19.60%,,10.52%,,9.36%,,4.93%,,11.24%,,59,G,123,G,60.29%,G,59.03%,G,6,,13,,75.67%,,81.64%,,0:51:43,,0:50:44,,799/2576,,573/2576,
5388,,1.44%,,1.09%,,13.37%,,18.55%,,10.77%,,13.51%,,8.47%,,12.27%,,44,,69,,56.09%,G,55.99%,G,13,,34,G,37.56%,R,38.70%,R,0:50:51,,0:49:30,,1217/2576,,905/2576,
Total,B,0.56%,,0.34%,,18.07%,,19.62%,G,6.10%,,6.75%,,7.08%,,10.80%,,2.68,G,2.68,G,58.22%,G,57.10%,G,0.56,G,0.66,G,65.23%,,68.61%,,0:47:12,,0:45:54,,117/394,,77/394,G
546,,3.89%,,1.28%,,23.26%,,22.64%,,20.76%,,20.24%,,36.86%,G,14.51%,,19,,48,,56.28%,G,56.80%,G,4,,8,,80.72%,,76.15%,,0:44:48,,0:40:57,,391/2576,G,431/2576,G
872,,6.22%,,0.72%,,-0.47%,R,-3.86%,R,2.64%,,0.09%,R,1.69%,,-7.95%,R,16,,30,,58.37%,G,57.54%,G,1,R,5,,49.32%,,41.62%,,1:10:30,R,1:08:24,R,2165/2576,R,2441/2576,R
915,,10.75%,G,11.95%,G,22.23%,,35.46%,G,12.83%,,21.65%,,10.46%,,18.28%,G,115,G,191,G,42.42%,,45.19%,,4,,8,,92.65%,,84.72%,,0:39:34,,0:41:40,,339/2576,G,128/2576,G
2505,,2.18%,,1.72%,,21.89%,,18.84%,,14.85%,,15.09%,,-2.42%,,-10.34%,R,19,,49,,54.61%,,48.15%,,4,,18,,71.12%,,71.79%,,0:54:31,,0:55:10,,1059/2576,,1211/2576,
2993,,-7.14%,R,-7.36%,R,4.45%,,3.34%,,-1.68%,R,-1.35%,R,-7.59%,,-9.46%,R,185,G,324,G,62.18%,G,62.66%,G,36,G,59,G,105.34%,G,103.64%,G,0:53:44,,0:50:10,,1667/2576,,1729/2576,
3510,,-4.46%,R,-5.53%,R,-1.21%,R,0.08%,R,-2.69%,R,3.82%,,0.00%,,-14.94%,R,16,,28,,55.35%,G,52.77%,,4,,7,,70.32%,,73.45%,,0:50:25,,0:55:53,,2177/2576,R,2304/2576,R
3572,,1.16%,,-0.05%,,22.95%,,19.13%,,5.84%,,6.77%,,31.68%,G,14.19%,,26,,74,,43.97%,,43.89%,,23,G,51,G,70.10%,,71.60%,,0:59:08,,0:56:37,,915/2576,,1038/2576,
Total,B,1.96%,,0.55%,,12.37%,,12.24%,,6.89%,,8.75%,,7.83%,,-0.68%,,1.82,G,1.77,G,54.63%,G,54.36%,G,0.35,,0.37,,80.81%,,78.41%,,0:53:08,,0:52:06,,166/394,,196/394,
752,,3.26%,,3.67%,,49.22%,G,69.62%,G,82.05%,G,110.46%,G,-6.41%,,-3.99%,,61,G,101,G,54.97%,,54.09%,,4,,5,,92.09%,,89.90%,,0:51:52,,0:47:55,,349/2576,G,282/2576,G
1062,,-1.85%,,0.35%,,16.31%,,18.43%,,2.88%,,3.75%,,10.03%,,5.40%,,61,G,121,G,52.31%,,51.62%,,9,,16,,27.69%,R,35.54%,R,0:26:13,G,0:24:02,G,920/2576,,787/2576,
3425,,9.74%,G,6.15%,,36.52%,G,33.56%,G,21.47%,,20.56%,,17.19%,,9.33%,,20,,89,G,43.04%,,42.38%,,7,,14,,48.41%,,55.32%,,1:07:46,R,1:09:48,R,691/2576,,730/2576,
5612,,1.94%,,-2.44%,,9.46%,,2.90%,,20.39%,,12.30%,,-12.93%,R,-22.03%,R,23,,63,,30.79%,R,30.83%,R,9,,19,,63.16%,,67.94%,,1:05:32,R,1:03:28,R,1823/2576,,2221/2576,R
Total,B,3.69%,,2.07%,,26.82%,G,27.48%,G,24.08%,G,24.77%,G,1.65%,,-3.27%,R,1.33,,1.56,G,45.52%,,45.02%,,0.23,,0.23,,58.17%,,62.24%,,0:52:54,,0:50:54,,98/394,,120/394,
772,,1.73%,,-0.83%,,3.80%,,9.48%,,1.19%,,4.23%,,8.65%,,7.57%,,10,,18,,44.29%,,42.39%,,2,R,7,,8.68%,R,11.47%,R,0:53:39,,0:51:46,,2146/2576,R,1930/2576,
2066,,-1.38%,,1.15%,,14.19%,,19.56%,,19.83%,,19.66%,,-6.72%,,1.54%,,32,,76,,43.43%,,38.65%,,9,,25,,68.31%,,59.26%,,0:45:52,,0:45:55,,1284/2576,,923/2576,
3296,,1.99%,,-3.69%,R,4.35%,,2.50%,,13.75%,,7.99%,,-9.05%,R,-5.68%,,21,,24,,35.88%,R,37.10%,R,2,R,3,R,67.63%,,66.32%,,0:47:02,,0:44:24,,1839/2576,,2132/2576,R
3302,,-2.88%,,-8.62%,R,64.29%,G,40.89%,G,5.40%,,8.61%,,26.70%,G,8.40%,,70,G,79,,34.13%,R,32.00%,R,13,,21,,57.21%,,52.94%,,0:40:32,,0:49:02,,508/2576,G,1020/2576,
Total,B,-0.40%,,-3.61%,R,17.04%,,15.50%,,10.06%,,9.91%,,6.16%,,3.34%,,1.07,,0.82,,38.82%,R,37.25%,R,0.21,,0.23,,51.39%,R,47.98%,R,0:47:15,,0:47:33,,196/394,,247/394,
344,,1.17%,,-1.82%,,-3.57%,R,-5.15%,R,3.36%,,-1.28%,R,0.91%,,-1.04%,,3,R,7,R,62.42%,G,63.08%,G,3,,3,R,43.79%,,49.40%,,0:42:12,,0:40:24,,2072/2576,R,2206/2576,R
768,,-4.12%,R,-3.68%,R,-0.45%,R,4.84%,,-8.96%,R,-3.37%,R,-12.14%,R,-9.44%,R,75,G,164,G,57.72%,G,56.09%,G,32,G,105,G,45.67%,,37.87%,R,1:06:54,R,1:03:20,R,2344/2576,R,2153/2576,R
1040,,10.11%,G,9.02%,G,14.89%,,19.00%,,7.57%,,14.49%,,-4.23%,,3.40%,,14,,76,,63.10%,G,63.86%,G,10,,20,,79.25%,,71.53%,,0:56:54,,0:52:52,,1106/2576,,677/2576,
3226,,2.16%,,4.18%,,2.80%,,10.04%,,12.20%,,16.40%,,0.84%,,4.45%,,6,,10,R,41.11%,,40.00%,,9,,11,,18.27%,R,19.39%,R,1:03:57,R,1:02:01,R,2200/2576,R,1774/2576,
4111,,19.13%,G,19.50%,G,49.80%,G,58.91%,G,45.18%,G,54.35%,G,43.86%,G,46.75%,G,31,,42,,51.16%,,46.14%,,13,,22,,61.21%,,60.53%,,0:32:48,G,0:32:35,G,24/2576,G,37/2576,G
4512,,12.11%,G,9.47%,G,30.78%,G,30.32%,G,34.49%,G,30.22%,G,16.93%,,6.79%,,3,R,13,,50.69%,,51.27%,,7,,17,,68.71%,,66.82%,,1:07:37,R,1:05:26,R,573/2576,,631/2576,
5246,,1.34%,,-0.54%,,19.94%,,19.14%,,5.14%,,3.57%,,15.91%,,4.77%,,11,,24,,65.85%,G,60.35%,G,2,R,3,R,63.69%,,63.86%,,0:44:27,,0:42:48,,925/2576,,1130/2576,
Total,B,5.71%,G,5.08%,G,16.15%,,20.03%,G,13.73%,,16.86%,,7.75%,,7.69%,,0.66,,0.8,,54.22%,G,52.24%,G,0.35,,0.43,,53.78%,,51.46%,,0:55:30,,0:53:10,,145/394,,88/394,
703,,8.60%,G,7.88%,G,36.27%,G,33.71%,G,18.48%,,19.21%,,30.69%,G,8.43%,,74,G,188,G,51.06%,,51.77%,,20,G,30,G,75.93%,,76.53%,,0:44:01,,0:42:36,,135/2576,G,178/2576,G
2257,,4.04%,,2.42%,,-5.22%,R,-11.71%,R,-5.25%,R,-13.96%,R,-11.85%,R,-13.86%,R,56,G,70,,41.43%,,49.04%,,3,,3,R,46.86%,,37.34%,R,1:07:24,R,1:01:07,R,2428/2576,R,2495/2576,R
3297,,0.11%,,1.80%,,-10.87%,R,1.08%,,-14.09%,R,-0.30%,R,-13.71%,R,-10.31%,R,14,,32,,23.75%,R,27.75%,R,1,R,5,,95.40%,G,94.50%,G,1:00:16,R,1:05:08,R,2483/2576,R,2257/2576,R
4538,,10.53%,G,11.55%,G,48.63%,G,54.61%,G,69.29%,G,69.22%,G,13.55%,,13.27%,,111,G,268,G,40.75%,,43.79%,,15,G,50,G,51.14%,,51.86%,,0:41:27,,0:35:58,,142/2576,G,57/2576,G
5045,,4.38%,,3.77%,,26.97%,G,22.52%,,20.72%,,20.44%,,24.36%,G,11.98%,,23,,28,,41.74%,,38.89%,,10,,12,,18.33%,R,19.07%,R,0:58:38,,0:52:24,,871/2576,,1028/2576,
5091,,3.38%,,0.92%,,24.70%,,24.00%,,16.46%,,16.60%,,24.94%,G,6.64%,,19,,29,,43.79%,,41.82%,,5,,31,G,91.72%,,87.58%,,0:57:10,,1:00:09,R,654/2576,,879/2576,
Total,B,5.25%,,4.71%,G,20.29%,G,20.97%,G,17.07%,,18.01%,,8.72%,,2.27%,,1.6,G,1.71,G,41.38%,,42.78%,,0.29,,0.36,,58.78%,,56.91%,,0:54:14,,0:52:32,,100/394,,102/394,
440,,-1.88%,,-4.51%,R,3.33%,,0.07%,R,-12.82%,R,-13.79%,R,2.56%,,3.30%,,35,,55,,58.52%,G,57.21%,G,47,G,72,G,121.24%,G,118.13%,G,1:25:07,R,1:23:58,R,1813/2576,,1987/2576,
442,,3.39%,,2.56%,,17.30%,,17.27%,,7.14%,,7.68%,,1.54%,,5.33%,,92,G,141,G,60.70%,G,58.93%,G,10,,17,,79.40%,,84.67%,,0:49:30,,0:47:16,,857/2576,,759/2576,
458,,-4.45%,R,-2.40%,,5.76%,,8.27%,,1.09%,,1.04%,,-4.09%,,-0.51%,,14,,28,,52.68%,,48.72%,,3,,10,,54.02%,,42.40%,,1:05:36,R,1:07:05,R,2246/2576,R,2137/2576,R
464,,2.23%,,0.04%,,9.07%,,9.46%,,-7.08%,R,-6.90%,R,5.98%,,0.18%,,63,G,144,G,40.77%,,47.52%,,46,G,95,G,78.54%,,73.70%,,1:04:06,R,1:06:12,R,1625/2576,,1713/2576,
470,,12.52%,G,7.90%,G,20.29%,,25.82%,G,13.48%,,16.07%,,16.60%,,12.68%,,4,R,22,,53.89%,,56.44%,G,17,G,31,G,102.66%,G,102.88%,G,0:37:45,,0:38:34,,249/2576,G,140/2576,G
791,,-2.73%,,-3.04%,,9.60%,,8.93%,,-2.13%,R,-4.92%,R,1.47%,,0.82%,,68,G,169,G,56.28%,G,53.19%,,4,,19,,47.28%,,40.31%,R,0:37:54,,0:35:49,,1504/2576,,1492/2576,
1494,,-2.24%,,-3.01%,,2.68%,,7.67%,,11.84%,,8.70%,,6.32%,,12.10%,,33,,45,,41.19%,,45.80%,,11,,24,,93.59%,,97.32%,G,1:31:51,R,1:31:10,R,1883/2576,,1599/2576,
