Store,Scales,Install Vendor,Install Scheduled Date
976,3,Watcher,8/24/2023
978,3,Telaid,
979,3,Telaid,
980,3,Telaid,6/13/2023
981,3,Watcher,6/26/2023
982,3,Telaid,
984,3,Telaid,
985,3,Telaid,
987,4,Watcher,6/15/2023
988,4,Watcher,8/8/2023
989,3,Watcher,8/30/2023
990,4,Watcher,8/31/2023
991,3,Watcher,7/30/2023
992,3,Telaid,6/13/2023
993,3,Telaid,7/31/2023
994,4,Watcher,6/22/2023
995,3,Watcher,8/9/2023
998,2,Telaid,7/23/2023
999,3,Telaid,
1000,3,Telaid,
1001,3,Telaid,
1002,3,Watcher,7/18/2023
1003,3,Watcher,7/30/2023
1005,3,Telaid,
1006,3,Watcher,9/10/2023
1007,3,Telaid,
1008,3,Telaid,6/11/2023
1009,3,Telaid,
1010,3,Watcher,6/13/2023
1011,3,Watcher,7/30/2023
1012,3,Telaid,
1014,3,Telaid,8/9/2023
1015,4,Telaid,
1016,3,Watcher,9/14/2023
1017,3,Watcher,8/23/2023
1018,3,Watcher,9/11/2023
1019,3,Telaid,
1020,3,Telaid,
1021,3,Telaid,
1022,4,Telaid,10/2/2023
1024,3,Watcher,9/19/2023
1025,3,Watcher,6/8/2023
1026,3,Watcher,7/30/2023
1027,4,Watcher,7/17/2023
1028,3,Watcher,6/13/2023
1029,3,Watcher,6/13/2023
1030,3,Watcher,9/20/2023
1032,4,Watcher,9/19/2023
1033,3,Watcher,8/3/2023
1034,3,Watcher,9/18/2023
1035,3,Watcher,9/11/2023
1036,3,Watcher,9/19/2023
1037,4,Watcher,8/13/2023
1038,3,Telaid,
1039,3,Watcher,8/21/2023
1040,3,Telaid,
1041,3,Telaid,
1042,3,Telaid,
1043,3,Telaid,
1044,3,Telaid,
1045,3,Telaid,
1047,3,Watcher,8/13/2023
1048,3,Watcher,8/21/2023
1051,3,Telaid,
1052,3,Watcher,7/26/2023
1053,3,Watcher,8/9/2023
1054,3,Telaid,6/18/2023
1056,3,Telaid,
1057,3,Watcher,7/19/2023
1058,3,Telaid,
1059,3,Watcher,6/22/2023
1060,3,Watcher,9/6/2023
1061,3,Watcher,9/18/2023
1062,3,Telaid,6/15/2023
1064,3,Watcher,9/10/2023
1065,3,Watcher,6/29/2023
1066,3,Watcher,7/25/2023
1068,3,Watcher,6/22/2023
1069,3,Watcher,6/25/2023
1070,3,Watcher,9/5/2023
1071,3,Watcher,6/18/2023
1072,3,Watcher,9/5/2023
1073,3,Telaid,
