Store,Market,Store Type,Launch Date
3270,311,SUP,2/16/2023
3280,192,SUP,2/16/2023
3282,218,SUP,2/16/2023
3291,174,W/M,2/16/2023
3292,176,W/M,2/16/2023
3293,209,SUP,2/16/2023
3299,502,WNM,2/16/2023
3300,222,SUP,2/16/2023
3301,161,W/M,2/16/2023
3303,311,SUP,2/16/2023
3329,187,SUP,2/16/2023
3330,502,WNM,2/16/2023
3332,191,SUP,2/16/2023
3334,187,SUP,2/16/2023
3337,178,SUP,2/16/2023
3339,165,SUP,2/16/2023
3342,225,SUP,2/16/2023
3344,286,SUP,2/16/2023
3409,156,SUP,2/16/2023
3414,548,WNM,2/16/2023
3420,172,W/M,2/16/2023
3422,165,SUP,2/16/2023
3424,544,WNM,2/16/2023
3443,577,W/M,2/16/2023
3445,207,SUP,2/16/2023
3447,219,SUP,2/16/2023
3469,175,SUP,2/16/2023
3480,311,SUP,2/16/2023
3486,218,SUP,2/16/2023
3491,184,W/M,2/16/2023
3502,223,SUP,2/16/2023
3515,218,SUP,2/16/2023
3520,577,SUP,2/16/2023
3535,157,SUP,2/16/2023
3543,173,W/M,2/16/2023
3545,163,W/M,2/16/2023
3546,173,W/M,2/16/2023
3547,173,W/M,2/16/2023
3548,173,W/M,2/16/2023
3549,184,W/M,2/16/2023
3560,160,SUP,2/16/2023
3561,160,W/M,2/16/2023
3562,577,W/M,2/16/2023
3571,221,SUP,2/16/2023
3573,286,SUP,2/16/2023
3580,219,SUP,2/16/2023
3581,216,SUP,2/16/2023
3583,188,SUP,2/16/2023
3588,291,SUP,2/16/2023
3598,176,W/M,2/16/2023
3603,509,WNM,2/16/2023
3605,509,WNM,2/16/2023
3606,549,WNM,2/16/2023
3607,195,SUP,2/16/2023
3608,209,SUP,2/16/2023
3614,509,WNM,2/16/2023
3622,509,WNM,2/16/2023
3629,549,WNM,2/16/2023
3641,223,SUP,2/16/2023
3644,289,SUP,2/16/2023
3722,215,SUP,2/16/2023
3749,225,SUP,2/16/2023
3765,223,SUP,2/16/2023
3768,314,SUP,2/16/2023
3770,312,SUP,2/16/2023
3772,311,SUP,2/16/2023
3774,165,SUP,2/16/2023
3783,223,SUP,2/16/2023
3784,221,SUP,2/16/2023
3792,219,SUP,2/16/2023
3795,577,SUP,2/16/2023
3802,284,SUP,2/16/2023
3803,173,W/M,2/16/2023
3809,213,SUP,2/16/2023
3812,217,SUP,2/16/2023
3830,178,SUP,2/16/2023
3831,288,SUP,2/16/2023
3840,222,SUP,2/16/2023
3842,192,SUP,2/16/2023
3860,208,SUP,2/16/2023
3862,549,WNM,2/16/2023
3869,287,SUP,2/16/2023
3880,502,WNM,2/16/2023
3885,502,WNM,2/16/2023
3912,176,SUP,2/16/2023
3935,103,WNM,2/16/2023
3990,544,WNM,2/16/2023
4064,289,SUP,2/16/2023
4153,175,SUP,2/16/2023
4156,181,SUP,2/16/2023
4184,502,WNM,2/16/2023
4189,544,WNM,2/16/2023
4191,287,SUP,2/16/2023
4197,96,WNM,2/16/2023
4220,502,WNM,2/16/2023
4255,214,SUP,2/16/2023
4258,291,SUP,2/16/2023
4285,214,SUP,2/16/2023
