Store,Store Type,MFC Store,Possession date,RDC,FASH DC,Import DC,Return Center,City,State,GM SQFT,Total SQFT,Start Date,End Date,SubDivision,Phase 1 Date,Phase 2 Date,Phase 3 Date
1028,SUP,,,6092,6022,7078,9193,EAST PEORIA,IL,"140,059","200,084",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1029,SUP,,,7035,6014,6061,8092,HOMOSASSA,FL,"108,942","155,632",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1030,SUP,,,6070,6014,8980,8092,LANCASTER,SC,"145,429","207,756",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1032,SUP,,,6010,6014,6061,8092,LYNN HAVEN,FL,"145,771","208,244",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1033,SUP,,,6017,6022,7067,9193,SEYMOUR,IN,"139,318","199,026",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1034,SUP,,,6070,6014,8980,8092,SHELBY,NC,"156,892","224,132",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1035,SUP,,,6070,6014,8980,8092,SPARTANBURG,SC,"153,735","219,622",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1036,SUP,,,6070,6014,8980,8092,FOREST CITY,NC,"142,929","204,184",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1037,SUP,,,6040,6014,8980,8092,SUMMERVILLE,SC,"146,248","208,926",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1038,SUP,,,6025,6022,7078,9193,WASECA,MN,"78,007","104,010",8/13/2024,1/27/2025,E,10/12/2023,4/6/2025,8/6/2026
1039,SUP,,,6039,6022,8980,8092,MT. AIRY,NC,"137,446","196,351",8/13/2024,1/27/2025,F,11/2/2023,4/18/2025,8/18/2026
1040,SUP,,,7036,6005,7042,9153,HOUSTON,TX,"153,735","219,622",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1041,SUP,,,6016,6005,7042,9153,WESLACO,TX,"144,420","206,315",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1042,SUP,,,7036,6005,7042,9153,BASTROP,TX,"117,773","168,247",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1043,SUP,,,6068,7842,7042,9153,PAULS VALLEY,OK,"78,634","104,846",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1044,SUP,,,6036,6005,7042,9153,TYLER,TX,"142,737","203,910",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
1045,SUP,,,6019,6029,7042,9195,LAFAYETTE,CO,"145,242","207,489",8/13/2024,1/27/2025,M,12/8/2025,3/8/2027,7/8/2028
1046,WMT,,,6016,6005,7042,9153,CARRIZO SPRINGS,TX,"41,304","41,304",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1047,SUP,,,6054,6014,6061,8092,MORROW,GA,"150,434","214,905",8/13/2024,1/27/2025,A,4/1/2027,7/1/2028,#N/A
1048,SUP,,,6039,6022,8980,8092,WILLIAMSBURG,KY,"112,278","149,704",8/13/2024,1/27/2025,E,11/2/2023,4/18/2025,8/18/2026
1051,SUP,,,6012,7842,7042,9153,LEVELLAND,TX,"108,555","155,078",8/13/2024,1/27/2025,B,12/18/2024,6/18/2026,10/18/2027
1052,SUP,,,6006,7842,7067,8092,FAYETTE,AL,"82,222","109,630",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1053,SUP,,,6017,6022,7067,9193,LA GRANGE,KY,"147,791","211,130",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1054,SUP,,,6035,7842,7042,9193,ATCHISON,KS,"109,660","156,657",8/13/2024,1/27/2025,M,8/15/2024,1/26/2026,5/26/2027
1055,SUP,,,6068,7842,7042,9153,GARLAND,TX,"153,763","219,662",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1056,SUP,,,6068,7842,7042,9153,NEWCASTLE,OK,"108,555","155,078",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1057,SUP,,,6054,6014,6061,8092,TALLASSEE,AL,"51,448","68,597",8/13/2024,1/27/2025,A,4/1/2027,7/1/2028,#N/A
1058,SUP,,,6019,6029,7042,9195,MONTROSE,CO,"143,233","204,619",8/13/2024,1/27/2025,M,12/8/2025,3/8/2027,7/8/2028
1059,SUP,,,6011,7842,7067,9153,FOREST,MS,"110,652","158,075",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
1060,SUP,,,6070,6014,8980,8092,MORGANTON,NC,"123,432","176,331",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1061,SUP,,,6010,6014,6061,8092,HAZLEHURST,GA,"74,778","99,704",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1062,SUP,,,7036,6005,7042,9153,FRIENDSWOOD,TX,"155,643","222,347",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1063,WMT,,,6010,6014,6061,8092,GENEVA,AL,"41,304","41,304",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1064,SUP,,,6070,6014,8980,8092,LENOIR,NC,"140,213","200,304",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1065,SUP,,,6018,7842,7067,9153,HOPE,AR,"110,411","157,730",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
1066,SUP,,,6011,7842,7067,9153,PASCAGOULA,MS,"155,262","221,803",8/13/2024,1/27/2025,B,2/29/2024,9/12/2025,1/12/2027
1067,EXP,,,7036,6005,7042,9153,HALLETTSVILLE,TX,"41,304","41,304",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1068,SUP,,,7038,6014,6061,8092,SEBASTIAN,FL,"119,922","171,317",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
1069,SUP,,,6011,7842,7067,9153,NEWTON,MS,"80,517","107,356",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
1070,SUP,,,6039,6022,8980,8092,EAST ELLIJAY,GA,"128,742","183,917",8/13/2024,1/27/2025,A,11/2/2023,4/18/2025,8/18/2026
1071,SUP,,,6069,7842,7067,9193,WOOD RIVER,IL,"142,673","203,818",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1072,SUP,,,6010,6014,6061,8092,TIFTON,GA,"142,917","204,167",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1073,SUP,,,6016,6005,7042,9153,LAMPASAS,TX,"80,517","107,356",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1074,SUP,,,6018,7842,7067,9153,GRENADA,MS,"129,094","184,420",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
1075,SUP,,,6066,6022,7067,9193,CLARKSVILLE,TN,"139,318","199,026",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
1076,SUP,,,6010,6014,6061,8092,MACON,GA,"108,115","154,450",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1077,SUP,,,7035,6014,6061,8092,TALLAHASSEE,FL,"137,586","196,552",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1078,EXP,,,6012,7842,7042,9153,BALLINGER,TX,"29,808","29,808",8/13/2024,1/27/2025,B,12/18/2024,6/18/2026,10/18/2027
1079,SUP,,,7035,6014,6061,8092,NEW SMYRNA BEACH,FL,"111,180","148,240",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1080,SUP,,,6039,6022,8980,8092,JOHNSON CITY,TN,"142,890","204,129",8/13/2024,1/27/2025,A,11/2/2023,4/18/2025,8/18/2026
1081,SUP,,,7035,6014,6061,8092,GAINESVILLE,FL,"130,853","186,933",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1082,SUP,,,7035,6014,6061,8092,JACKSONVILLE,FL,"136,914","195,592",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1083,SUP,,,7035,6014,6061,8092,JACKSONVILLE,FL,"151,059","215,799",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1084,EXP,,,6020,6014,6061,8092,ORLANDO (SE),FL,"113,912","113,912",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
1085,SUP,,,6020,6014,6061,8092,PORT RICHEY,FL,"154,117","220,167",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
1086,SUP,,,6020,6014,6061,8092,SAINT CLOUD,FL,"124,253","177,504",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
1087,SUP,,,7038,6014,6061,8092,STUART,FL,"145,248","207,497",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
1088,SUP,,,6011,7842,7067,9153,BILOXI,MS,"106,425","152,036",8/13/2024,1/27/2025,B,2/29/2024,9/12/2025,1/12/2027
1089,SUP,,,6006,7842,7067,8092,KIMBALL,TN,"128,129","183,041",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1090,SUP,,,7035,6014,6061,8092,JACKSONVILLE,FL,"154,461","220,659",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1091,SUP,,,6010,6014,6061,8092,ANDALUSIA,AL,"137,195","195,993",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1093,SUP,,,6092,6022,7078,9193,RANTOUL,IL,"110,652","158,075",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1094,SUP,,,6035,7842,7042,9193,RAYTOWN,MO,"123,232","176,045",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
1095,EXP,,,6019,6029,7042,9195,GLENWOOD SPRINGS,CO,"111,586","111,586",8/13/2024,1/27/2025,M,12/8/2025,3/8/2027,7/8/2028
1096,SUP,,,6070,6014,8980,8092,MOCKSVILLE,NC,"129,039","184,341",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1097,SUP,,,6040,6014,8980,8092,ABERDEEN,NC,"139,427","199,182",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1098,SUP,,,7036,6005,7042,9153,PORT LAVACA,TX,"108,549","155,070",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1099,SUP,,,6094,7842,7042,9153,WICHITA,KS,"144,234","206,049",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
1100,SUP,,,6006,7842,7067,8092,HAMILTON,AL,"78,634","104,846",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1101,SUP,,,6006,7842,7067,8092,WETUMPKA,AL,"130,043","185,775",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1102,SUP,,,6048,6005,7067,9153,BAKER,LA,"129,974","185,677",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1103,SUP,,,7036,6005,7042,9153,HOUSTON,TX,"153,735","219,622",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1104,SUP,,,7035,6014,6061,8092,INVERNESS,FL,"142,535","203,622",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1105,SUP,,,6018,7842,7067,9153,NORTH LITTLE ROCK,AR,"142,535","203,622",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
1106,SUP,,,6011,7842,7067,9153,VIDALIA,LA,"78,676","104,902",8/13/2024,1/27/2025,B,2/29/2024,9/12/2025,1/12/2027
1107,SUP,,,6048,6005,7067,9153,OAKDALE,LA,"78,676","104,902",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1108,SUP,,,6011,7842,7067,9153,OAK GROVE,LA,"78,676","104,902",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
1109,SUP,,,6011,7842,7067,9153,RAYVILLE,LA,"74,750","99,667",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
1110,SUP,,,6048,6005,7067,9153,FARMERVILLE,LA,"74,750","99,667",8/13/2024,1/27/2025,A,11/1/2026,2/1/2028,#N/A
1111,SUP,,,6070,6014,8980,8092,HARTWELL,GA,"108,555","155,078",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
1112,SUP,,,6054,6014,6061,8092,THOMASTON,GA,"129,104","184,435",8/13/2024,1/27/2025,A,4/1/2027,7/1/2028,#N/A
1113,SUP,,,6039,6022,8980,8092,LONDON,KY,"140,059","200,084",8/13/2024,1/27/2025,E,11/2/2023,4/18/2025,8/18/2026
1114,SUP,,,6018,7842,7067,9153,MOUNTAIN VIEW,AR,"74,085","98,780",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
1115,SUP,,,6066,6022,7067,9193,HOHENWALD,TN,"74,750","99,667",8/13/2024,1/27/2025,A,7/1/2027,10/1/2028,#N/A
1116,SUP,,,6068,7842,7042,9153,DUNCAN,OK,"128,551","183,645",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1117,SUP,,,6068,7842,7042,9153,PLANO,TX,"145,873","208,390",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1118,SUP,,,6036,6005,7042,9153,BALCH SPRINGS,TX,"147,264","210,377",8/13/2024,1/27/2025,B,2/16/2023,12/5/2024,4/5/2026
1119,EXP,,,7038,6014,6061,8092,NAPLES,FL,"126,929","126,929",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
1120,SUP,,,6035,7842,7042,9193,GLADSTONE,MO,"106,219","151,742",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
1121,SUP,,,6010,6014,6061,8092,MILLEDGEVILLE,GA,"145,249","207,498",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1122,SUP,,,6070,6014,8980,8092,TOCCOA,GA,"139,066","198,666",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
1123,SUP,,,6070,6014,8980,8092,SENECA,SC,"144,443","206,347",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1124,SUP,,,6006,7842,7067,8092,HARTSELLE,AL,"108,596","155,137",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1125,SUP,,,6092,6022,7078,9193,NORMAL,IL,"140,811","201,159",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1126,SUP,,,6016,6005,7042,9153,BOERNE,TX,"128,742","183,917",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1128,SUP,,,6048,6005,7067,9153,MANSURA,LA,"110,095","157,278",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1129,SUP,,,6016,6005,7042,9153,AUSTIN,TX,"144,170","205,957",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1130,SUP,,,6070,6014,8980,8092,LAURENS,SC,"123,444","176,348",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1131,SUP,,,6070,6014,8980,8092,TAYLORSVILLE,NC,"80,517","107,356",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1132,SUP,,,6070,6014,8980,8092,ASHEBORO,NC,"155,327","221,896",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1133,SUP,,,6070,6014,8980,8092,ALBEMARLE,NC,"130,072","185,817",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1134,SUP,,,6010,6014,6061,8092,DE FUNIAK SPRINGS,FL,"109,798","146,397",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1135,SUP,,,6040,6014,8980,8092,HARTSVILLE,SC,"108,115","154,450",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1136,SUP,,,6048,6005,7067,9153,PORT ALLEN,LA,"108,512","155,017",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1137,SUP,,,7036,6005,7042,9153,HOUSTON,TX,"126,374","180,535",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1138,EXP,,,7039,6022,7078,9193,MADISON,WI,"130,293","130,293",8/13/2024,1/27/2025,E,11/1/2026,2/1/2028,#N/A
1139,SUP,,,6024,6022,8980,9193,MOREHEAD,KY,"145,043","207,204",8/13/2024,1/27/2025,E,7/20/2023,1/24/2025,5/24/2026
1140,SUP,,,6017,6022,7067,9193,MOUNT STERLING,KY,"124,894","178,420",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1141,SUP,,,6017,6022,7067,9193,GREENFIELD,IN,"129,151","184,501",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1142,SUP,,,6017,6022,7067,9193,SCOTTSBURG,IN,"110,539","147,386",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1143,SUP,,,6010,6014,6061,8092,SANDERSVILLE,GA,"110,690","158,128",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1144,SUP,,,6070,6014,8980,8092,YORK,SC,"106,386","151,980",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1146,SUP,,,6040,6014,8980,8092,MONCKS CORNER,SC,"142,164","203,091",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1147,SUP,,,6094,7842,7042,9153,FLIPPIN,AR,"74,778","99,704",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
1148,SUP,X,,6068,7842,7042,9153,WICHITA FALLS,TX,"156,892","224,132",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1149,SUP,,,6031,6029,6060,9195,SAFFORD,AZ,"142,673","203,818",8/13/2024,1/27/2025,B,6/30/2025,10/30/2026,#N/A
1150,SUP,,,7036,6005,7042,9153,COLLEGE STATION,TX,"177,908","254,154",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1151,SUP,,,6035,7842,7042,9193,KANSAS CITY,KS,"139,799","199,713",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
1152,SUP,,,6025,6022,7078,9193,SIOUX CENTER,IA,"107,401","153,430",8/13/2024,1/27/2025,M,10/12/2023,4/6/2025,8/6/2026
1153,SUP,,,6010,6014,6061,8092,MACON,GA,"142,917","204,167",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1154,SUP,,,6016,6005,7042,9153,FREDERICKSBURG,TX,"108,512","155,017",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1155,SUP,,,6040,6014,8980,8092,LUMBERTON,NC,"134,809","192,584",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1156,SUP,,,6070,6014,8980,8092,MOORESVILLE,NC,"144,455","206,365",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1157,SUP,,,6017,6022,7067,9193,NORTH VERNON,IN,"89,690","119,587",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1158,SUP,,,6006,7842,7067,8092,BIRMINGHAM,AL,"130,764","186,806",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1159,EXP,,,6039,6022,8980,8092,NEW TAZEWELL,TN,"41,304","41,304",8/13/2024,1/27/2025,A,11/2/2023,4/18/2025,8/18/2026
1160,SUP,,,6017,6022,7067,9193,AURORA,IN,"142,890","204,129",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1161,SUP,,,6069,7842,7067,9193,ST. CHARLES,MO,"130,700","186,715",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1162,SUP,,,6066,6022,7067,9193,WASHINGTON,IN,"129,152","184,503",8/13/2024,1/27/2025,E,7/1/2027,10/1/2028,#N/A
1163,SUP,,,6048,6005,7067,9153,GRETNA,LA,"156,830","224,043",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1164,SUP,,,6070,6014,8980,8092,COLUMBIA,SC,"138,214","197,449",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1165,SUP,,,6017,6022,7067,9193,RADCLIFF,KY,"128,742","183,917",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1166,WMT,,,6040,6014,8980,8092,ELIZABETHTOWN,NC,"41,304","41,304",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1167,SUP,,,7039,6022,7078,9193,KENOSHA,WI,"123,490","176,414",8/13/2024,1/27/2025,E,11/1/2026,2/1/2028,#N/A
1168,SUP,,,6011,7842,7067,9153,COLUMBIA,MS,"131,959","188,513",8/13/2024,1/27/2025,B,2/29/2024,9/12/2025,1/12/2027
1169,SUP,,,6018,7842,7067,9153,SPRINGHILL,LA,"78,676","104,902",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
1170,SUP,,,6017,6022,7067,9193,LOUISVILLE,KY,"82,702","110,269",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1171,SUP,,,6020,6014,6061,8092,SARASOTA,FL,"110,900","158,428",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
1172,SUP,,,7035,6014,6061,8092,JACKSONVILLE BEACH,FL,"141,697","202,424",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1173,SUP,,,7035,6014,6061,8092,JACKSONVILLE,FL,"147,635","210,907",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1174,SUP,,,6006,7842,7067,8092,THOMASVILLE,AL,"109,798","146,398",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1175,EXP,,,6031,6029,6060,9195,FLAGSTAFF,AZ,"106,494","106,494",8/13/2024,1/27/2025,M,6/30/2025,10/30/2026,#N/A
1176,SUP,,,7039,6022,7078,9193,STOUGHTON,WI,"106,609","152,298",8/13/2024,1/27/2025,E,11/1/2026,2/1/2028,#N/A
1177,SUP,,,6069,7842,7067,9193,MANCHESTER,MO,"142,663","203,804",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1178,SUP,,,6068,7842,7042,9153,BEDFORD,TX,"146,572","209,388",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1179,SUP,,,6039,6022,8980,8092,ARDEN,NC,"146,961","209,944",8/13/2024,1/27/2025,F,11/2/2023,4/18/2025,8/18/2026
1180,SUP,,,6017,6022,7067,9193,GREENSBURG,IN,"128,472","183,531",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1181,SUP,,,6054,6014,6061,8092,MARIETTA,GA,"122,914","175,591",8/13/2024,1/27/2025,A,4/1/2027,7/1/2028,#N/A
1182,SUP,,,7035,6014,6061,8092,PALM COAST,FL,"124,894","178,420",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1183,SUP,,,6070,6014,8980,8092,WEST COLUMBIA,SC,"155,359","221,941",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1184,SUP,,,6054,6014,6061,8092,STONE MOUNTAIN,GA,"142,217","203,167",8/13/2024,1/27/2025,A,4/1/2027,7/1/2028,#N/A
1185,SUP,,,6016,6005,7042,9153,AUSTIN,TX,"156,902","224,146",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1186,SUP,,,7036,6005,7042,9153,LIBERTY,TX,"142,185","203,121",8/13/2024,1/27/2025,B,4/1/2028,7/1/2029,#N/A
1187,SUP,,,6035,7842,7042,9193,IOLA,KS,"79,161","105,548",8/13/2024,1/27/2025,B,8/15/2024,1/26/2026,5/26/2027
1188,SUP,,,6069,7842,7067,9193,BRIDGETON,MO,"107,461","153,516",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
1189,EXP,,,6039,6022,8980,8092,BARBOURVILLE,KY,"50,968","50,968",8/13/2024,1/27/2025,E,11/2/2023,4/18/2025,8/18/2026
1190,SUP,,,6039,6022,8980,8092,BEREA,KY,"112,278","149,704",8/13/2024,1/27/2025,E,11/2/2023,4/18/2025,8/18/2026
1191,SUP,,,6040,6014,8980,8092,HILLSBOROUGH,NC,"129,644","185,205",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1192,SUP,,,6011,7842,7067,9153,MAGEE,MS,"106,386","151,980",8/13/2024,1/27/2025,B,2/29/2024,9/12/2025,1/12/2027
1193,SUP,,,6011,7842,7067,9153,MONROE,LA,"140,633","200,905",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
1194,SUP,,,6039,6022,8980,8092,OAK RIDGE,TN,"146,766","209,666",8/13/2024,1/27/2025,A,11/2/2023,4/18/2025,8/18/2026
1195,SUP,,,6011,7842,7067,9153,WAVELAND,MS,"144,061","205,802",8/13/2024,1/27/2025,B,2/29/2024,9/12/2025,1/12/2027
1196,SUP,,,6048,6005,7067,9153,NEW ROADS,LA,"92,347","123,130",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1197,SUP,,,6040,6014,8980,8092,ROCKY MOUNT,NC,"142,625","203,750",8/13/2024,1/27/2025,F,8/15/2024,12/22/2025,4/22/2027
1198,SUP,,,6016,6005,7042,9153,SAN ANTONIO,TX,"161,016","230,023",8/13/2024,1/27/2025,B,2/16/2023,11/12/2024,3/12/2026
1199,SUP,,,6019,6029,7042,9195,AVON,CO,"131,128","187,326",8/13/2024,1/27/2025,M,12/8/2025,3/8/2027,7/8/2028
1200,SUP,,,6019,6029,7042,9195,COLORADO SPRINGS,CO,"141,940","202,772",8/13/2024,1/27/2025,M,12/8/2025,3/8/2027,7/8/2028
1201,SUP,,,6006,7842,7067,8092,GARDENDALE,AL,"142,535","203,622",8/13/2024,1/27/2025,A,8/22/2024,4/2/2026,8/2/2027
1202,SUP,,,7039,6022,7078,9193,WISCONSIN RAPIDS,WI,"146,296","208,994",8/13/2024,1/27/2025,E,11/1/2026,2/1/2028,#N/A
1203,SUP,,,6020,6014,6061,8092,WIMAUMA,FL,"145,565","207,950",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
1204,SUP,,,6048,6005,7067,9153,LAKE CHARLES,LA,"142,917","204,167",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1205,SUP,,,7035,6014,6061,8092,MACCLENNY,FL,"113,228","161,755",8/13/2024,1/27/2025,A,7/1/2026,10/1/2027,#N/A
1206,SUP,,,6048,6005,7067,9153,BATON ROUGE,LA,"134,913","192,733",8/13/2024,1/27/2025,B,11/1/2026,2/1/2028,#N/A
1207,SUP,,,6010,6014,6061,8092,CALLAWAY,FL,"140,058","200,083",8/13/2024,1/27/2025,A,5/4/2023,1/6/2025,5/6/2026
1209,SUP,,,6070,6014,8980,8092,LINCOLNTON,NC,"126,785","181,122",8/13/2024,1/27/2025,F,1/1/2028,4/1/2029,#N/A
1210,SUP,,,6017,6022,7067,9193,NICHOLASVILLE,KY,"139,528","199,326",8/13/2024,1/27/2025,E,4/7/2025,10/31/2026,2/29/2028
1211,SUP,,,7039,6022,7078,9193,HARVARD,IL,"111,633","148,844",8/13/2024,1/27/2025,E,11/1/2026,2/1/2028,#N/A
1212,SUP,,,6011,7842,7067,9153,SARALAND,AL,"141,098","201,569",8/13/2024,1/27/2025,A,2/29/2024,9/12/2025,1/12/2027
1213,SUP,,,6020,6014,6061,8092,BROOKSVILLE,FL,"141,961","202,801",8/13/2024,1/27/2025,A,5/1/2022,9/1/2024,In Progress
