Store,City,ST,Region,Ops Manager,Tire Capacity,Total Inventory,Ttl Replen. Inventory,Tires on Demand ,Non Mod Tires,L52 Avg Units,Last Week Units,4 Tire Instock,Total Valid,Total Traited,,
811,ARCADIA,FL,9,NATHAN STINES,1000,801,686,25,88, 132 , 138 ,79.2%,129,142,,
812,DUMAS,TX,46,MONICA REED,1120,1020,910,28,80, 115 , 75 ,87.0%,152,156,,
813,BROWNWOOD,TX,5,MONICA REED,550,450,408,18,22, 59 , 66 ,81.0%,81,87,,
814,OKEECHOBEE,FL,9,NATHAN STINES,616,591,508,22,59, 132 , 102 ,82.6%,95,103,,
815,OSAGE BEACH,MO,40,JEFF KENNEDY,550,604,464,76,62, 77 , 71 ,82.6%,94,97,,
816,BROOKHAVEN,MS,13,MONICA REED,1320,905,825,18,60, 149 , 130 ,82.5%,153,158,,
817,KISSIMMEE,FL,9,NATHAN STINES,780,642,531,60,49, 157 , 121 ,79.0%,106,111,,
818,PANAMA CITY BEACH,FL,14,NATHAN STINES,855,697,604,40,51, 112 , 118 ,71.7%,137,140,,
819,CAPE CORAL,FL,9,NATHAN STINES,780,791,714,51,24, 131 , 114 ,83.9%,125,125,,
821,CLOVIS,NM,46,MONICA REED,780,613,482,50,79, 96 , 67 ,66.0%,117,120,,
822,AMARILLO,TX,46,MONICA REED,915,726,657,6,61, 90 , 126 ,82.5%,126,134,,
823,PONCA CITY,OK,44,MONICA REED,1120,779,715,29,33, 173 , 173 ,72.5%,147,157,,
826,FARMINGTON,NM,46,MONICA REED,1320,1007,915,15,75, 115 , 76 ,83.4%,158,163,,
827,CANTON,TX,5,MONICA REED,700,622,558,32,30, 103 , 105 ,80.2%,105,113,,
828,PLAINFIELD,IN,25,JEFF KENNEDY,915,749,681,20,46, 55 , 27 ,92.8%,119,122,,
836,SAINT MARYS,GA,3,NATHAN STINES,1120,751,674,26,49, 105 , 96 ,72.8%,147,154,,
838,SAND SPRINGS,OK,44,MONICA REED,1200,953,842,35,74, 102 , 83 ,88.9%,155,161,,
839,BATON ROUGE,LA,13,MONICA REED,915,788,679,15,92, 97 , 106 ,89.5%,122,129,,
842,PUEBLO,CO,47,GEORGE WHEATLEY,616,574,488,39,45, 77 , 73 ,77.8%,95,98,,
844,MORRIS,IL,25,JEFF KENNEDY,550,503,432,35,34, 69 , 53 ,84.3%,89,92,,
847,DODGEVILLE,WI,53,JEFF KENNEDY,915,610,586,9,13, 61 , 78 ,76.5%,125,130,,
848,SOUTHAVEN,MS,12,NATHAN STINES,700,711,628,24,57, 162 , 169 ,77.5%,111,113,,
849,SPRING,TX,6,MONICA REED,550,603,533,30,38, 53 , 42 ,84.0%,80,81,,
850,ALBUQUERQUE,NM,46,MONICA REED,855,830,745,40,43, 97 , 90 ,88.3%,123,129,,
851,RUIDOSO DOWNS,NM,46,MONICA REED,616,647,535,56,54, 44 , 37 ,89.8%,98,99,,
852,OTTAWA,IL,25,JEFF KENNEDY,1320,1000,910,17,71, 131 , 102 ,86.3%,160,166,,
853,MOBILE,AL,14,NATHAN STINES,662,596,481,46,67, 105 , 125 ,74.5%,107,111,,
854,FRANKFORT,IN,21,JEFF KENNEDY,855,711,617,62,30, 65 , 63 ,81.3%,122,126,,
855,UNION CITY,GA,2,NATHAN STINES,1000,777,632,38,105, 119 , 82 ,70.5%,144,148,,
856,BREMEN,GA,2,NATHAN STINES,1320,666,607,25,32, 145 , 117 ,59.5%,160,167,,
859,LAKE WALES,FL,9,NATHAN STINES,700,706,625,40,39, 113 , 107 ,83.2%,107,113,,
860,DELAND,FL,3,NATHAN STINES,1320,957,847,50,58, 149 , 101 ,82.5%,151,159,,
861,LUBBOCK,TX,46,MONICA REED,616,581,513,22,44, 70 , 50 ,89.5%,91,97,,
862,HINESVILLE,GA,3,NATHAN STINES,855,564,505,18,39, 95 , 110 ,57.7%,134,141,,
863,ROANOKE,AL,14,NATHAN STINES,400,249,216,15,16, 44 , 29 ,51.6%,72,73,,
864,VIDALIA,GA,3,NATHAN STINES,1320,857,649,120,86, 120 , 101 ,63.2%,160,166,,
865,NEW BRAUNFELS,TX,6,MONICA REED,550,483,350,69,62, 69 , 78 ,67.5%,87,94,,
866,MOBILE,AL,14,NATHAN STINES,498,582,384,137,59, 153 , 103 ,73.0%,78,85,,
867,SCOTTSBLUFF,NE,47,GEORGE WHEATLEY,1320,966,864,29,71, 153 , 115 ,83.9%,162,168,,
868,CARLSBAD,NM,46,MONICA REED,662,647,558,38,49, 108 , 117 ,81.1%,110,117,,
869,ALAMOSA,CO,46,MONICA REED,1320,1030,918,22,88, 129 , 116 ,87.8%,156,165,,
870,JASPER,IN,25,JEFF KENNEDY,662,575,493,22,58, 76 , 78 ,87.6%,95,102,,
871,MOUNTAIN VIEW,MO,40,JEFF KENNEDY,400,409,356,11,40, 34 , 39 ,82.4%,69,71,,
872,PEARLAND,TX,6,MONICA REED,1320,1017,834,66,115, 111 , 126 ,83.5%,149,157,,
874,NATCHEZ,MS,13,MONICA REED,1120,921,837,18,64, 167 , 147 ,78.7%,142,157,,
877,MONROE,NC,26,RON SHEPPARD,662,635,549,25,59, 73 , 53 ,87.0%,95,101,,
878,CUMMING,GA,2,NATHAN STINES,780,624,564,30,28, 65 , 74 ,66.0%,111,116,,
879,LAFAYETTE,TN,41,JEFF KENNEDY,662,595,496,18,79, 82 , 65 ,79.3%,94,100,,
880,IRVING,TX,5,MONICA REED,915,861,713,55,91, 79 , 88 ,89.4%,118,129,,
881,LEXINGTON,SC,4,RON SHEPPARD,700,591,490,38,61, 72 , 66 ,71.9%,102,106,,
882,PRAIRIE DU CHIEN,WI,53,JEFF KENNEDY,1320,1000,902,76,20, 100 , 78 ,95.9%,160,164,,
884,SHELBYVILLE,IN,25,JEFF KENNEDY,1200,912,812,8,90, 102 , 80 ,81.8%,148,157,,
886,FORT DODGE,IA,52,GEORGE WHEATLEY,700,767,653,60,52, 84 , 75 ,88.0%,113,117,,
888,BUTLER,MO,42,NATHAN STINES,662,633,513,27,91, 56 , 51 ,83.0%,91,95,,
889,THOMASVILLE,GA,3,NATHAN STINES,662,405,325,5,73, 94 , 88 ,55.7%,93,102,,
890,ORLANDO,FL,9,NATHAN STINES,915,836,716,43,75, 166 , 128 ,81.7%,126,130,,
891,STERLING,IL,25,JEFF KENNEDY,855,673,638,18,15, 75 , 63 ,89.8%,131,133,,
892,ANKENY,IA,52,GEORGE WHEATLEY,662,652,583,37,30, 63 , 38 ,90.1%,104,105,,
894,TULSA,OK,44,MONICA REED,1320,939,809,52,76, 83 , 68 ,87.2%,154,160,,
896,GRAND PRAIRIE,TX,5,MONICA REED,1120,887,793,26,66, 140 , 165 ,83.7%,140,143,,
899,VALDOSTA,GA,3,NATHAN STINES,1000,675,622,8,43, 83 , 53 ,74.4%,134,142,,
900,CHILDRESS,TX,46,MONICA REED,1000,758,649,27,80, 64 , 57 ,86.2%,125,132,,
901,SEGUIN,TX,6,MONICA REED,915,773,578,117,76, 128 , 136 ,75.0%,138,144,,
902,GREENCASTLE,IN,25,JEFF KENNEDY,1320,996,909,16,69, 119 , 110 ,87.2%,164,166,,
903,JACKSON,MS,13,MONICA REED,915,796,704,24,66, 132 , 118 ,82.9%,127,136,,
904,FOLEY,AL,14,NATHAN STINES,780,668,553,17,96, 106 , 120 ,72.6%,121,131,,
906,GALLUP,NM,46,MONICA REED,550,650,584,19,45, 155 , 122 ,92.3%,82,84,,
908,ORLANDO,FL,9,NATHAN STINES,498,575,470,56,47, 120 , 97 ,84.4%,82,84,,
910,LAKE GENEVA,WI,53,JEFF KENNEDY,1200,1069,858,81,128, 113 , 119 ,91.4%,151,157,,
911,MARRERO,LA,13,MONICA REED,915,915,705,95,113, 187 , 168 ,83.5%,138,144,,
913,DECORAH,IA,53,JEFF KENNEDY,1320,764,737,4,21, 56 , 66 ,92.2%,137,148,,
914,CASSVILLE,MO,42,NATHAN STINES,1320,904,801,15,86, 102 , 121 ,82.2%,150,164,,
915,STAFFORD,TX,6,MONICA REED,915,723,636,22,63, 100 , 105 ,77.5%,133,139,,
916,HATTIESBURG,MS,13,MONICA REED,1320,839,782,26,29, 172 , 148 ,77.7%,156,166,,
918,MARSHALL,TX,5,MONICA REED,1000,725,682,20,21, 81 , 66 ,82.4%,132,137,,
919,FORT WALTON BEACH,FL,14,NATHAN STINES,550,588,479,36,71, 122 , 130 ,82.1%,90,92,,
922,CORYDON,IN,25,JEFF KENNEDY,915,730,646,19,63, 92 , 70 ,81.9%,134,141,,
923,NOBLESVILLE,IN,25,JEFF KENNEDY,662,660,542,24,92, 73 , 61 ,84.2%,104,107,,
924,STERLING,CO,54,GEORGE WHEATLEY,780,710,652,12,44, 98 , 89 ,86.1%,114,122,,
927,PLAINVIEW,TX,46,MONICA REED,780,779,691,23,63, 131 , 78 ,80.9%,122,131,,
928,SAINT JOHNS,FL,3,NATHAN STINES,1120,882,669,120,91, 81 , 78 ,83.2%,136,137,,
929,PORT SAINT LUCIE,FL,9,NATHAN STINES,1320,1019,900,21,96, 125 , 92 ,84.4%,160,166,,
930,MONTGOMERY,AL,14,NATHAN STINES,662,364,338,10,14, 89 , 85 ,60.7%,91,99,,
931,VERO BEACH,FL,9,NATHAN STINES,780,797,680,44,71, 150 , 114 ,82.8%,124,130,,
932,GRIFFIN,GA,3,NATHAN STINES,1320,824,716,53,53, 102 , 118 ,60.4%,156,166,,
934,DAPHNE,AL,14,NATHAN STINES,915,807,629,58,118, 96 , 81 ,75.6%,135,143,,
935,DENHAM SPRINGS,LA,13,MONICA REED,915,786,696,11,77, 71 , 41 ,89.3%,130,137,,
936,EFFINGHAM,IL,25,JEFF KENNEDY,915,725,671,30,22, 98 , 90 ,75.9%,139,143,,
937,MARIETTA,GA,2,NATHAN STINES,855,1022,660,188,172, 56 , 36 ,76.6%,120,122,,
938,MONTGOMERY,AL,14,NATHAN STINES,1320,698,598,33,65, 67 , 81 ,65.9%,146,156,,
939,WACO,TX,5,MONICA REED,550,625,461,106,56, 46 , 58 ,85.5%,84,86,,
940,WESTWORTH VILLAGE,TX,5,MONICA REED,855,682,629,18,33, 71 , 89 ,80.2%,112,120,,
942,OCOEE,FL,9,NATHAN STINES,1320,799,654,99,44, 155 , 174 ,72.6%,153,161,,
943,CASSELBERRY,FL,9,NATHAN STINES,915,935,727,88,118, 141 , 111 ,86.3%,132,138,,
944,CRESTVIEW,FL,14,NATHAN STINES,780,838,704,36,96, 162 , 180 ,84.2%,128,133,,
945,LUBBOCK,TX,46,MONICA REED,662,680,542,56,80, 53 , 54 ,79.1%,96,102,,
947,SHERMAN,TX,44,MONICA REED,780,796,717,21,56, 93 , 60 ,91.4%,116,121,,
950,BARTLETT,TN,12,NATHAN STINES,700,553,485,35,31, 115 , 114 ,69.7%,104,114,,
952,MOULTRIE,GA,3,NATHAN STINES,700,599,471,21,105, 62 , 34 ,76.6%,106,111,,
953,LOVELAND,CO,54,GEORGE WHEATLEY,1320,861,735,34,90, 77 , 70 ,87.4%,148,152,,
954,HAZLEHURST,MS,13,MONICA REED,915,942,803,41,96, 71 , 73 ,83.1%,134,139,,
955,APOPKA,FL,9,NATHAN STINES,700,643,519,52,70, 118 , 126 ,68.0%,104,107,,
958,PLATTEVILLE,WI,53,JEFF KENNEDY,1320,941,894,8,37, 100 , 84 ,93.7%,152,159,,
959,BUSHNELL,FL,9,NATHAN STINES,1320,948,796,54,96, 112 , 130 ,81.0%,155,162,,
960,DUNNELLON,FL,3,NATHAN STINES,1320,773,733,24,14, 156 , 116 ,68.7%,158,165,,
961,LA PLACE,LA,13,MONICA REED,616,701,512,106,81, 80 , 83 ,85.6%,94,99,,
962,TRINIDAD,CO,47,GEORGE WHEATLEY,400,456,385,19,50, 59 , 84 ,88.2%,70,74,,
963,WEATHERFORD,TX,5,MONICA REED,780,557,524,17,14, 59 , 49 ,79.2%,111,115,,
964,EL PASO,TX,46,MONICA REED,915,708,647,6,53, 104 , 93 ,84.7%,126,133,,
965,TOMAH,WI,53,JEFF KENNEDY,1120,979,867,24,86, 110 , 77 ,92.2%,153,157,,
966,CORTEZ,CO,46,MONICA REED,616,605,518,50,35, 87 , 71 ,86.4%,90,95,,
967,SPRING HILL,FL,9,NATHAN STINES,1320,877,757,58,60, 134 , 131 ,80.5%,156,167,,
969,GULFPORT,MS,13,MONICA REED,1200,1067,939,47,79, 248 , 210 ,85.7%,156,165,,
970,PICAYUNE,MS,13,MONICA REED,1000,781,671,73,35, 216 , 207 ,64.8%,154,159,,
972,LAKE WORTH,TX,5,MONICA REED,662,571,493,33,43, 73 , 84 ,76.1%,96,98,,
973,FORT PIERCE,FL,9,NATHAN STINES,780,806,672,69,63, 117 , 135 ,86.5%,117,120,,
974,WEST MELBOURNE,FL,9,NATHAN STINES,616,556,529,8,17, 124 , 109 ,78.9%,96,99,,
975,DURANT,OK,44,MONICA REED,915,796,775,5,14, 120 , 56 ,87.6%,144,144,,
976,WINNSBORO,LA,42,NATHAN STINES,780,786,602,58,124, 106 , 101 ,83.0%,115,122,,
978,ARKANSAS CITY,KS,47,GEORGE WHEATLEY,1120,749,694,22,31, 104 , 90 ,81.2%,141,150,,
979,SPARTA,WI,53,JEFF KENNEDY,1320,926,807,45,72, 71 , 60 ,89.1%,148,154,,
980,GREELEY,CO,54,GEORGE WHEATLEY,1120,734,664,0,68, 56 , 62 ,82.5%,140,143,,
981,MERIDIAN,MS,14,NATHAN STINES,1320,1001,833,37,129, 171 , 113 ,84.1%,146,161,,
982,OWATONNA,MN,53,JEFF KENNEDY,855,681,591,23,65, 74 , 65 ,91.3%,119,128,,
984,CASTLE ROCK,CO,47,GEORGE WHEATLEY,780,724,628,24,70, 64 , 57 ,90.7%,113,117,,
987,FORT MYERS,FL,9,NATHAN STINES,915,943,814,76,51, 154 , 105 ,89.1%,145,148,,
990,MILTON,FL,14,NATHAN STINES,780,855,723,27,103, 134 , 129 ,86.3%,128,139,,
991,MOBILE,AL,14,NATHAN STINES,1000,920,727,124,67, 128 , 150 ,70.6%,137,146,,
992,TULSA,OK,44,MONICA REED,1000,761,623,68,68, 63 , 67 ,79.8%,136,143,,
993,MCPHERSON,KS,47,GEORGE WHEATLEY,1320,985,894,19,70, 125 , 94 ,87.2%,160,166,,
994,NEW PORT RICHEY,FL,9,NATHAN STINES,1120,901,797,43,59, 167 , 107 ,88.1%,145,148,,
995,FRANKLIN,IN,25,JEFF KENNEDY,780,776,609,35,130, 92 , 71 ,89.0%,112,121,,
999,SAN ANTONIO,TX,6,MONICA REED,400,390,289,40,59, 48 , 43 ,71.4%,65,68,,
1000,BROWNSVILLE,TX,6,MONICA REED,1320,773,658,52,61, 178 , 153 ,60.4%,155,164,,
1001,PUEBLO,CO,47,GEORGE WHEATLEY,1120,801,720,13,66, 77 , 90 ,85.7%,124,132,,
1002,LINTON,IN,25,JEFF KENNEDY,915,809,730,20,57, 92 , 90 ,83.2%,139,146,,
1003,PLANO,IL,25,JEFF KENNEDY,915,762,723,9,28, 61 , 29 ,97.4%,125,129,,
1004,BRADENTON,FL,9,NATHAN STINES,780,670,556,34,78, 115 , 119 ,71.1%,121,123,,
1005,WAVERLY,IA,52,GEORGE WHEATLEY,1320,899,801,25,71, 59 , 58 ,91.7%,143,148,,
1006,CORDELE,GA,3,NATHAN STINES,700,550,438,57,53, 58 , 49 ,72.4%,105,110,,
1007,RICHLAND CENTER,WI,53,JEFF KENNEDY,915,728,644,24,58, 80 , 91 ,84.6%,125,131,,
1008,LOVELAND,CO,54,GEORGE WHEATLEY,1320,984,860,30,92, 103 , 73 ,84.2%,159,164,,
1009,REPUBLIC,MO,40,JEFF KENNEDY,1320,973,809,32,130, 87 , 99 ,82.3%,155,164,,
1010,ROCKINGHAM,NC,26,RON SHEPPARD,1320,998,852,72,72, 121 , 114 ,83.9%,160,166,,
1011,RINCON,GA,4,RON SHEPPARD,662,463,427,20,14, 86 , 72 ,66.7%,106,109,,
1012,BEAVER DAM,WI,53,JEFF KENNEDY,1320,949,852,6,89, 98 , 85 ,82.5%,157,162,,
1014,INDEPENDENCE,MO,40,JEFF KENNEDY,780,760,673,32,53, 111 , 84 ,80.5%,124,129,,
1016,THIBODAUX,LA,13,MONICA REED,780,753,630,40,81, 98 , 100 ,86.2%,118,123,,
1017,MANNING,SC,4,RON SHEPPARD,662,506,425,28,51, 78 , 60 ,70.7%,103,105,,
1018,EASTMAN,GA,3,NATHAN STINES,1320,821,720,52,47, 91 , 71 ,73.6%,155,162,,
1020,ALBERT LEA,MN,53,JEFF KENNEDY,855,771,665,40,64, 88 , 58 ,84.6%,125,128,,
1021,WARRENTON,MO,40,JEFF KENNEDY,1120,835,701,39,93, 93 , 63 ,81.8%,136,149,,
1022,TYLER,TX,5,MONICA REED,1320,825,721,58,44, 69 , 93 ,82.6%,144,149,,
1023,GALAX,VA,20,JEFF KENNEDY,662,744,631,44,67, 175 , 151 ,87.2%,99,104,,
1024,SWAINSBORO,GA,3,NATHAN STINES,1200,834,704,75,53, 113 , 84 ,68.9%,148,154,,
1025,MCCOMB,MS,13,MONICA REED,855,781,634,38,107, 216 , 199 ,78.1%,118,128,,
1026,BEDFORD,IN,25,JEFF KENNEDY,1320,927,813,26,86, 150 , 142 ,82.4%,156,167,,
1027,CONCORD,NC,4,RON SHEPPARD,616,607,536,23,46, 71 , 49 ,89.1%,92,95,,
1028,EAST PEORIA,IL,25,JEFF KENNEDY,662,611,572,17,20, 80 , 65 ,86.6%,102,103,,
1030,LANCASTER,SC,4,RON SHEPPARD,700,531,444,36,49, 67 , 73 ,74.7%,101,106,,
1033,SEYMOUR,IN,25,JEFF KENNEDY,915,787,679,22,84, 114 , 95 ,85.8%,124,132,,
1034,SHELBY,NC,4,RON SHEPPARD,780,702,623,18,59, 101 , 73 ,78.8%,126,130,,
1035,SPARTANBURG,SC,4,RON SHEPPARD,780,583,454,41,86, 77 , 92 ,70.5%,114,118,,
1036,FOREST CITY,NC,2,NATHAN STINES,700,738,631,53,52, 110 , 80 ,85.1%,106,110,,
1037,SUMMERVILLE,SC,4,RON SHEPPARD,1320,848,672,55,119, 79 , 73 ,67.4%,144,160,,
1039,MOUNT AIRY,NC,4,RON SHEPPARD,915,841,780,26,33, 175 , 156 ,85.3%,134,143,,
1040,HOUSTON,TX,6,MONICA REED,1320,906,734,44,126, 94 , 114 ,89.5%,140,141,,
1041,WESLACO,TX,6,MONICA REED,1320,779,678,25,74, 119 , 89 ,65.9%,153,160,,
1042,BASTROP,TX,6,MONICA REED,780,634,545,72,15, 131 , 151 ,69.6%,127,131,,
1043,PAULS VALLEY,OK,44,MONICA REED,1200,726,688,15,21, 122 , 114 ,72.5%,143,154,,
1044,TYLER,TX,5,MONICA REED,1320,905,864,19,20, 107 , 77 ,84.4%,156,163,,
1045,LAFAYETTE,CO,47,GEORGE WHEATLEY,915,775,699,16,58, 51 , 47 ,86.3%,123,130,,
1048,WILLIAMSBURG,KY,41,JEFF KENNEDY,498,603,494,43,64, 107 , 102 ,88.8%,82,86,,
1051,LEVELLAND,TX,46,MONICA REED,1120,834,710,49,73, 63 , 53 ,88.6%,132,137,,
1053,LA GRANGE,KY,41,JEFF KENNEDY,780,706,602,33,69, 68 , 57 ,87.0%,113,119,,
1054,ATCHISON,KS,47,GEORGE WHEATLEY,915,667,591,16,58, 53 , 75 ,86.9%,111,119,,
1055,GARLAND,TX,5,MONICA REED,1200,937,804,79,52, 139 , 139 ,85.8%,144,154,,
1056,NEWCASTLE,OK,44,MONICA REED,855,722,638,19,63, 58 , 66 ,90.3%,118,124,,
1058,MONTROSE,CO,54,GEORGE WHEATLEY,662,616,507,37,70, 91 , 88 ,71.6%,101,106,,
1059,FOREST,MS,14,NATHAN STINES,1320,835,724,27,82, 131 , 135 ,80.0%,146,157,,
1062,FRIENDSWOOD,TX,6,MONICA REED,1200,806,751,10,43, 80 , 59 ,90.8%,139,147,,
1064,LENOIR,NC,4,RON SHEPPARD,1320,940,839,39,60, 120 , 88 ,80.4%,154,160,,
1065,HOPE,AR,42,NATHAN STINES,1320,953,794,49,108, 91 , 80 ,87.9%,153,159,,
1066,PASCAGOULA,MS,13,MONICA REED,1320,1093,908,86,97, 146 , 129 ,90.5%,158,164,,
1068,SEBASTIAN,FL,9,NATHAN STINES,915,854,748,40,64, 120 , 102 ,88.7%,130,135,,
1070,EAST ELLIJAY,GA,2,NATHAN STINES,855,752,601,68,81, 152 , 151 ,68.5%,140,144,,
1071,WOOD RIVER,IL,25,JEFF KENNEDY,1320,893,831,34,26, 131 , 124 ,86.6%,165,168,,
1072,TIFTON,GA,3,NATHAN STINES,1320,772,706,28,36, 124 , 75 ,74.1%,157,164,,
1074,GRENADA,MS,12,NATHAN STINES,915,831,682,40,107, 189 , 199 ,80.8%,134,141,,
1075,CLARKSVILLE,TN,12,NATHAN STINES,1120,908,757,28,121, 152 , 117 ,79.3%,146,155,,
1076,MACON,GA,3,NATHAN STINES,855,625,471,74,78, 54 , 52 ,68.9%,113,117,,
1080,JOHNSON CITY,TN,4,RON SHEPPARD,855,726,627,13,84, 86 , 91 ,80.0%,118,125,,
1081,GAINESVILLE,FL,3,NATHAN STINES,1000,769,745,15,7, 120 , 137 ,76.4%,129,133,,
1085,PORT RICHEY,FL,9,NATHAN STINES,1200,838,745,33,58, 70 , 79 ,84.6%,146,155,,
1086,SAINT CLOUD,FL,9,NATHAN STINES,780,811,653,101,55, 106 , 83 ,83.5%,120,124,,
1087,STUART,FL,9,NATHAN STINES,616,762,571,119,70, 121 , 118 ,82.1%,98,101,,
1089,KIMBALL,TN,2,NATHAN STINES,662,614,499,62,51, 132 , 118 ,71.6%,104,106,,
1090,JACKSONVILLE,FL,3,NATHAN STINES,915,811,658,95,56, 143 , 93 ,74.0%,137,142,,
1091,ANDALUSIA,AL,14,NATHAN STINES,1320,737,603,102,30, 99 , 78 ,69.9%,163,167,,
1093,RANTOUL,IL,21,JEFF KENNEDY,1320,928,837,47,42, 105 , 122 ,84.8%,153,162,,
1096,MOCKSVILLE,NC,4,RON SHEPPARD,662,623,594,18,9, 83 , 69 ,92.2%,95,99,,
1097,ABERDEEN,NC,26,RON SHEPPARD,700,742,588,83,69, 66 , 65 ,82.8%,100,104,,
1098,PORT LAVACA,TX,6,MONICA REED,915,684,581,8,93, 64 , 40 ,80.0%,124,130,,
1099,WICHITA,KS,44,MONICA REED,1320,1027,866,72,87, 160 , 145 ,84.7%,161,168,,
1100,HAMILTON,AL,12,NATHAN STINES,1200,961,827,42,90, 170 , 120 ,69.7%,154,162,,
1101,WETUMPKA,AL,14,NATHAN STINES,1320,698,630,34,32, 67 , 75 ,70.8%,148,155,,
1102,BAKER,LA,13,MONICA REED,915,753,567,64,120, 58 , 53 ,80.6%,116,121,,
1103,HOUSTON,TX,6,MONICA REED,915,880,700,55,123, 61 , 43 ,92.9%,122,126,,
1104,INVERNESS,FL,9,NATHAN STINES,780,849,688,104,55, 162 , 124 ,79.3%,127,130,,
1105,NORTH LITTLE ROCK,AR,42,NATHAN STINES,1320,1160,990,39,129, 134 , 113 ,89.1%,155,165,,
1107,OAKDALE,LA,13,MONICA REED,1320,788,751,18,17, 105 , 89 ,83.3%,149,160,,
1111,HARTWELL,GA,2,NATHAN STINES,915,647,592,27,26, 79 , 82 ,76.3%,128,132,,
1112,THOMASTON,GA,3,NATHAN STINES,1320,777,658,52,65, 85 , 83 ,73.6%,153,162,,
1113,LONDON,KY,41,JEFF KENNEDY,662,681,545,28,106, 167 , 109 ,81.1%,102,109,,
1114,MOUNTAIN VIEW,AR,42,NATHAN STINES,780,695,579,24,90, 87 , 78 ,82.0%,107,115,,
1116,DUNCAN,OK,44,MONICA REED,915,828,721,41,64, 95 , 107 ,87.1%,125,137,,
1117,PLANO,TX,5,MONICA REED,498,530,425,64,39, 105 , 91 ,88.4%,76,76,,
1118,BALCH SPRINGS,TX,5,MONICA REED,780,745,593,101,49, 104 , 121 ,79.8%,120,125,,
1120,GLADSTONE,MO,40,JEFF KENNEDY,1320,903,825,42,34, 82 , 73 ,84.5%,153,161,,
1121,MILLEDGEVILLE,GA,2,NATHAN STINES,915,712,597,55,58, 61 , 53 ,73.0%,121,127,,
1122,EASTANOLLEE,GA,2,NATHAN STINES,1320,725,577,106,40, 157 , 132 ,52.0%,160,169,,
1123,SENECA,SC,2,NATHAN STINES,1320,908,745,84,77, 100 , 64 ,73.2%,150,161,,
1124,HARTSELLE,AL,12,NATHAN STINES,550,554,417,64,71, 47 , 40 ,77.9%,84,88,,
1125,NORMAL,IL,25,JEFF KENNEDY,1000,764,724,27,11, 62 , 33 ,90.7%,137,139,,
1126,BOERNE,TX,6,MONICA REED,1320,793,711,19,61, 52 , 36 ,83.9%,134,140,,
1128,MARKSVILLE,LA,13,MONICA REED,780,751,599,53,97, 74 , 48 ,85.0%,109,114,,
1129,AUSTIN,TX,5,MONICA REED,662,529,432,32,63, 70 , 59 ,75.8%,100,102,,
1132,ASHEBORO,NC,26,RON SHEPPARD,780,862,765,45,50, 120 , 92 ,87.4%,127,132,,
1133,ALBEMARLE,NC,26,RON SHEPPARD,780,714,660,4,48, 96 , 74 ,85.0%,116,124,,
1134,DEFUNIAK SPRINGS,FL,14,NATHAN STINES,616,723,581,78,62, 116 , 104 ,84.8%,100,105,,
1135,HARTSVILLE,SC,4,RON SHEPPARD,1120,655,627,6,20, 110 , 119 ,65.2%,143,152,,
1136,PORT ALLEN,LA,13,MONICA REED,662,592,513,16,61, 77 , 92 ,77.4%,99,104,,
1139,MOREHEAD,KY,41,JEFF KENNEDY,1320,928,811,24,91, 188 , 162 ,74.3%,161,170,,
1140,MOUNT STERLING,KY,41,JEFF KENNEDY,855,848,666,62,118, 131 , 102 ,77.2%,132,138,,
1141,GREENFIELD,IN,25,JEFF KENNEDY,1120,827,750,16,59, 101 , 115 ,81.6%,147,151,,
1142,SCOTTSBURG,IN,25,JEFF KENNEDY,780,765,683,11,69, 73 , 60 ,89.6%,111,117,,
1143,SANDERSVILLE,GA,3,NATHAN STINES,855,497,463,17,15, 101 , 98 ,66.3%,120,125,,
1144,YORK,SC,4,RON SHEPPARD,616,503,411,21,69, 71 , 71 ,70.1%,95,98,,
1146,MONCKS CORNER,SC,4,RON SHEPPARD,1320,758,678,11,67, 135 , 113 ,70.1%,162,170,,
1147,FLIPPIN,AR,42,NATHAN STINES,780,512,456,5,49, 74 , 81 ,71.8%,114,119,,
1148,WICHITA FALLS,TX,44,MONICA REED,780,624,548,7,67, 86 , 83 ,83.7%,110,120,,
1149,SAFFORD,AZ,46,MONICA REED,1320,836,786,36,12, 132 , 120 ,78.8%,164,169,,
1150,COLLEGE STATION,TX,6,MONICA REED,915,779,688,60,29, 85 , 86 ,80.7%,122,127,,
1151,KANSAS CITY,KS,40,JEFF KENNEDY,662,689,549,90,48, 108 , 71 ,80.0%,101,105,,
1153,MACON,GA,3,NATHAN STINES,855,550,460,29,59, 35 , 14 ,81.5%,103,106,,
1154,FREDERICKSBURG,TX,6,MONICA REED,915,680,561,55,62, 59 , 54 ,80.9%,125,132,,
1155,LUMBERTON,NC,26,RON SHEPPARD,1320,890,820,36,32, 152 , 168 ,78.6%,152,162,,
1156,MOORESVILLE,NC,4,RON SHEPPARD,616,732,672,5,53, 95 , 107 ,86.7%,116,123,,
1158,ADAMSVILLE,AL,14,NATHAN STINES,915,633,569,26,36, 71 , 79 ,69.0%,127,132,,
1160,AURORA,IN,25,JEFF KENNEDY,915,828,691,51,84, 121 , 120 ,86.2%,129,136,,
1161,SAINT CHARLES,MO,40,JEFF KENNEDY,780,851,584,168,97, 231 , 266 ,76.3%,124,128,,
1162,WASHINGTON,IN,25,JEFF KENNEDY,915,758,667,36,53, 88 , 87 ,82.0%,127,133,,
