Store,,APR,73,YTD,74,APR,75,YTD,76,APR,77,YTD,78,APR,79,YTD,80,L12 Mths,81,L12 Mths,82,APR,83,YTD,84,APR,85,YTD,86,APR,87,YTD,88,APR,89,YTD,90,APR,91,YTD,92
1620,,-8.96%,R,-3.75%,,4.19%,,11.43%,,35.04%,G,36.44%,G,-24.24%,,-20.44%,,4.63,,4.63,,45.88%,,52.65%,,1.58%,,2.52%,G,38.77%,,41.44%,,0:30:37,,0:31:04,,991/2578,,871/2578,
2533,,-5.26%,,-2.89%,,-20.63%,R,-8.37%,,16.59%,,10.68%,,-54.11%,R,-38.66%,R,4.73,,4.73,,48.15%,,56.69%,G,0.78%,,1.15%,,104.32%,G,89.61%,G,0:32:24,,0:31:13,,1807/2578,,1618/2578,
2739,,-9.01%,R,-4.98%,,-22.13%,R,-11.11%,,-4.14%,,-0.84%,,-35.22%,R,-26.22%,R,4.00,R,4.00,R,28.65%,R,31.32%,R,0.00%,R,0.17%,R,73.74%,G,62.16%,,0:55:44,R,0:52:01,R,2445/2578,R,2352/2578,R
3484,,4.72%,,5.96%,,-0.08%,,5.83%,,2.51%,,11.60%,,-16.22%,,-14.98%,,4.59,,4.59,,51.42%,,52.07%,,0.00%,R,0.10%,R,71.45%,G,66.75%,,0:42:39,,0:45:58,,901/2578,,1025/2578,
Total,B,-0.28%,,1.85%,,-7.17%,,1.80%,,12.40%,,15.53%,,-27.38%,R,-20.76%,R,4.56,,4.56,,47.07%,,46.26%,,0.48%,R,0.64%,R,50.73%,,47.74%,,0:41:42,,0:42:07,,228/394,,212/394,
818,,6.04%,,3.78%,,27.42%,G,16.30%,,99.32%,G,32.09%,,-4.73%,,-11.59%,,4.31,,4.31,,44.14%,,48.54%,,2.05%,,2.51%,G,29.42%,,26.98%,,1:21:18,R,1:13:05,R,424/2578,G,825/2578,
919,,4.80%,,2.88%,,-6.25%,,1.01%,,6.40%,,5.59%,,-23.32%,,-23.65%,,4.61,,4.61,,53.85%,,56.55%,G,0.16%,R,1.50%,,32.87%,,31.04%,,0:24:11,G,0:27:35,G,961/2578,,1145/2578,
944,,1.99%,,2.38%,,-14.59%,,-9.75%,,0.94%,,8.24%,,-27.77%,,-21.63%,,4.55,,4.55,,53.90%,,51.70%,,0.46%,,0.38%,,62.76%,,64.40%,,0:57:21,R,0:52:49,R,1713/2578,,1780/2578,
1207,,-3.84%,,-1.21%,,-3.99%,,4.88%,,33.75%,G,39.57%,G,-28.90%,,-24.99%,,4.23,,4.23,,48.71%,,46.26%,,0.71%,,0.53%,,30.75%,,26.20%,,0:41:12,,0:40:02,,1378/2578,,1368/2578,
1362,,6.27%,,4.96%,,-15.23%,,-16.80%,R,-17.68%,R,-23.46%,R,-11.18%,,-16.60%,,4.73,,4.73,,54.43%,,53.22%,,0.00%,R,0.45%,,25.18%,,23.75%,,1:02:46,R,1:09:32,R,1658/2578,,2012/2578,
3439,,-2.92%,,1.50%,,-26.88%,R,-19.34%,R,-17.56%,R,-15.69%,R,-30.86%,,-27.59%,R,4.44,,4.44,,56.54%,G,58.93%,G,1.81%,,1.27%,,71.96%,G,68.89%,,1:04:42,R,1:04:11,R,2211/2578,R,2095/2578,R
Total,B,1.60%,,2.14%,,-8.80%,,-4.62%,,11.19%,,8.97%,,-22.50%,,-21.40%,R,4.47,,4.47,,51.86%,G,52.08%,G,0.72%,,1.00%,,41.47%,,39.95%,,0:49:22,R,0:49:03,R,244/394,,287/394,
112,,-2.54%,,9.41%,G,-24.27%,R,3.20%,,6.60%,,15.39%,,-23.66%,,2.21%,G,4.64,,4.64,,38.55%,,44.19%,,0.00%,R,0.00%,R,17.78%,R,18.20%,R,0:35:21,,0:35:35,,2034/2578,,877/2578,
205,,-15.45%,R,-5.77%,R,-13.56%,,0.57%,,-3.26%,,14.76%,,-36.57%,R,-21.27%,,3.60,R,3.60,R,40.52%,,36.30%,,5.96%,G,2.41%,,47.38%,,38.93%,,0:32:33,,0:33:53,,2097/2578,R,1641/2578,
495,,-12.86%,R,0.26%,,-23.33%,R,3.02%,,0.20%,,30.07%,,-27.20%,,-9.87%,,4.18,R,4.18,R,38.42%,,42.51%,,0.41%,,0.40%,,25.39%,,25.14%,,0:29:33,G,0:33:49,,2284/2578,R,1161/2578,
981,,-10.51%,R,-2.59%,,-16.84%,,-6.23%,,-7.01%,,2.83%,,-31.51%,R,-22.50%,,4.63,,4.63,,31.73%,R,33.08%,R,0.87%,,1.29%,,16.13%,R,15.42%,R,0:29:32,G,0:29:48,G,2183/2578,R,1828/2578,
1059,,-11.87%,R,4.53%,,-13.59%,,9.52%,,5.81%,,17.20%,,-33.77%,R,-3.03%,,<5 Reviews,,<5 Reviews,,29.45%,R,22.48%,R,2.00%,,1.04%,,33.60%,,33.88%,,0:17:38,G,0:18:42,G,1943/2578,,661/2578,
1271,,-16.99%,R,-6.71%,R,-35.38%,R,-11.91%,R,-20.72%,R,1.53%,,-50.31%,R,-26.37%,R,<5 Reviews,,<5 Reviews,,24.37%,R,25.93%,R,0.83%,,2.67%,G,27.89%,,16.33%,R,0:32:19,,0:32:36,,2515/2578,R,2198/2578,R
Total,B,-11.41%,R,-0.06%,,-21.04%,R,0.25%,,-1.92%,R,14.54%,,-32.66%,R,-12.89%,,4.37,,4.37,,34.79%,R,35.66%,,1.75%,,1.22%,,25.90%,R,23.68%,R,0:28:13,G,0:29:41,G,380/394,R,218/394,
&nbsp;,B,-4.33%,R,1.21%,,-14.56%,R,-1.57%,R,1.48%,R,12.72%,,-26.56%,R,-17.41%,R,4.48,,4.48,,46.82%,,46.01%,,1.18%,R,1.10%,R,38.41%,,36.73%,,0:37:17,,0:37:33,,27/30,R,21/30,
87,,-8.76%,R,-8.82%,R,-13.23%,,-1.75%,,4.28%,,18.45%,,-30.06%,,-22.68%,,3.80,R,3.80,R,48.42%,,50.22%,,0.29%,,0.19%,R,36.96%,,37.78%,,0:26:43,G,0:25:51,G,1929/2578,,1760/2578,
278,,1.79%,,5.10%,,-8.82%,,8.20%,,19.13%,,32.20%,,-16.96%,,-2.25%,,4.50,,4.50,,33.23%,,37.37%,,0.24%,,0.16%,R,13.41%,R,19.40%,R,0:26:21,G,0:27:11,G,1211/2578,,700/2578,
376,,-2.47%,,-3.60%,,-13.14%,,-6.09%,,-1.33%,,13.89%,,-25.22%,,-17.80%,,<5 Reviews,,<5 Reviews,,53.85%,,48.01%,,0.00%,R,0.12%,R,21.60%,R,16.63%,R,0:33:45,,0:33:28,,1771/2578,,1808/2578,
448,,2.14%,,2.06%,,-2.46%,,11.73%,,19.68%,,27.55%,,-4.61%,,2.09%,G,<5 Reviews,,<5 Reviews,,39.13%,,43.71%,,0.00%,R,0.00%,R,26.09%,,30.50%,,0:23:15,G,0:22:23,G,803/2578,,656/2578,
450,,-5.99%,,-1.82%,,-11.95%,,2.82%,,-0.30%,,10.58%,,-20.99%,,-9.90%,,5.00,G,5.00,G,49.06%,,49.77%,,0.00%,R,0.09%,R,21.56%,R,19.71%,R,0:24:59,G,0:24:46,G,1622/2578,,1179/2578,
3868,,3.54%,,4.75%,,-26.83%,R,-3.73%,,-12.70%,R,-0.14%,,-24.83%,,-8.69%,,3.88,R,3.88,R,49.39%,,48.32%,,0.00%,R,0.28%,,31.82%,,31.90%,,0:30:25,,0:30:16,G,1962/2578,,1341/2578,
6932,,2.51%,,5.44%,,-1.11%,,17.71%,,24.30%,,30.14%,,-13.35%,,-2.71%,,<5 Reviews,,<5 Reviews,,40.25%,,41.91%,,0.00%,R,0.28%,,27.67%,,30.09%,,0:30:49,,0:30:31,,865/2578,,513/2578,G
Total,B,-1.49%,,-0.15%,,-11.55%,,3.44%,,7.76%,,19.24%,,-21.05%,,-10.33%,,4.28,R,4.28,R,45.16%,,45.82%,,0.09%,R,0.16%,R,25.66%,R,26.55%,R,0:27:48,G,0:27:31,G,276/394,,183/394,
23,,-8.38%,R,-5.94%,R,-23.09%,R,-6.38%,,-5.70%,,4.54%,,-34.56%,R,-20.16%,,4.80,G,4.80,G,36.18%,,37.51%,,1.17%,,1.18%,,36.76%,,39.68%,,0:34:21,,0:38:58,,2208/2578,R,1917/2578,
98,,-10.12%,R,-6.66%,R,-12.81%,,-9.85%,,34.78%,G,23.24%,,-28.31%,,-21.03%,,<5 Reviews,,<5 Reviews,,48.27%,,47.86%,,0.00%,R,0.00%,R,29.56%,,24.91%,,0:32:20,,0:30:27,,1791/2578,,1947/2578,
307,,-0.53%,,-4.04%,,77.95%,G,28.12%,G,-16.51%,R,2.87%,,60.79%,G,14.57%,G,4.60,,4.60,,49.04%,,43.91%,,0.00%,R,0.09%,R,51.51%,,50.68%,,0:33:05,,0:30:14,G,527/2578,,823/2578,
976,,-12.88%,R,-6.63%,R,-25.46%,R,-6.66%,,1.92%,,19.35%,,-32.05%,R,-21.09%,,<5 Reviews,,<5 Reviews,,40.84%,,45.64%,,0.00%,R,0.00%,R,22.74%,,19.68%,R,0:18:48,G,0:19:35,G,2275/2578,R,1846/2578,
1193,,-8.66%,R,0.11%,,-25.33%,R,-4.05%,,-4.28%,,8.74%,,-40.23%,R,-16.05%,,4.27,,4.27,,65.36%,G,60.43%,G,0.24%,,0.31%,,15.36%,R,17.30%,R,0:34:50,,0:35:14,,2333/2578,R,1569/2578,
Total,B,-8.00%,R,-4.71%,R,-13.43%,R,-1.75%,,-3.30%,R,9.94%,,-27.10%,R,-15.97%,,4.50,,4.50,,45.91%,,45.88%,,0.37%,R,0.39%,R,31.57%,,30.91%,,0:30:47,G,0:31:12,G,350/394,R,281/394,
16,,1.72%,,1.48%,,-6.30%,,4.24%,,11.18%,,9.09%,,-18.07%,,-8.16%,,4.10,R,4.10,R,45.44%,,45.27%,,1.59%,,1.84%,,91.83%,G,83.79%,G,0:32:12,,0:32:02,,949/2578,,953/2578,
66,,-8.13%,R,-9.18%,R,-18.42%,,-11.42%,R,-7.60%,R,-2.84%,R,-19.62%,,-19.12%,,<5 Reviews,,<5 Reviews,,50.21%,,51.53%,,7.33%,G,3.07%,G,50.49%,,47.29%,,0:36:19,,0:36:13,,1956/2578,,2037/2578,
67,,-8.85%,R,-8.50%,R,-12.80%,,-1.65%,,-5.03%,,13.22%,,-20.47%,,-17.02%,,4.80,G,4.80,G,47.15%,,51.28%,,0.35%,,0.23%,R,49.89%,,52.52%,,0:27:58,G,0:27:30,G,1731/2578,,1537/2578,
125,,-7.20%,,-13.56%,R,-17.01%,,-17.24%,R,-13.22%,R,-14.74%,R,-28.24%,,-28.65%,R,<5 Reviews,,<5 Reviews,,34.36%,,35.63%,,6.22%,G,2.88%,G,23.80%,,25.57%,,0:45:56,,0:53:50,R,2245/2578,R,2490/2578,R
141,,-10.10%,R,-5.66%,,-17.00%,,-7.43%,,3.00%,,6.41%,,-39.23%,R,-26.06%,R,4.43,,4.43,,45.39%,,43.87%,,2.25%,,1.27%,,78.40%,G,70.29%,G,0:23:42,G,0:24:33,G,1888/2578,,1769/2578,
358,,-1.45%,,-2.39%,,-0.91%,,0.63%,,26.06%,G,20.18%,,-20.72%,,-17.61%,,3.40,R,3.40,R,43.20%,,43.22%,,12.01%,G,6.43%,G,58.32%,,54.26%,,0:31:17,,0:36:47,,861/2578,,1356/2578,
388,,-9.25%,R,-3.70%,,-18.57%,,-9.05%,,-5.40%,,-2.77%,R,-33.96%,R,-19.79%,,4.78,G,4.78,G,43.99%,,42.78%,,2.79%,,1.40%,,70.41%,,76.46%,G,0:28:59,G,0:28:35,G,1974/2578,,1709/2578,
Total,B,-6.45%,R,-6.42%,R,-13.98%,R,-6.81%,R,-0.30%,,2.12%,R,-26.26%,R,-19.95%,,4.40,,4.40,,44.47%,,44.89%,,4.23%,G,2.23%,,60.00%,G,59.40%,G,0:31:17,G,0:32:32,G,308/394,,323/394,R
2,,-5.38%,,-7.04%,R,-11.24%,,-15.19%,R,-7.52%,,-19.93%,R,-11.09%,,-10.83%,,3.22,R,3.22,R,42.78%,,40.01%,,2.64%,,1.06%,,29.59%,,26.47%,,0:53:44,R,1:06:43,R,1952/2578,,2402/2578,R
54,,6.08%,,2.45%,,-7.09%,,3.92%,,-0.87%,,10.68%,,-6.76%,,-5.85%,,5.00,G,5.00,G,39.03%,,41.75%,,0.53%,,0.56%,,79.18%,G,81.44%,G,0:35:42,,0:38:12,,888/2578,,937/2578,
76,,-0.01%,,-3.27%,,-10.71%,,-8.76%,,-11.68%,R,-5.57%,R,-27.08%,,-28.39%,R,3.60,R,3.60,R,61.60%,G,58.40%,G,0.23%,,0.40%,,37.13%,,36.87%,,0:27:42,G,0:27:45,G,1573/2578,,1959/2578,
144,,1.63%,,-0.47%,,-7.20%,,-1.22%,,4.14%,,2.03%,,-4.97%,,-2.38%,,4.27,,4.27,,44.85%,,43.74%,,0.86%,,0.60%,,61.10%,,60.67%,,0:36:11,,0:34:21,,1089/2578,,1350/2578,
359,,4.66%,,1.37%,,-6.63%,,-3.34%,,0.21%,,-3.03%,R,-20.70%,,-19.23%,,4.50,,4.50,,60.72%,G,58.16%,G,1.04%,,0.69%,,32.04%,,33.74%,,0:42:00,,0:43:23,,1169/2578,,1621/2578,
914,,1.63%,,2.96%,,-9.62%,,5.63%,,0.97%,,10.42%,,-14.23%,,-4.11%,,4.50,,4.50,,62.38%,G,61.24%,G,0.00%,R,0.54%,,35.75%,,28.98%,,0:20:59,G,0:21:05,G,1128/2578,,768/2578,
Total,B,1.13%,,-0.88%,,-8.62%,,-3.11%,,-2.37%,R,-1.30%,R,-12.48%,,-9.83%,,4.22,R,4.22,R,49.54%,,48.62%,,0.89%,,0.63%,R,48.52%,,47.59%,,0:36:50,,0:38:51,,223/394,,279/394,
1,,5.73%,,0.18%,,-0.74%,,1.15%,,16.06%,,13.87%,,-7.64%,,-9.53%,,<5 Reviews,,<5 Reviews,,54.58%,,53.12%,,2.17%,,1.50%,,59.33%,,64.37%,,0:37:48,,0:38:03,,546/2578,,1095/2578,
4,,1.41%,,1.96%,,1.04%,,12.95%,,4.56%,,13.52%,,-8.26%,,-2.85%,,4.18,R,4.18,R,55.62%,G,55.03%,G,4.17%,G,2.82%,G,41.92%,,36.10%,,0:25:58,G,0:27:38,G,617/2578,,579/2578,
100,,11.51%,G,2.65%,,-2.05%,,2.49%,,20.28%,,27.32%,,-12.16%,,-17.82%,,4.66,,4.66,,56.62%,G,54.95%,G,9.02%,G,7.65%,G,80.15%,G,85.97%,G,0:33:39,,0:31:56,,316/2578,G,735/2578,
4108,,7.89%,G,11.66%,G,3.68%,,36.90%,G,40.77%,G,68.83%,G,2.07%,G,24.01%,G,4.80,G,4.80,G,34.46%,,40.32%,,3.05%,G,1.93%,,34.12%,,29.31%,,0:40:22,,0:41:32,,390/2578,G,163/2578,G
5260,,5.86%,,4.84%,,6.56%,,0.65%,,19.11%,,9.35%,,-13.30%,,-10.94%,,5.00,G,5.00,G,55.15%,,52.64%,,3.39%,G,1.64%,,20.97%,R,23.68%,,0:41:19,,0:47:34,,453/2578,G,1111/2578,
5261,,-4.75%,,-10.36%,R,-9.32%,,-12.90%,R,-3.27%,,1.15%,,-11.30%,,-28.15%,R,4.36,,4.36,,55.29%,G,55.70%,G,0.85%,,1.13%,,15.10%,R,14.49%,R,0:50:34,,0:45:34,,1761/2578,,2345/2578,R
Total,B,4.80%,,1.35%,,-0.73%,,3.05%,,14.12%,,17.69%,,-9.67%,G,-12.36%,,4.60,G,4.60,G,53.60%,G,53.09%,G,4.27%,G,3.30%,G,46.40%,,47.44%,,0:37:07,,0:37:24,,54/394,G,120/394,
85,,-5.17%,,-0.48%,,-12.91%,,5.54%,,18.56%,,34.37%,G,-23.53%,,-10.00%,,4.63,,4.63,,45.22%,,44.82%,,0.28%,,0.10%,R,35.66%,,31.17%,,0:22:29,G,0:23:45,G,1487/2578,,929/2578,
124,,-16.98%,R,-13.91%,R,-30.83%,R,-21.76%,R,-17.56%,R,0.10%,,-41.07%,R,-37.25%,R,4.00,R,4.00,R,49.01%,,37.05%,,0.30%,,0.30%,,11.58%,R,7.50%,R,0:38:33,,0:37:19,,2532/2578,R,2516/2578,R
3230,,0.13%,,2.39%,,-6.21%,,7.19%,,13.60%,,28.96%,,-14.51%,,-5.97%,,4.57,,4.57,,50.19%,,44.10%,,0.53%,,0.53%,,14.93%,R,12.75%,R,0:34:32,,0:32:28,,1149/2578,,849/2578,
4460,,-11.63%,R,-4.05%,,-25.53%,R,-11.82%,R,-21.02%,R,-7.39%,R,-31.55%,R,-17.15%,,4.50,,4.50,,51.30%,,47.81%,,0.00%,R,0.12%,R,15.63%,R,17.59%,R,0:48:41,,0:55:23,R,2488/2578,R,2278/2578,R
5244,,5.84%,,4.18%,,-3.49%,,8.41%,,7.87%,,21.04%,,-8.75%,,-15.93%,,4.43,,4.43,,47.48%,,48.38%,,0.24%,,1.48%,,68.11%,,77.14%,G,0:42:29,,0:43:41,,894/2578,,807/2578,
Total,B,-6.15%,R,-2.83%,,-15.48%,R,-1.78%,,2.71%,,18.36%,,-24.97%,R,-17.91%,,4.43,,4.43,,48.66%,,44.38%,,0.30%,R,0.49%,R,28.73%,R,27.36%,R,0:34:29,,0:35:14,,351/394,R,272/394,
33,,-11.44%,R,-7.56%,R,-23.25%,R,-13.46%,R,-17.11%,R,-2.04%,R,-24.23%,,-24.27%,,4.14,R,4.14,R,46.56%,,48.53%,,0.79%,,0.61%,,80.97%,G,71.78%,G,0:35:52,,0:37:38,,2241/2578,R,2172/2578,R
52,,-5.95%,,9.21%,G,9.06%,G,144.93%,G,59.32%,G,326.34%,G,-18.62%,,38.94%,G,4.33,,4.33,,31.53%,R,32.82%,R,0.18%,R,0.78%,,67.93%,,59.86%,,0:35:35,,0:37:06,,948/2578,,129/2578,G
58,,-6.77%,,-4.88%,,-15.89%,,-7.94%,,-9.21%,R,-8.56%,R,-16.73%,,-13.27%,,4.36,,4.36,,36.24%,,36.33%,,1.15%,,0.81%,,5.72%,R,6.05%,R,0:32:34,,0:36:22,,2023/2578,,2066/2578,R
127,,-12.33%,R,-8.80%,R,-22.65%,R,-15.32%,R,11.24%,,12.06%,,-29.39%,,-22.43%,,<5 Reviews,,<5 Reviews,,47.07%,,44.19%,,0.00%,R,0.00%,R,27.62%,,27.84%,,0:37:06,,0:38:04,,2252/2578,R,2265/2578,R
261,,3.05%,,18.13%,G,35.00%,G,220.48%,G,53.33%,G,327.03%,G,14.84%,G,103.96%,G,4.54,,4.54,,47.54%,,48.88%,,3.30%,G,4.12%,G,48.92%,,49.49%,,0:28:37,G,0:30:03,G,100/2578,G,5/2578,G
318,,-10.93%,R,-5.00%,,-15.72%,,-8.53%,,-17.11%,R,-5.95%,R,-33.33%,R,-25.76%,R,5.00,G,5.00,G,47.10%,,46.74%,,1.77%,,1.25%,,71.01%,,57.80%,,0:38:17,,0:42:08,,2044/2578,,1974/2578,
1065,,-8.22%,R,-0.23%,,-16.49%,,8.93%,,3.87%,,26.78%,,-26.79%,,-5.97%,,<5 Reviews,,<5 Reviews,,43.36%,,45.26%,,0.29%,,0.19%,R,21.80%,,24.28%,,0:38:34,,0:40:09,,2128/2578,R,1054/2578,
Total,B,-6.99%,R,0.09%,,-7.24%,,20.60%,G,12.32%,,48.76%,G,-18.79%,,-2.66%,G,4.44,,4.44,,41.14%,,41.65%,,1.24%,,1.39%,,36.71%,,34.69%,,0:34:38,,0:36:42,,251/394,,69/394,G
5,,-3.45%,,-2.54%,,-13.39%,,-6.03%,,7.29%,,3.62%,,-28.30%,,-13.25%,,3.63,R,3.63,R,42.12%,,36.15%,,3.82%,G,1.43%,,10.27%,R,7.40%,R,0:33:54,,0:35:46,,1780/2578,,1870/2578,
7,,0.99%,,2.55%,,22.16%,G,27.92%,G,54.71%,G,55.16%,G,-17.66%,,-12.32%,,4.63,,4.63,,44.20%,,42.70%,,1.74%,,1.41%,,4.81%,R,4.45%,R,0:48:21,,0:50:01,,635/2578,,676/2578,
8,,-0.33%,,-3.56%,,-13.39%,,-5.17%,,15.37%,,14.58%,,-25.68%,,-20.48%,,4.20,R,4.20,R,47.89%,,48.87%,,1.31%,,1.40%,,32.63%,,29.87%,,0:22:00,G,0:21:44,G,1335/2578,,1525/2578,
24,,-9.74%,R,-4.64%,,-18.58%,,-2.50%,,-11.66%,R,7.24%,,-20.75%,,-15.17%,,4.86,G,4.86,G,38.74%,,39.32%,,5.28%,G,1.82%,,8.64%,R,14.58%,R,0:42:08,,0:42:17,,2166/2578,R,1757/2578,
1105,,0.82%,,5.47%,,2.37%,,29.49%,G,0.80%,,21.16%,,-6.34%,,18.53%,G,3.57,R,3.57,R,44.42%,,46.56%,,0.00%,R,0.00%,R,26.33%,,20.49%,R,0:31:39,,0:33:03,,998/2578,,503/2578,G
2575,,1.64%,,-3.36%,,1.87%,,10.38%,,15.89%,,32.20%,,-16.90%,,-17.21%,,3.69,R,3.69,R,40.20%,,42.73%,,0.95%,,0.64%,,55.64%,,49.54%,,0:41:08,,0:48:50,,939/2578,,1295/2578,
2587,,-3.18%,,-4.22%,,-18.94%,R,-15.27%,R,-22.12%,R,-21.01%,R,-22.42%,,-25.10%,,4.54,,4.54,,47.88%,,47.83%,,0.47%,,0.73%,,49.49%,,46.85%,,0:58:43,R,0:56:36,R,2140/2578,R,2298/2578,R
4168,,-3.45%,,-5.18%,,-11.00%,,4.76%,,2.23%,,16.46%,,-29.55%,,-20.55%,,4.83,G,4.83,G,61.29%,G,59.49%,G,0.73%,,0.33%,,39.63%,,39.01%,,0:23:49,G,0:25:18,G,1397/2578,,1217/2578,
Total,B,-2.17%,,-1.96%,,-7.77%,,3.00%,,3.88%,,12.69%,,-21.14%,,-14.01%,,4.11,R,4.11,R,45.13%,,44.66%,,1.61%,,0.88%,,28.58%,R,26.00%,R,0:37:15,,0:39:05,,269/394,,254/394,
83,,0.99%,,1.15%,,6.12%,,14.46%,,32.16%,G,27.97%,,-29.62%,,-16.85%,,<5 Reviews,,<5 Reviews,,38.33%,,35.95%,,0.38%,,0.13%,R,23.75%,,32.30%,,0:27:54,G,0:27:10,G,853/2578,,873/2578,
167,,-10.46%,R,-10.94%,R,-20.04%,R,-10.88%,,0.00%,,13.71%,,-35.22%,R,-31.20%,R,<5 Reviews,,<5 Reviews,,67.31%,G,60.52%,G,0.00%,R,0.16%,R,18.45%,R,24.21%,,0:31:25,,0:28:54,G,2196/2578,R,2096/2578,R
171,,-13.33%,R,-5.24%,,-13.00%,,-4.96%,,12.55%,,22.67%,,-32.68%,R,-23.15%,,<5 Reviews,,<5 Reviews,,26.79%,R,29.76%,R,0.74%,,0.86%,,14.59%,R,12.98%,R,0:34:09,,0:33:59,,2106/2578,R,1877/2578,
348,,-20.40%,R,-14.81%,R,-22.44%,R,-14.52%,R,8.41%,,13.43%,,-46.24%,R,-37.66%,R,4.83,G,4.83,G,40.21%,,37.05%,,1.07%,,1.28%,,36.01%,,29.05%,,0:28:09,G,0:27:30,G,2160/2578,R,2124/2578,R
530,,-3.21%,,-0.56%,,0.18%,,23.01%,G,20.27%,,58.27%,G,-26.54%,,-15.73%,,<5 Reviews,,<5 Reviews,,48.90%,,43.04%,,0.00%,R,0.18%,R,32.60%,,28.41%,,0:28:27,G,0:29:53,G,1104/2578,,721/2578,
714,,-17.60%,R,-10.68%,R,-25.57%,R,-9.35%,,-19.65%,R,8.56%,,-35.32%,R,-29.25%,R,4.22,R,4.22,R,67.02%,G,63.39%,G,0.87%,,0.36%,,32.27%,,38.03%,,0:24:56,G,0:28:27,G,2297/2578,R,2044/2578,
3331,,-7.16%,,-4.10%,,-16.45%,,-7.31%,,-6.30%,,2.30%,,-37.42%,R,-22.88%,,4.56,,4.56,,65.65%,G,65.69%,G,3.36%,G,1.12%,,10.56%,R,9.48%,R,0:23:15,G,0:23:27,G,1914/2578,,1755/2578,
Total,B,-10.07%,R,-6.25%,R,-15.26%,R,-4.47%,,1.79%,,14.16%,,-35.90%,R,-25.67%,R,4.50,,4.50,,53.13%,G,51.43%,,1.68%,,0.77%,,20.74%,R,20.94%,R,0:26:42,G,0:26:58,G,340/394,R,313/394,
11,,-0.38%,,-1.28%,,-2.03%,,3.94%,,8.10%,,12.77%,,-1.64%,G,-7.36%,,4.79,G,4.79,G,38.85%,,39.37%,,2.92%,,2.52%,G,38.39%,,47.15%,,0:31:22,,0:33:18,,787/2578,,1031/2578,
18,,-19.67%,R,-16.38%,R,-30.09%,R,-13.71%,R,-15.49%,R,-7.22%,R,-60.26%,R,-46.29%,R,4.40,,4.40,,49.67%,,57.84%,G,2.09%,,2.50%,G,96.69%,G,95.90%,G,0:32:51,,0:32:54,,2334/2578,R,2142/2578,R
57,,-17.72%,R,-15.41%,R,-27.51%,R,-17.24%,R,-11.41%,R,-10.60%,R,-48.45%,R,-40.25%,R,5.00,G,5.00,G,67.34%,G,68.28%,G,0.44%,,0.30%,,19.10%,R,13.62%,R,0:35:11,,0:35:57,,2380/2578,R,2377/2578,R
71,,-11.66%,R,-9.21%,R,-25.27%,R,-14.53%,R,-14.54%,R,-2.41%,R,-39.77%,R,-30.76%,R,4.27,,4.27,,60.22%,G,64.13%,G,0.21%,,0.20%,R,24.59%,,25.28%,,0:32:57,,0:31:22,,2382/2578,R,2274/2578,R
119,,-7.80%,R,-5.99%,R,-24.04%,R,-8.68%,,-15.35%,R,-8.69%,R,-30.74%,,-16.70%,,4.60,,4.60,,49.62%,,54.88%,G,2.68%,,1.56%,,45.62%,,36.33%,,0:32:34,,0:35:05,,2122/2578,R,1898/2578,
157,,-9.19%,R,-6.90%,R,-16.46%,,-9.04%,,-0.66%,,1.69%,,-30.65%,,-25.16%,,3.80,R,3.80,R,47.36%,,48.86%,,0.00%,R,0.00%,R,14.08%,R,11.88%,R,0:32:15,,0:34:49,,2194/2578,R,2232/2578,R
160,,-18.65%,R,-10.24%,R,-26.73%,R,-9.99%,,-6.60%,,-0.31%,,-43.17%,R,-24.84%,,4.63,,4.63,,62.79%,G,58.47%,G,1.55%,,0.77%,,57.36%,,53.06%,,0:40:34,,0:44:01,,2329/2578,R,2137/2578,R
788,,1.94%,,-1.23%,,-5.48%,,-8.07%,,-16.21%,R,-13.99%,R,-3.35%,G,-13.42%,,3.67,R,3.67,R,43.35%,,46.04%,,0.30%,,0.10%,R,15.12%,R,16.93%,R,0:38:47,,0:38:40,,1421/2578,,2032/2578,
1114,,-6.26%,,-6.89%,R,-21.94%,R,-9.68%,,-16.54%,R,-5.03%,R,-31.87%,R,-24.29%,,4.80,G,4.80,G,36.55%,,36.83%,,1.80%,,2.01%,,59.06%,,58.22%,,0:40:49,,0:42:29,,2187/2578,R,2099/2578,R
1147,,-7.99%,R,-5.30%,,-18.59%,,-8.51%,,-16.18%,R,-7.71%,R,-20.34%,,-14.91%,,3.86,R,3.86,R,41.54%,,49.35%,,2.07%,,1.51%,,62.46%,,62.80%,,0:29:46,G,0:31:19,,2008/2578,,1843/2578,
Total,B,-9.08%,R,-7.08%,R,-19.24%,R,-8.62%,R,-8.68%,R,-2.61%,R,-30.09%,R,-22.40%,R,4.45,,4.45,,48.52%,,50.85%,,1.57%,,1.24%,,39.03%,,38.82%,,0:33:50,G,0:35:06,,370/394,R,355/394,R
13,,-8.91%,R,-11.08%,R,-19.66%,R,-16.35%,R,5.46%,,9.19%,,-28.06%,,-33.38%,R,4.38,,4.38,,56.04%,G,54.18%,,0.00%,R,0.08%,R,55.11%,,54.73%,,0:52:31,R,0:48:50,,2198/2578,R,2381/2578,R
17,,-6.33%,,-8.77%,R,-20.83%,R,-9.99%,,0.00%,,9.36%,,-30.81%,,-22.86%,,4.67,,4.67,,45.80%,,51.79%,,0.29%,,0.47%,,28.99%,,22.81%,,0:37:14,,0:42:40,,2150/2578,R,2134/2578,R
