Store #,Address,Store,State,Poss Date,Door,Walmart REX/GO Date,Winston Goal Start Date,Staffing Status,VM Name,Start Date,Confirmed Temp Solve ,Notes
344,"3413 West Loop, El Campo, TX 77437",EL CAMPO,TX,4/15/24,2024,8/2/24,6/3/24,Hired,Adorn J.,6/24/24,,
754,"147 NORTHSIDE DR E, Statesboro, GA 30458",STATESBORO,GA,3/25/24,2024,6/28/24,6/3/24,Hired,Tina J.,6/17/24,,
1051,"407 East Hwy 114, Levelland, TX 79336",LEVELLAND,TX,4/15/24,2024,8/2/24,6/3/24,Hired,Joan B.,6/10/24,,
1171,"8320 Lockwood Ridge, Sarasota, FL 34243",SARASOTA,FL,3/11/24,2024,7/19/24,6/3/24,Hired,Samantha S.,6/10/24,,GO date change confirmed by vignette list on 6/17
1652,"5225 Alexander Rd, Dublin, VA 24084",DUBLIN,VA,3/11/24,2024,6/28/24,6/3/24,Hired,Robert S.,7/1/24,6/24-6/28,
2237,"2523 Lee Blvd., Lehigh Acres, FL 33971",LEHIGH ACRES,FL,4/15/24,2024,8/2/24,6/3/24,Hired,Jylene R.,6/3/24,,
2629,"100 VALLEY PKWY, Whitinsville, MA 1588",WHITINSVILLE,MA,4/29/24,2024,8/2/24,6/3/24,Hired,#VALUE!,1/0/00,,
2643,"10240 Hudson Road, Woodbury, MN 55129",WOODBURY,MN,3/11/24,2024,6/28/24,6/3/24,Hired,Dawn H.,6/3/24,,
2687,"14055 East Wade Hampton Blvd., Greer, SC 29650",GREER,SC,4/29/24,2024,8/2/24,6/3/24,Hired,Haley R.,6/3/24,,
2720,"127 Grand View Blvd, Madison, MS 39110",MADISON,MS,4/15/24,2024,8/2/24,6/3/24,Hired,Zania A.,6/24/24,,
3088,"3601 2nd St South, St. Cloud, MN 56301",ST CLOUD,MN,3/11/24,2024,6/28/24,6/3/24,Hired,Eri S.,6/24/24,6/24-6/28,
3433,"100 Ryan Drive, Red Oak, TX 75154",RED OAK,TX,4/29/24,2024,8/2/24,6/3/24,Hired,Yanelin C.,6/3/24,,
3453,"355 54th Street Sw, Wyoming, MI 49548",WYOMING,MI,4/15/24,2024,8/2/24,6/3/24,Hired,Max M.,6/3/24,,
5022,"1901 Tchoupitoulas Street, New Orleans, LA 70130",NEW ORLEANS,LA,3/25/24,2024,6/28/24,6/3/24,Hired,Elyse L.,5/20/24,,
5045,"22605 Tomball Parkway, Tomball, TX 77375",TOMBALL,TX,3/11/24,2024,6/28/24,6/3/24,Hired,Manuel O.,5/20/24,6/24-6/28,
5097,"5650 Bay Road, Saginaw, MI 48604",SAGINAW,MI,4/29/24,2024,8/2/24,6/3/24,Hired,Spencer B.,6/17/24,,
112,"1010 Hwy 12 West, Starkville, MS 39759",STARKVILLE,MS,5/6/24,2024,8/9/24,6/10/24,Hired,Shannon B.,6/10/24,,
309,"3005 Charity St, Abbeville, LA 70510",ABBEVILLE,LA,4/22/24,2024,8/9/24,6/10/24,Hired,Jacquelene F.,7/8/24,,
400,"1407 Loop 336 West, Conroe, TX 77304",CONROE,TX,4/22/24,2024,8/9/24,6/10/24,Hired,Solei L.,7/15/24,,
463,"502 E FM 351, Beeville, TX 78102",BEEVILLE,TX,5/6/24,2024,8/9/24,6/10/24,Hired,Evelyn L.,6/24/24,,
657,"768 South Jefferson Ave, Cookeville, TN 38501",COOKEVILLE,TN,5/6/24,2024,8/9/24,6/10/24,Hired,Elvira P.,6/10/24,,
690,"1001 Over Mountain Avenue, Elizabethton, TN 37643",ELIZABETHTON,TN,3/18/24,2024,7/5/24,6/10/24,Hired,Rachel L.,6/10/24,,
995,"2125 North Morton St., Franklin, IN 46131",FRANKLIN,IN,3/18/24,2024,7/5/24,6/10/24,Hired,Kennedy B.,6/17/24,6/24-6/28,
1045,"745 US HIGHWAY 287, Lafayette, CO 80026",LAFAYETTE,CO,3/18/24,2024,7/5/24,6/10/24,Hired,Suzana N.,5/7/24,,
1066,"4253 Denny Ave., Pascagoula, MS 39581",PASCAGOULA,MS,3/18/24,2024,7/5/24,6/10/24,Hired,Lyan R.,6/24/24,6/24-6/28,
1113,"1851 West Hwy 192, London, KY 40741",LONDON,KY,4/22/24,2024,8/9/24,6/10/24,Hired,Kristin S.,5/24/24,,
1163,"4001 Behrman, New Orleans, LA 70114",NEW ORLEANS,LA,3/18/24,2024,7/5/24,6/10/24,Hired,Heather M.,7/8/24,,
1272,"5110 COLLEGE AVE, Snyder, TX 79549",SNYDER,TX,5/6/24,2024,8/9/24,6/10/24,Hired,Jennifer P.,7/1/24,,
1959,"470 Route 211 East, Middletown, NY 10940",MIDDLETOWN,NY,5/6/24,2024,8/9/24,6/10/24,Hired,Kimberly Z.,6/25/24,,
2062,"1400 Mall Drive, Benton Harbor, MI 49022",BENTON HARBOR,MI,3/18/24,2024,7/5/24,6/10/24,Hired,Mercedes B.,7/15/24,6/24-6/28,
2671,"1175 South Arizona Avenue, Chandler, AZ 85248",CHANDLER,AZ,3/18/24,2024,7/17/24,6/10/24,Hired,Luis M.,5/6/24,,GO date change confirmed by FVM April on 6/13
2723,"690 Highway 78, Sumiton, AL 35148",SUMITON,AL,3/18/24,2024,7/5/24,6/10/24,Hired,Lecretia P.,6/10/24,,
3268,"200 Hwy 64 East, Antigo, WI 54409",ANTIGO,WI,5/6/24,2024,8/9/24,6/10/24,Hired,Jessamie G.,6/10/24,,
3623,"4401 Highway 83 South, Laredo, TX 78046",LAREDO,TX,4/22/24,2024,8/9/24,6/10/24,Hired,Sandra H.,7/15/24,,
3886,"4101 S Mccoll Road, Edinburg, TX 78539",EDINBURG,TX,4/29/24,2024,8/9/24,6/10/24,Hired,Norma G.,6/10/24,,
3889,"3151 Apex Peakway, Apex, NC 27502",APEX,NC,3/18/24,2024,7/5/24,6/10/24,Hired,LeDarren P.,7/29/24,,
4336,"12900 W Thunderbird Rd, El Mirage, AZ 85335",EL MIRAGE,AZ,5/6/24,2024,8/9/24,6/10/24,Hired,Dina S.,6/17/24,,
4476,"14501 Hancock Village St, Chesterfield, VA 23832",CHESTERFIELD,VA,4/8/24,2024,8/9/24,6/10/24,Hired,Jennifer A.,5/28/24,,
4497,"1007 Red Farmer Dr, Hueytown, AL 35023",HUEYTOWN,AL,4/22/24,2024,8/9/24,6/10/24,Hired,Teisa W.,7/1/24,,
5424,"11500 Hannon Rd, Eagle Point, OR 97524",EAGLE POINT,OR,5/6/24,2024,8/9/24,6/10/24,Final Interview,#VALUE!,1/0/00,,
6929,"6801 W Adams Avenue, Temple, TX 76502",TEMPLE,TX,4/22/24,2024,8/9/24,6/10/24,Hired,Shannon B.,7/1/24,,
7324,"2165 Winchester Rd, Huntsville, AL 35811",HUNTSVILLE,AL,5/6/24,2024,8/9/24,6/10/24,Offer Out ,#VALUE!,1/0/00,,
80,"3001 W Broadway, Columbia, MO 65201",COLUMBIA,MO,4/29/24,2024,8/16/24,6/17/24,Hired,Brandi E.,6/24/24,,
164,"100 MCCORD RD, Pontotoc, MS 38863",PONTOTOC,MS,4/29/24,2024,8/16/24,6/17/24,Hired,#VALUE!,1/0/00,,
402,"1932 REES ST, Breaux Bridge, LA 70517",BREAUX BRIDGE,LA,4/8/24,2024,7/12/24,6/17/24,Hired,Savoye' H.,6/17/24,,
416,"140 Joe B Jackson Parkway, Murfreesboro, TN 37127",MURFREESBORO,TN,4/8/24,2024,7/12/24,6/17/24,Hired,Payge J.,6/3/24,,
428,"5801 Main Street, Zachary, LA 70791",ZACHARY,LA,4/8/24,2024,7/12/24,6/17/24,Hired,Delon B.,5/16/24,,
522,"14215 Fm 2100, Crosby, TX 77532",CROSBY,TX,4/29/24,2024,8/16/24,6/17/24,Hired,Mariana A.,7/1/24,,
1005,"2700 4TH ST SW, Waverly, IA 50677",WAVERLY,IA,5/13/24,2024,8/16/24,6/17/24,Initial Interview,#VALUE!,1/0/00,,
1120,"7207 North M-1 Hwy, Gladstone, MO 64119",GLADSTONE,MO,3/11/24,2024,7/12/24,6/17/24,Hired,Tisha J.,5/6/24,,
1567,"2456 Third Avenue West, Dickinson, ND 58601",DICKINSON,ND,4/29/24,2024,8/16/24,6/17/24,Hired,Nanette G.,7/15/24,,
1641,"1529 WASHINGTON ST, Williamston, NC 27892",WILLIAMSTON,NC,4/1/24,2024,7/12/24,6/17/24,Hired,Tanya L.,6/17/24,,
1699,"745 West Hill Field Road, Layton, UT 84041",LAYTON,UT,3/25/24,2024,7/12/24,6/17/24,Hired,Kim C.,6/17/24,,
2040,"2106 Mt Holly Road, Burlington, NJ 8016",BURLINGTON,NJ,4/8/24,2024,7/12/24,6/17/24,Hired,Sophie T.,5/6/24,,
2311,"2800 Walmart Drive, Huntington, IN 46750",HUNTINGTON,IN,5/13/24,2024,8/16/24,6/17/24,Hired,Aubrey T.,6/17/24,,
2713,"5919 Trussville Crossings Pkwy, Birmingham, AL 35235",BIRMINGHAM,AL,4/8/24,2024,7/12/24,6/17/24,Hired,Chassity H.,6/3/24,,
2921,"534 Harrisville Road, Harrisville, UT 84404",HARRISVILLE,UT,4/29/24,2024,8/16/24,6/17/24,Hired,Marquel W.,6/17/24,,
3058,"918 Bandera Rd, San Antonio, TX 78228",SAN ANTONIO,TX,4/8/24,2024,7/12/24,6/17/24,Hired,Varnell J.,6/17/24,,
4526,"4412 North Fwy, Houston, TX 77022",HOUSTON,TX,3/25/24,2024,7/12/24,6/17/24,Hired,Rebecca R.,5/13/24,,
5499,"201 Chamber Dr, Milford, OH 45150",MILFORD,OH,3/25/24,2024,7/12/24,6/17/24,Hired,Deborah G.,6/17/24,,
5731,"2533 Germanna Hwy, Locust Grove, VA 22508",LOCUST GROVE,VA,5/13/24,2024,8/16/24,6/17/24,Hired,Kylie J.,7/1/24,,
5927,"3390 N Highway 67, Florissant, MO 63033",FLORISSANT,MO,5/13/24,2024,8/16/24,6/17/24,Hired,Shemeika K.,6/17/24,,
5929,"1201 Sw 13th Avenue, Battle Ground, WA 98604",BATTLE GROUND,WA,4/29/24,2024,8/16/24,6/17/24,Hired,Sandra M.,6/17/24,,
23,"1201 N Service Road East, Ruston, LA 71270",RUSTON,LA,4/1/24,2024,7/19/24,6/24/24,Hired,Diamond H.,6/24/24,,
27,"1101 Hwy 32 West, Salem, MO 65560",SALEM,MO,5/6/24,2024,8/23/24,6/24/24,Hired,Jennifer B.,7/29/24,,
72,"2710 N Broadway, Pittsburg, KS 66762",PITTSBURG,KS,4/8/24,2024,7/26/24,6/24/24,Hired,Amie B.,6/3/24,,
442,"1133 E Gen'L Cavazos Blvd, Kingsville, TX 78363",KINGSVILLE,TX,4/1/24,2024,7/19/24,6/24/24,Hired,Heather G.,6/24/24,,
484,"3300 Iowa Street, Lawrence, KS 66046",LAWRENCE,KS,4/1/24,2024,7/19/24,6/24/24,Hired,Arthur K.,7/8/24,,
511,"1283 Broad St, Sumter, SC 29150",SUMTER,SC,4/8/24,2024,7/26/24,6/24/24,Hired,Samantha B.,7/1/24,,
612,"2250 Lincoln Avenue, Charleston, IL 61920",CHARLESTON,IL,5/6/24,2024,8/23/24,6/24/24,Hired,Melissa B.,6/24/24,,
624,"2812 Main St, Newberry, SC 29108",NEWBERRY,SC,4/1/24,2024,7/19/24,6/24/24,Hired,Erica B.,6/24/24,,
703,"27650 State Highway 249, Tomball, TX 77375",TOMBALL,TX,5/6/24,2024,8/23/24,6/24/24,Hired,Jamira B.,6/24/24,,
736,"120 Sam Walton Drive, Russellville, KY 42276",RUSSELLVILLE,KY,4/1/24,2024,7/19/24,6/24/24,Hired,Sharon T.,6/25/24,,
793,"1701 North 23Rd St, Canyon, TX 79015",CANYON,TX,4/22/24,2024,7/26/24,6/24/24,Hired,Jennifer B.,5/20/24,,
1000,"2721 Boca Chica Blvd, Brownsville, TX 78521",BROWNSVILLE,TX,4/8/24,2024,7/26/24,6/24/24,Hired,Tom D.,6/10/24,,
1288,"1049 Durham Road, Suite A, Roxboro, NC 27573",ROXBORO,NC,5/20/24,2024,8/23/24,6/24/24,Hired,Vaniesha C.,7/8/24,,
1337,"548 CC CAMP RD, Elkin, NC 28621",ELKIN,NC,4/22/24,2024,7/26/24,6/24/24,Hired,Phillip W.,7/15/24,,
1486,"1800 Perry Dr, Farmville, VA 23901",FARMVILLE,VA,5/6/24,2024,8/23/24,6/24/24,Hired,Dan S.,7/8/24,,
1694,"2875 SUGAR HILL RD, Marion, NC 28752",MARION,NC,4/15/24,2024,7/19/24,6/24/24,Hired,Danielle S.,6/24/24,,
1858,"3001 East Hwy 7, Montevideo, MN 56265",MONTEVIDEO,MN,5/6/24,2024,8/23/24,6/24/24,Final Interview,#VALUE!,1/0/00,,
1890,"2702 N. Salisbury Blvd, Salisbury, MD 21801",SALISBURY,MD,4/29/24,2024,7/19/24,6/24/24,Hired,Kyra R.,7/2/24,,
1896,"8250 Razorback Rd, Colorado Springs, CO 80920",COLORADO SPRINGS,CO,4/8/24,2024,7/26/24,6/24/24,Hired,Sifah A.,6/24/24,,
1936,"3763 I-75 BUSINESS SPUR, Sault Sainte Marie, MI 49783",SAULT SAINTE MARIE,MI,5/6/24,2024,8/23/24,6/24/24,Hired,Samantha M.,7/29/24,,
2059,"2200 Greengate Centre Blvd, Greensburg, PA 15601",GREENSBURG,PA,4/15/24,2024,7/19/24,6/24/24,Hired,Shanel B.,7/22/24,,
2233,"7400 Guilford Drive, Frederick, MD 21704",FREDERICK,MD,5/20/24,2024,8/23/24,6/24/24,Hired,Hirute C.,5/20/24,,
2588,"100 Wal-Mart Drive, North Versailles, PA 15137",NORTH VERSAILLES,PA,4/1/24,2024,7/19/24,6/24/24,Initial Interview,#VALUE!,1/0/00,,
2611,"2100 Summit Ridge Plaza, Mount Pleasant, PA 15666",MOUNT PLEASANT,PA,4/22/24,2024,7/26/24,6/24/24,Hired,Najae P.,7/15/24,,
3057,"12550 Leslie Rd, Helotes, TX 78023",HELOTES,TX,4/22/24,2024,7/26/24,6/24/24,Hired,Ashleigh J.,7/15/24,,
3313,"10900 East Briarwood Avenue, Centennial, CO 80111",CENTENNIAL,CO,4/22/24,2024,8/23/24,6/24/24,Hired,Ezra D.,6/24/24,,
3742,"1486 Dike Access Rd, Woodland, WA 98674",WOODLAND,WA,4/8/24,2024,7/26/24,6/24/24,Hired,Claire S.,6/24/24,,
3828,"4006 Estes Pkwy, Longview, TX 75603",LONGVIEW,TX,4/15/24,2024,7/19/24,6/24/24,Hired,Lisa H.,6/24/24,,
4162,"12639 Blanco Rd, San Antonio, TX 78231",SAN ANTONIO,TX,4/22/24,2024,7/26/24,6/24/24,Hired,Ellen S.,6/24/24,,
4183,"643 N Harvey Mitchell Parkway, Bryan, TX 77807",BRYAN,TX,4/22/24,2024,7/26/24,6/24/24,Hired,Marcie G.,6/24/24,,
4644,"7500 University Boulevard, Moon Township, PA 15108",MOON TOWNSHIP,PA,5/6/24,2024,8/23/24,6/24/24,Initial Interview,#VALUE!,1/0/00,,
4678,"180 N 3400 W, Hurricane, UT 84737",HURRICANE,UT,4/8/24,2024,7/26/24,6/24/24,Hired,Sabrina R.,6/3/24,,
5064,"6065 Gull Road , Kalamazoo, MI 49048",KALAMAZOO,MI,5/6/24,2024,8/23/24,6/24/24,Hired,Caleb Y.,5/6/24,,
5879,"11145 Bryton Town Center Dr, Huntersville, NC 28078",HUNTERSVILLE,NC,5/6/24,2024,7/26/24,6/24/24,Hired,Teraesa D.,5/28/24,,
238,"1655 West College Street, Pulaski, TN 38478",PULASKI,TN,5/13/24,2024,8/30/24,7/8/24,Hired,Angela R.,7/15/24,,
257,"901 U.S. Hwy 60 East, Morganfield, KY 42437",MORGANFIELD,KY,5/13/24,2024,8/30/24,7/8/24,Hired,Chelsea M.,7/8/24,,
329,"5560 Mcclellan Blvd, Anniston, AL 36206",ANNISTON,AL,5/13/24,2024,8/30/24,7/8/24,Hired,Faith G.,7/8/24,,
982,"1130 W Frontage Rd, Owatonna, MN 55060",OWATONNA,MN,5/13/24,2024,8/30/24,7/8/24,Hired,Kayla H.,7/8/24,,
1007,"2401 Hwy 14 East, Richland Center, WI 53581",RICHLAND CENTER,WI,5/13/24,2024,8/30/24,7/8/24,Final Interview,#VALUE!,1/0/00,,
1014,"4000 South Bolger Dr, Independence, MO 64055",INDEPENDENCE,MO,5/27/24,2024,8/30/24,7/8/24,Hired,Sara B.,7/10/24,,
1202,"4331 8Th.St.South, Wisconsin Rapids, WI 54494",WISCONSIN RAPIDS,WI,5/13/24,2024,8/30/24,7/8/24,Hired,Sue B.,7/15/24,,
1638,"3176 S EUFAULA AVE, Eufaula, AL 36027",EUFAULA,AL,5/13/24,2024,8/30/24,7/8/24,Hired,Sheila J.,7/15/24,,
2339,"2801 Northwestern Ave, West Lafayette, IN 47906",WEST LAFAYETTE,IN,5/13/24,2024,8/30/24,7/8/24,Hired,Dawn T.,7/18/24,,
2619,"910 Joe Mann Blvd. , Midland, MI 48642",MIDLAND,MI,5/13/24,2024,8/30/24,7/8/24,Hired,Alicia L.,7/8/24,,
4103,"175 Interstate 35 N, Devine, TX 78016",DEVINE,TX,5/27/24,2024,8/30/24,7/8/24,Hired,Julie k.,7/8/24,,
5418,"2020 Bashford Manor Lane, Louisville, KY 40218",LOUISVILLE,KY,5/13/24,2024,8/30/24,7/8/24,Hired,Deandra H.,5/13/24,,
5488,"7530 Tidewater Dr, Norfolk, VA 23505",NORFOLK,VA,5/27/24,2024,8/30/24,7/8/24,Hired,Michelle F.,7/8/24,,
6964,"4150 Goodman Road West, Horn Lake, MS 38637",HORN LAKE,MS,5/27/24,2024,8/30/24,7/8/24,Hired,Shanetra L.,7/10/24,,
106,"1405 Middle Road, Fulton, KY 42041",FULTON,KY,7/16/05,35 Early Hire,6/21/24,TBD,Hired,Lisa B.,6/24/24,6/10-6/14,
532,"308 N Airline Hwy, Gonzales, LA 70737",GONZALES,LA,2023,35 Early Hire,2023,TBD,Hired,Asisha M.,7/1/24,6/24-6/28,
912,"6000 BULLARD AVE, New Orleans, LA 70127",NEW ORLEANS (EAST),LA,2023,35 Early Hire,2023,TBD,Hired,Ashley D.,7/22/24,6/24-6/28,
940,"6770 Westworth Blvd, Westworth Village, TX 76114",WESTWORTH VILLAGE,TX,2023,35 Early Hire,2023,TBD,Hired,Linda W.,7/22/24,6/24-6/28,
2973,"115 West Fm 544, Murphy, TX 75094",MURPHY,TX,2023,35 Early Hire,2023,TBD,Hired,Clarissa C.,7/8/24,6/24-6/28,
3106,"8538 Ih-35 South, San Antonio, TX 78211",SAN ANTONIO (CITY SOUTH),TX,2023,35 Early Hire,2023,TBD,Hired,Lashawn H.,7/8/24,6/24-6/28,
3285,"621 Uptown Blvd, Cedar Hill, TX 75104",CEDAR HILL,TX,2023,35 Early Hire,2023,TBD,Final Interview,Britanya l.,1/0/00,6/24-6/28,
3640,"1118 Silber Rd, Houston, TX 77055",HOUSTON,TX,2023,35 Early Hire,2023,TBD,Hired,Devante C.,7/15/24,6/24-6/28,
4298,"9235 N Sam Houston Pkwy E, Humble, TX 77396",HUMBLE,TX,2023,35 Early Hire,2023,TBD,Hired,Gabrielle G.,7/8/24,6/24-6/28,
5330,"6145 North 35Th Avenue, Phoenix, AZ 85017",PHOENIX (BETHANY),AZ,2023,35 Early Hire,2023,TBD,Hired,Lauren L.,7/15/24,6/24-6/28,
5416,"915 East Randol Mill Road, Arlington, TX 76011",ARLINGTON (N),TX,2023,35 Early Hire,2023,TBD,Hired,Saskia J.,7/15/24,6/24-6/28,
5449,"9929 Hwy 6, Missouri City, TX 77459",MISSOURI CITY,TX,2023,35 Early Hire,2023,TBD,Hired,Roxanne H.,7/8/24,6/24-6/28,
5612,"2391 S Wayside Dr, Houston, TX 77023",HOUSTON (WAYSIDE),TX,2023,35 Early Hire,2023,TBD,Hired,Roderick R.,7/8/24,6/24-6/28,
1631,"1900 Cunningham Drive, Hampton, VA 23666",Hampton - 23666,VA,5/20/24,35 Early Hire,9/6/24,7/29/24,Hired,Joya W.,7/29/24,,
2160,"3500 South Crater Road, Petersburg, VA 23805",Petersburg - 23805,VA,5/20/24,35 Early Hire,9/6/24,7/29/24,Final Interview,#VALUE!,1/0/00,,
583,"19740 Alberta Street, Oneida, TN 37841",Oneida - 37841,TN,5/20/24,35 Early Hire,9/6/24,7/29/24,Final Interview,#VALUE!,1/0/00,,
663,"1815 Decatur Pike, Athens, TN 37303",Athens - 37303,TN,6/3/24,35 Early Hire,9/6/24,7/29/24,Initial Interview,#VALUE!,1/0/00,,
6370,"4331 W. Andrew Johnson Highway, Morristown, TN 37814",Morristown - 37814,TN,6/3/24,35 Early Hire,9/6/24,7/29/24,Final Interview,#VALUE!,1/0/00,,
1923,"3999 Alpine Avenue, Comstock Park, MI 49321",Comstock Park,MI,5/20/24,35 Early Hire,9/6/24,7/29/24,Hired,Katrina H.,7/29/24,,
5411,"152 W Sprague Rd, Ionia, MI 48846",Ionia,MI,5/20/24,35 Early Hire,9/6/24,7/29/24,Initial Interview,#VALUE!,1/0/00,,
2112,"4915 North Pima Road, Scottsdale, AZ 85251",Scottsdale - 85251,AZ,5/20/24,35 Early Hire,9/6/24,7/29/24,Hired,Bunny S.,7/29/24,,
1424,"671 Southpark Blvd, Colonial Heights, VA 23834",Colonial Heights - 23834,VA,5/27/24,35 Early Hire,9/13/24,8/5/24,Hired,Dexter T.,8/5/24,,
1124,"1201 Hwy 31 N.W., Hartselle, AL 35640",Hartselle - 35640,AL,5/6/24,35 Early Hire,8/9/24,8/5/24,Hired,Nicole P.,8/5/24,,
3785,"501 N Navy Blvd, Pensacola, FL 32507",Pensacola - 32507,FL,3/18/24,35 Early Hire,7/5/24,8/5/24,Hired,Anne-Marie J.,8/5/24,,
1237,"590 Jackson Blvd, Erwin, NC 28339",Erwin - 28339,NC,5/27/24,35 Early Hire,9/13/24,8/5/24,Hired,Tammy W.,8/5/24,,
2935,"814 West Bell Avenue, Knoxville, IA 50138",Knoxville - 50138,IA,1/29/24,35 Early Hire,5/3/24,8/5/24,Hired,Rochelle E.,8/5/24,,
252,"215 Grant Way, Du Quoin, IL 62832",Du Quoin - 62832,IL,6/10/24,35 Early Hire,9/13/24,8/5/24,Hired,Deena B.,8/5/24,,
5403,"100 South High Cross Road, Urbana, IL 61802",Urbana - 61802,IL,5/27/24,35 Early Hire,9/13/24,8/5/24,Offer Out ,#VALUE!,1/0/00,,
2754,"1500 North Liberty St., Waynesboro, GA 30830",Waynesboro - 30830,GA,1/15/24,35 Early Hire,5/3/24,8/5/24,Initial Interview,#VALUE!,1/0/00,,
631,"115 ROLLING HILLS CIR, Easley, SC 29642",Easley - 29642,SC,5/27/24,35 Early Hire,9/13/24,8/5/24,Hired,Ben R.,7/15/24,,
3367,"4920 Centre Pointe Drive, North Charleston, SC 29418",North Charleston - 29418,SC,6/10/24,35 Early Hire,9/13/24,8/5/24,Final Interview,#VALUE!,1/0/00,,
1688,"657 Phoenix Drive, Virginia Beach, VA 23452",Virginia Beach - 23452,VA,5/27/24,35 Early Hire,9/20/24,8/12/24,Hired,Shamika R.,8/12/24,,
1122,"3886 Ga Hwy 17, Toccoa, GA 30577",Toccoa - 30577,GA,6/10/24,35 Early Hire,9/27/24,8/19/24,Initial Interview,#VALUE!,1/0/00,,
3302,"9460 W. Sam Houston Pkwy So., Houston, TX 77099",Houston - 77099,TX,6/10/24,35 Early Hire,9/27/24,8/19/24,Hired,Saba D.,8/19/24,,
468,"133 Arkansas Blvd, Texarkana, AR 71854",Texarkana - 71854,AR,6/17/24,35 Early Hire,10/4/24,8/26/24,Hired,Stevie M.,8/26/24,,
233,"300 Leigh Ave, Anna, IL 62906",Anna - 62906,IL,6/17/24,NEW,10/4/24,9/3/24,Hired,#VALUE!,1/0/00,,
5199,"475 East Route 173, Antioch, IL 60002",Antioch - 60002,IL,6/17/24,NEW,10/4/24,9/3/24,Initial Interview,#VALUE!,1/0/00,,
811,"2725 Southeast Hwy 70, Arcadia, FL 34266",Arcadia - 34266,FL,7/15/24,NEW,10/18/24,9/3/24,Sourcing,#VALUE!,1/0/00,,
5777,"450 Providence Road, Brooklyn, CT 6234",Brooklyn - 06234,CT,6/24/24,NEW,10/11/24,9/3/24,Initial Interview,Asiania I.,9/3/24,,
2963,"6001 Coral Ridge Drive, Coral Springs, FL 33076",Coral Springs - 33076,FL,6/17/24,NEW,10/4/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
5124,"5605 West Northern Avenue, Glendale, AZ 85301",Glendale - 85301,AZ,6/3/24,NEW,9/20/24,9/3/24,Hired,Mirko E.,9/3/24,,
2503,"1885 Route 57 - Suite 100, Hackettstown, NJ 7840",Hackettstown - 07840,NJ,6/24/24,NEW,10/11/24,9/3/24,Sourcing,#VALUE!,1/0/00,,
1247,"120 Daniel Boone Plaza, Hazard, KY 41701",Hazard - 41701,KY,7/1/24,NEW,10/18/24,9/3/24,Hired,Tiffany A.,9/3/24,,
2882,"9451 Dunkirk Lane No., Maple Grove, MN 55311",Maple Grove - 55311,MN,7/1/24,NEW,10/18/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
771,"1500 E Merritt Island Cswy, Merritt Island, FL 32952",Merritt Island - 32952,FL,6/24/24,NEW,10/11/24,9/3/24,Initial Interview,#VALUE!,1/0/00,,
6579,"20310 Us 59, New Caney, TX 77357",New Caney - 77357,TX,7/8/24,NEW,9/27/24,9/3/24,Hired,Brandon R.,9/3/24,,
3167,"4301 Chef Menteur Highway, New Orleans, LA 70126",New Orleans - 70126,LA,7/15/24,NEW,10/18/24,9/3/24,Offer Out ,#VALUE!,1/0/00,,
4623,"6111 Jefferson Ave, Newport News, VA 23605",Newport News - 23605,VA,7/8/24,NEW,10/11/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
1599,"11701 Metcalf, Overland Park, KS 66210",Overland Park - 66210,KS,6/17/24,NEW,10/4/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
2295,"7901 Brook Rd, Richmond, VA 23227",Richmond - 23227,VA,7/15/24,NEW,10/18/24,9/3/24,Hired,Asiania I.,9/3/24,,
3112,"4096 N Foster Rd, San Antonio, TX 78244",San Antonio - 78244,TX,7/8/24,NEW,10/11/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
155,"5219 Hwy 51 North, Senatobia, MS 38668",Senatobia - 38668,MS,7/1/24,NEW,10/4/24,9/3/24,Offer Out ,#VALUE!,1/0/00,,
2777,"13770 West Bell Road, Surprise, AZ 85374",Surprise - 85374,AZ,6/10/24,NEW,9/27/24,9/3/24,Hired,Diane L.,9/3/24,,
1223,"5500 Thomasville Road, Tallahassee, FL 32312",Tallahassee - 32312,FL,6/24/24,NEW,10/11/24,9/3/24,Sourcing,#VALUE!,1/0/00,,
2912,"7555 Telegraph Road, Taylor, MI 48180",Taylor - 48180,MI,6/10/24,NEW,9/27/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
2873,"2001 West Maple Road, Troy, MI 48084",Troy - 48084,MI,6/3/24,NEW,10/18/24,9/3/24,Final Interview,#VALUE!,1/0/00,,
5669,"4140 W Greenfield Ave, West Milwaukee, WI 53215",West Milwaukee - 53215,WI,6/10/24,NEW,10/11/24,9/3/24,Initial Interview,#VALUE!,1/0/00,,
5346,"1318 Mebane Oaks Road, Mebane, NC 27302",Mebane - 27302,NC,6/10/24,NEW,9/13/24,9/9/24,Final Interview,#VALUE!,1/0/00,,
4564,"2908 Us Highway 70 W, Goldsboro, NC 27530",Goldsboro - 27530,NC,6/3/24,NEW,9/6/24,9/9/24,Hired,Jordan J.,9/9/24,,
1953,"705 RETAIL WAY, Louisburg, NC 27549",Louisburg - 27549,NC,6/10/24,NEW,9/27/24,9/9/24,Hired,Victoria S.,9/9/24,,
