store_nbr,acct_dept,UPC_Number,description,DEPT_CATEGORY_DESC,SIZE,pack_qty,pack_cost,base_retail
329,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
330,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
331,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
332,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
333,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
334,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
335,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
340,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
343,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
344,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
345,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
346,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
347,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
350,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
351,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
353,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
355,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
356,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
358,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
359,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
360,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
361,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
362,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
363,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
364,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
365,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
366,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
368,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
369,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
370,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
371,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
372,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
374,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
375,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
376,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
381,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
383,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
384,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
386,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
388,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
389,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
391,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
393,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
394,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
395,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
396,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
397,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
400,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
402,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
403,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
404,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
405,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
