Store#,16' Train,8' Train,CRAYOLA ENDCAP,WRITING ENDCAP,HV DUMP BIN CRAYOLA,HV DUMP BIN NEWELL,8' OLDER STUDENT TRAIN,OLDER STUDENT TRAIN ENDCAPS
180,Yes,No,Yes,Yes,Yes,Yes,No,No
181,No,Yes,Yes,Yes,Yes,No,No,No
182,No,Yes,Yes,Yes,Yes,No,No,No
183,No,Yes,Yes,Yes,No,No,No,No
184,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
185,Yes,No,Yes,Yes,Yes,No,No,No
186,Yes,No,Yes,Yes,No,No,No,No
188,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
189,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
190,No,Yes,Yes,Yes,No,No,No,No
192,Yes,No,Yes,Yes,Yes,No,Yes,Yes
194,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
195,Yes,No,Yes,Yes,Yes,Yes,No,No
196,Yes,No,Yes,Yes,Yes,No,Yes,Yes
197,Yes,No,Yes,Yes,Yes,No,Yes,Yes
198,No,Yes,Yes,Yes,No,No,No,No
199,Yes,No,Yes,Yes,Yes,No,No,No
200,Yes,No,Yes,Yes,Yes,No,Yes,Yes
201,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
202,Yes,No,Yes,Yes,Yes,No,Yes,Yes
203,No,Yes,No,No,No,No,No,No
205,No,Yes,Yes,Yes,Yes,No,No,No
206,Yes,No,Yes,Yes,Yes,No,Yes,Yes
207,No,No,No,No,No,No,No,No
211,Yes,No,Yes,Yes,Yes,No,No,No
212,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
213,Yes,No,Yes,Yes,Yes,Yes,No,No
214,Yes,No,No,No,Yes,No,No,No
216,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
217,Yes,No,Yes,Yes,Yes,Yes,No,No
218,No,Yes,Yes,Yes,No,No,No,No
219,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
220,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
221,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
222,No,Yes,No,Yes,No,No,No,No
224,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
225,No,No,No,No,No,No,No,No
226,No,Yes,Yes,Yes,No,No,No,No
227,No,Yes,No,No,No,No,No,No
228,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
229,No,Yes,No,No,No,No,No,No
231,No,Yes,Yes,Yes,No,No,No,No
233,No,Yes,Yes,Yes,No,No,No,No
234,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
236,No,Yes,Yes,Yes,No,No,No,No
237,Yes,No,Yes,Yes,Yes,No,No,No
238,No,Yes,Yes,Yes,No,No,No,No
239,No,No,No,No,No,No,No,No
240,No,Yes,Yes,Yes,No,No,No,No
242,Yes,No,Yes,Yes,No,No,No,No
243,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
246,No,Yes,No,Yes,No,No,No,No
248,Yes,No,Yes,Yes,Yes,No,No,No
249,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
250,No,Yes,No,Yes,No,No,No,No
251,Yes,No,Yes,Yes,Yes,No,No,No
252,No,Yes,No,Yes,No,No,No,No
253,Yes,No,Yes,Yes,Yes,No,No,No
254,No,Yes,Yes,Yes,Yes,No,No,No
256,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
258,Yes,No,Yes,Yes,Yes,No,Yes,Yes
259,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
260,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
261,No,Yes,No,Yes,No,No,No,No
262,Yes,No,Yes,Yes,No,No,No,No
264,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
265,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
266,No,No,No,No,No,No,No,No
267,Yes,No,Yes,Yes,Yes,No,Yes,Yes
268,No,Yes,Yes,Yes,Yes,No,No,No
269,Yes,No,Yes,Yes,Yes,Yes,No,No
271,No,No,No,No,No,No,No,No
272,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
273,No,Yes,Yes,Yes,No,No,No,No
275,No,Yes,Yes,Yes,Yes,No,No,No
276,No,Yes,No,No,Yes,No,No,No
277,No,No,No,No,No,No,No,No
278,Yes,No,Yes,Yes,Yes,No,No,No
279,No,No,No,No,No,No,No,No
280,No,Yes,Yes,Yes,No,No,No,No
282,No,No,No,Yes,No,No,No,No
283,No,Yes,Yes,Yes,No,No,No,No
284,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
285,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
286,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
287,Yes,No,Yes,Yes,No,No,No,No
288,No,Yes,No,Yes,No,No,No,No
290,No,Yes,Yes,Yes,No,No,No,No
292,No,Yes,No,No,No,No,No,No
293,No,Yes,No,Yes,No,No,No,No
294,No,Yes,Yes,Yes,No,No,No,No
295,Yes,No,Yes,Yes,Yes,No,No,No
296,No,No,No,No,No,No,No,No
297,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
298,Yes,No,Yes,Yes,Yes,No,No,No
299,No,No,No,No,No,No,No,No
300,No,Yes,Yes,Yes,No,No,No,No
301,Yes,No,Yes,Yes,No,No,No,No
302,No,Yes,Yes,Yes,No,No,No,No
303,No,Yes,No,Yes,No,No,No,No
304,Yes,No,Yes,Yes,Yes,No,Yes,Yes
305,No,Yes,Yes,Yes,No,No,No,No
306,No,Yes,Yes,Yes,No,No,No,No
307,No,Yes,Yes,Yes,No,No,No,Yes
308,Yes,No,Yes,Yes,No,No,No,No
309,Yes,No,Yes,Yes,No,No,No,No
310,No,No,No,Yes,No,No,No,No
311,No,No,No,No,No,No,No,No
312,No,Yes,Yes,Yes,No,No,No,No
313,Yes,No,Yes,Yes,Yes,Yes,No,No
314,Yes,No,Yes,Yes,No,No,No,No
315,Yes,No,Yes,Yes,Yes,No,No,No
316,Yes,No,Yes,Yes,No,No,No,No
317,No,Yes,Yes,Yes,No,No,No,No
318,No,No,No,No,No,No,No,No
319,Yes,No,Yes,Yes,Yes,No,Yes,Yes
320,No,No,No,No,No,No,No,No
321,Yes,No,Yes,Yes,Yes,No,Yes,Yes
322,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
323,No,No,No,No,No,No,No,No
324,No,Yes,No,No,No,No,No,No
325,No,Yes,Yes,Yes,No,No,No,No
326,No,No,No,No,No,No,No,No
328,Yes,No,Yes,Yes,Yes,No,No,No
329,Yes,No,Yes,Yes,Yes,No,No,No
330,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
331,No,No,No,No,No,No,No,No
332,No,Yes,No,No,Yes,No,No,No
333,No,Yes,Yes,Yes,Yes,No,No,No
334,No,Yes,No,Yes,No,No,No,No
335,Yes,No,Yes,Yes,No,No,Yes,Yes
336,No,No,No,No,No,No,No,No
337,No,Yes,Yes,Yes,No,No,No,No
338,No,Yes,No,Yes,No,No,No,No
340,No,Yes,Yes,Yes,No,No,No,No
341,No,No,No,No,No,No,No,No
342,No,Yes,Yes,Yes,No,No,No,No
343,Yes,No,Yes,Yes,Yes,No,No,No
344,No,Yes,Yes,Yes,No,No,No,No
345,Yes,No,Yes,Yes,Yes,Yes,No,No
346,No,Yes,Yes,Yes,No,No,No,No
347,No,Yes,No,Yes,No,No,No,No
348,No,Yes,No,No,No,No,No,No
350,No,Yes,Yes,Yes,No,No,No,No
351,Yes,No,Yes,Yes,Yes,Yes,No,No
354,No,Yes,No,Yes,No,No,No,No
355,Yes,No,Yes,Yes,Yes,No,No,No
356,No,Yes,Yes,Yes,Yes,No,Yes,Yes
357,No,Yes,Yes,Yes,No,No,No,No
358,No,No,No,No,No,No,No,No
359,No,Yes,No,Yes,No,No,Yes,Yes
360,No,Yes,No,Yes,No,No,No,No
361,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
362,No,Yes,No,No,No,No,No,No
363,No,Yes,Yes,Yes,No,Yes,No,No
364,Yes,No,Yes,Yes,No,No,No,No
365,Yes,No,Yes,Yes,Yes,No,Yes,Yes
366,No,Yes,Yes,Yes,No,Yes,No,No
368,No,Yes,Yes,Yes,No,No,No,No
369,No,Yes,No,Yes,No,No,No,No
370,No,Yes,No,No,No,No,No,No
371,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
372,Yes,No,Yes,Yes,Yes,Yes,No,No
373,No,No,No,No,No,No,No,No
374,No,Yes,Yes,Yes,No,No,No,No
375,Yes,No,Yes,Yes,Yes,No,No,No
376,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
377,No,No,No,No,No,No,No,No
378,No,Yes,No,No,No,No,No,No
379,Yes,No,Yes,Yes,Yes,Yes,No,No
381,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
382,Yes,No,Yes,Yes,Yes,No,No,No
383,Yes,No,Yes,Yes,Yes,No,No,No
384,Yes,No,Yes,Yes,Yes,Yes,No,No
385,No,Yes,Yes,Yes,No,No,No,No
386,No,No,No,Yes,No,No,No,No
387,No,No,No,No,No,No,No,No
388,No,Yes,Yes,Yes,No,No,No,No
389,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
390,No,Yes,No,No,No,No,No,No
391,Yes,No,Yes,Yes,Yes,No,No,No
392,No,Yes,No,Yes,No,No,No,No
393,No,Yes,Yes,Yes,No,No,No,No
394,No,Yes,Yes,Yes,No,No,No,No
395,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
396,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
397,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
398,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
399,Yes,No,Yes,Yes,Yes,Yes,No,No
400,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
401,No,Yes,No,Yes,Yes,No,No,No
402,Yes,No,Yes,Yes,Yes,Yes,No,No
403,No,Yes,Yes,Yes,No,No,No,No
404,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
405,Yes,No,Yes,Yes,No,No,Yes,Yes
406,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
407,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
408,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
409,No,No,No,No,No,No,No,No
410,Yes,No,Yes,Yes,Yes,No,Yes,Yes
412,Yes,No,Yes,Yes,Yes,No,No,No
413,No,Yes,Yes,Yes,Yes,No,No,No
414,Yes,No,Yes,Yes,No,No,No,No
415,Yes,No,Yes,Yes,Yes,No,No,No
416,Yes,No,Yes,Yes,Yes,No,Yes,Yes
417,Yes,No,Yes,Yes,Yes,Yes,No,No
419,No,Yes,No,No,No,No,No,No
420,Yes,No,Yes,Yes,Yes,No,No,No
421,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
422,No,Yes,No,No,No,No,No,No
423,Yes,No,Yes,Yes,Yes,No,No,No
424,Yes,No,No,No,No,No,No,No
425,No,Yes,Yes,Yes,No,Yes,No,No
426,Yes,No,Yes,Yes,Yes,Yes,No,No
427,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
428,No,Yes,Yes,Yes,Yes,No,Yes,Yes
429,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
430,Yes,No,Yes,Yes,Yes,No,No,No
431,Yes,No,Yes,Yes,No,No,No,No
432,No,Yes,Yes,Yes,No,No,No,No
433,No,Yes,Yes,Yes,No,No,No,No
434,No,Yes,Yes,Yes,No,No,No,No
435,Yes,No,Yes,Yes,Yes,No,No,No
436,No,Yes,No,No,No,No,No,No
437,No,Yes,Yes,Yes,Yes,No,No,No
438,No,Yes,No,No,No,No,No,No
440,No,Yes,Yes,Yes,No,No,No,No
442,Yes,No,Yes,Yes,Yes,Yes,No,No
443,No,Yes,Yes,Yes,No,No,No,No
444,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
445,Yes,No,Yes,Yes,Yes,No,No,No
447,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
448,Yes,No,Yes,No,No,No,No,No
449,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
450,Yes,No,Yes,Yes,Yes,No,No,No
451,No,Yes,No,No,No,No,No,No
452,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
453,No,No,No,No,No,No,No,No
454,No,Yes,No,No,No,No,No,No
456,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
457,Yes,No,Yes,Yes,No,Yes,No,No
458,No,Yes,Yes,Yes,Yes,Yes,No,No
459,Yes,No,Yes,Yes,Yes,No,Yes,Yes
461,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
462,Yes,No,Yes,Yes,No,Yes,Yes,Yes
463,Yes,No,Yes,Yes,No,No,No,No
464,Yes,No,Yes,Yes,Yes,Yes,No,No
465,Yes,No,Yes,Yes,Yes,No,No,No
466,No,Yes,Yes,Yes,No,No,No,No
467,Yes,No,Yes,Yes,Yes,Yes,No,No
468,Yes,No,Yes,Yes,Yes,No,No,No
469,No,No,No,No,No,No,No,No
470,Yes,No,Yes,Yes,Yes,Yes,No,No
471,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
472,Yes,No,Yes,Yes,Yes,No,Yes,Yes
475,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
476,No,Yes,Yes,Yes,No,No,No,No
477,No,Yes,Yes,Yes,Yes,No,No,No
478,No,Yes,Yes,Yes,No,No,No,No
479,No,Yes,Yes,Yes,No,No,No,No
480,No,Yes,No,No,No,No,No,No
481,Yes,No,Yes,Yes,Yes,No,No,No
482,No,Yes,Yes,Yes,No,No,No,No
483,Yes,No,Yes,Yes,Yes,No,No,No
484,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
485,No,Yes,No,No,No,No,No,No
486,No,Yes,Yes,Yes,Yes,No,No,No
489,Yes,No,Yes,Yes,Yes,No,No,No
490,Yes,No,Yes,Yes,Yes,Yes,No,No
491,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
492,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
493,No,Yes,Yes,Yes,No,Yes,No,No
494,Yes,No,Yes,Yes,Yes,Yes,No,No
495,Yes,No,Yes,Yes,Yes,No,Yes,Yes
497,Yes,No,Yes,Yes,Yes,No,Yes,Yes
498,No,Yes,No,No,No,No,No,No
499,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
500,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
501,Yes,No,Yes,Yes,Yes,Yes,No,No
502,No,Yes,No,No,No,No,No,No
503,No,Yes,Yes,Yes,No,No,No,No
504,Yes,No,Yes,Yes,Yes,Yes,No,No
505,Yes,No,Yes,Yes,No,No,Yes,Yes
506,No,Yes,No,Yes,No,No,No,No
507,No,Yes,Yes,Yes,No,No,No,No
508,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
510,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
511,Yes,No,Yes,Yes,Yes,No,Yes,Yes
512,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
513,Yes,No,Yes,Yes,Yes,No,No,No
514,Yes,No,Yes,Yes,No,No,No,No
515,Yes,No,Yes,Yes,No,No,No,No
516,Yes,No,Yes,Yes,Yes,Yes,No,No
517,Yes,No,Yes,Yes,Yes,No,Yes,Yes
518,Yes,No,Yes,Yes,Yes,No,Yes,Yes
519,No,No,No,No,No,No,No,No
520,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
521,No,No,No,No,No,No,No,No
522,Yes,No,Yes,Yes,Yes,Yes,No,No
523,No,Yes,No,Yes,Yes,No,No,No
524,No,No,No,No,No,No,No,No
526,Yes,No,Yes,Yes,Yes,No,No,No
527,Yes,No,Yes,Yes,Yes,Yes,No,No
528,Yes,No,Yes,Yes,Yes,No,Yes,Yes
529,Yes,No,Yes,Yes,Yes,Yes,No,No
530,Yes,No,Yes,Yes,Yes,No,No,No
531,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
532,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
533,Yes,No,Yes,Yes,Yes,No,No,No
535,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
536,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
537,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
538,Yes,No,Yes,Yes,Yes,No,Yes,Yes
539,Yes,No,Yes,Yes,Yes,No,Yes,Yes
540,No,Yes,Yes,Yes,No,No,No,No
541,Yes,No,Yes,Yes,Yes,Yes,No,No
