Store,Dept,Inventory Dollars,Format
101,98,20121.05,WM Supercenter
102,80,5523.76,WM Supercenter
102,93,63834.51,WM Supercenter
102,94,28622.89,WM Supercenter
102,98,5171.04,WM Supercenter
103,80,14888.38,WM Supercenter
103,93,97927.83,WM Supercenter
103,94,31002.79,WM Supercenter
103,98,31490.35,WM Supercenter
104,80,13502.22,WM Supercenter
104,93,64200.48,WM Supercenter
104,94,21971.88,WM Supercenter
104,98,16536.21,WM Supercenter
105,80,8847.92,WM Supercenter
105,93,90939.19,WM Supercenter
105,94,24131.72,WM Supercenter
105,98,22618.98,WM Supercenter
106,80,11525.5,WM Supercenter
106,93,46135.97,WM Supercenter
106,94,12389.69,WM Supercenter
106,98,6621.01,WM Supercenter
107,80,9272.78,WM Supercenter
107,93,47933.9,WM Supercenter
107,94,14828.5,WM Supercenter
107,98,21794.64,WM Supercenter
108,80,12080.93,WM Supercenter
108,93,69689.89,WM Supercenter
108,94,24130.02,WM Supercenter
108,98,20848.19,WM Supercenter
109,80,16887.52,WM Supercenter
109,93,52944.14,WM Supercenter
109,94,19872.76,WM Supercenter
109,98,6778.04,WM Supercenter
110,80,11951.93,WM Supercenter
110,93,76180.15,WM Supercenter
110,94,41614.82,WM Supercenter
110,98,15187.08,WM Supercenter
111,80,12804.8,WM Supercenter
111,93,54811.62,WM Supercenter
111,94,18536.23,WM Supercenter
111,98,18191.05,WM Supercenter
112,80,18304.41,WM Supercenter
112,93,60080.01,WM Supercenter
112,94,21816.32,WM Supercenter
112,98,19772.64,WM Supercenter
113,80,18853.25,WM Supercenter
113,93,87208.65,WM Supercenter
113,94,29286.35,WM Supercenter
113,98,25824.69,WM Supercenter
114,80,7615.6,WM Supercenter
114,93,62785.82,WM Supercenter
114,94,20175.12,WM Supercenter
114,98,16951.84,WM Supercenter
115,80,8300.36,WM Supercenter
115,93,37926.07,WM Supercenter
115,94,14561.86,WM Supercenter
115,98,14621.01,WM Supercenter
116,80,80.44,Wal-Mart
116,93,3835.81,Wal-Mart
116,94,-262.08,Wal-Mart
116,98,1731.48,Wal-Mart
117,80,-27.08,Wal-Mart
117,93,-103.24,Wal-Mart
117,94,-121.87,Wal-Mart
117,98,103.71,Wal-Mart
118,80,9704.2,WM Supercenter
118,93,54845.57,WM Supercenter
118,94,21183.25,WM Supercenter
118,98,20041.65,WM Supercenter
119,80,19723.27,WM Supercenter
119,93,87098.29,WM Supercenter
119,94,26548.91,WM Supercenter
119,98,22418.59,WM Supercenter
120,80,9093.06,WM Supercenter
120,93,85737.92,WM Supercenter
120,94,22233.93,WM Supercenter
120,98,15198.68,WM Supercenter
121,80,20694.29,WM Supercenter
121,93,70953.59,WM Supercenter
121,94,24303.21,WM Supercenter
121,98,21728.74,WM Supercenter
122,80,2383.19,WM Supercenter
122,93,59935.77,WM Supercenter
122,94,23148.6,WM Supercenter
122,98,11546.12,WM Supercenter
123,80,21899.29,WM Supercenter
123,93,66036.61,WM Supercenter
123,94,20125.65,WM Supercenter
123,98,7772.24,WM Supercenter
124,80,19785.05,WM Supercenter
124,93,76228.47,WM Supercenter
124,94,23779.08,WM Supercenter
124,98,18452.49,WM Supercenter
125,80,16126.95,WM Supercenter
125,93,104655.14,WM Supercenter
125,94,35767.45,WM Supercenter
125,98,25992.17,WM Supercenter
126,80,13205.3,WM Supercenter
126,93,64907.24,WM Supercenter
126,94,22806.24,WM Supercenter
126,98,18813.15,WM Supercenter
127,80,18959.39,WM Supercenter
127,93,66592.87,WM Supercenter
127,94,22346.74,WM Supercenter
127,98,19340.46,WM Supercenter
128,80,8417.46,WM Supercenter
128,93,70147.37,WM Supercenter
128,94,22881.73,WM Supercenter
