Store Number,Serial Number,SIM Status,SIM Last Update,Acquisitio,Manufacturer Name,Model,Caliber,Firearm Type,Notes,UPC
2285,3957707,----,----,7/5/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
2285,3957706,----,----,7/5/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
2285,4169027,----,----,7/21/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2285,4172213,----,----,7/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2326,4052809,----,----,3/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2326,7CA303754P,----,----,5/6/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2326,4120899,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2326,0022-01317,----,----,7/26/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2326,4176480,----,----,8/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2405,4176474,----,----,8/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2405,4176057,----,----,8/3/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2405,US001979K,----,----,8/12/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2405,US001998K,----,----,8/12/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2531,0019-86486,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2531,4023709,----,----,5/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2531,4023710,----,----,5/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2531,4171823,----,----,7/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2531,US002352K,----,----,8/15/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2531,US000796K,----,----,8/15/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2547,US000752K,----,----,5/16/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2547,0020-96191,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2547,4113884,----,----,5/19/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2547,4121759,----,----,5/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2547,4120994,----,----,5/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2844,4023076,----,----,2/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2844,US000721K,----,----,6/6/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2844,4167473,----,----,7/21/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2844,0021-14623,----,----,7/28/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2911,4095450,----,----,4/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
2911,7CA303708P,----,----,6/23/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2911,US001631K,----,----,6/24/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
2911,4176322,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2911,4176447,----,----,8/2/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2992,7CA350214R,----,----,5/6/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211807
2992,0019-86338,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
2992,4120992,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2992,4120871,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2992,4121005,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
2992,7CA304337P,----,----,6/1/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
2992,4142772,----,----,6/17/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
2992,4151653,----,----,6/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
3221,3995198,----,----,1/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3221,7CA316628P,----,----,1/26/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211807
3221,7CA298264P,----,----,3/29/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
3221,4029439,----,----,4/15/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654310003
3221,4029440,----,----,4/15/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654310003
3221,4095449,----,----,4/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
3221,P428807,----,----,5/2/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,22,22 WMR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",11356474001
3221,4142773,----,----,6/17/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
3221,US001452K,----,----,6/24/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
3221,US001468K,----,----,6/24/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
3221,0022-06314,----,----,7/22/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
3329,MN55862A,----,----,9/14/2018,THE MARLIN FIREARMS CO./MARLIN,60SB,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",26495076450
3329,3956472,----,----,4/12/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
3329,3956471,----,----,4/12/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
3329,3956473,----,----,4/12/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
3329,3956714,----,----,4/12/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
3329,3956715,----,----,4/12/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400001
3329,4029411,----,----,4/15/2022,SAVAGE ARMS CANADA/SAVAGE ARMS,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654310003
3329,4095471,----,----,4/26/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
3329,0020-97007,----,----,5/13/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
3329,US000577K,----,----,5/17/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
3329,4120509,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3329,4120516,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3329,4167439,----,----,7/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
3334,3503501,----,----,6/15/2020,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3334,3909191,----,----,10/20/2021,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654700033
3334,4183653,----,----,8/11/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
3583,3933844,----,----,12/6/2021,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3583,3974900,----,----,12/23/2021,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654700033
3583,0019-48159,----,----,2/10/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
3607,4059223,----,----,4/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
3607,US000477K,----,----,5/25/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
3607,4167451,----,----,7/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
3607,0021-16285,----,----,7/22/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
3607,4176929,----,----,8/2/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3842,4176915,----,----,8/2/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3842,4176900,----,----,8/3/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
3842,4183641,----,----,8/12/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
3842,US002211K,----,----,8/13/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
3842,US002212K,----,----,8/13/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
4403,4073689,----,----,4/6/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
4403,4090626,----,----,4/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
4403,7CA304920P,----,----,4/26/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
4403,0020-96773,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
4403,US000657K,----,----,5/17/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
4403,4145193,----,----,6/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
4597,7CA295280P,----,----,10/18/2021,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211807
4597,4120494,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
4597,4145062,----,----,6/17/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
4597,0021-14701,----,----,8/11/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
4597,US002321K,----,----,8/12/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
4597,US002085K,----,----,8/12/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
5497,7CA298508P,----,----,12/13/2021,CEC/BRAZTECH INTERNATIONAL,RS22,22 LONG RIFLE,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211302
5497,7CA349996R,----,----,4/26/2022,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",754908211807
5497,4113551,----,----,5/20/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
5497,4120487,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
5497,4120480,----,----,5/25/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
5498,4145192,----,----,6/23/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
5498,4176415,----,----,7/29/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
5498,4176890,----,----,8/4/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
5498,4183662,----,----,8/11/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
5498,US002162K,----,----,8/12/2022,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",619835002044
