Store Number,City, State, Article Description,Quantity,Delivery Date, PO Number
854,FRANKFORT,IN,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566954
857,SANFORD,FL,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566928
860,DELAND,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566930
860,DELAND,FL,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566930
865,NEW BRAUNFELS,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38567001
865,NEW BRAUNFELS,TX,GRILL GARAGE 4 RS ADD,3,01/04/2024,38567001
868,CARLSBAD,NM,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670804
868,CARLSBAD,NM,GRILL GARAGE 4 RS STR,1,02/08/2024,38670804
874,NATCHEZ,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670824
874,NATCHEZ,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670824
891,STERLING,IL,GRILL GARAGE 4 RS STR,2,02/08/2024,38670855
894,TULSA,OK,GRILL GARAGE 4 RS STR,1,02/08/2024,38670817
908,ORLANDO,FL,GRILL GARAGE 4 RS ADD,4,02/08/2024,38670555
908,ORLANDO,FL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670555
909,CHALMETTE,LA,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670526
909,CHALMETTE,LA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670526
913,DECORAH,IA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670529
916,HATTIESBURG,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670568
916,HATTIESBURG,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670568
936,EFFINGHAM,IL,GRILL GARAGE 4 RS STR,3,01/04/2024,38566859
936,EFFINGHAM,IL,GRILL GARAGE 4 RS ADD,9,01/04/2024,38566859
940,WESTWORTH VILLAGE,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670608
941,VALRICO,FL,GRILL GARAGE 4 RS STR,4,01/04/2024,38566875
941,VALRICO,FL,GRILL GARAGE 4 RS ADD,4,01/04/2024,38566875
942,OCOEE,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566638
942,OCOEE,FL,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566638
954,HAZLEHURST,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670704
954,HAZLEHURST,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670704
963,WEATHERFORD,TX,GRILL GARAGE 4 RS ADD,9,02/08/2024,38670781
963,WEATHERFORD,TX,GRILL GARAGE 4 RS STR,3,02/08/2024,38670781
964,EL PASO,TX,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670754
964,EL PASO,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670754
967,SPRING HILL,FL,GRILL GARAGE 4 RS STR,2,01/04/2024,38566908
967,SPRING HILL,FL,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566908
970,PICAYUNE,MS,GRILL GARAGE 4 RS ADD,2,02/08/2024,38670690
971,VIROQUA,WI,GRILL GARAGE 4 RS STR,1,02/08/2024,38670763
972,LAKE WORTH,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670793
975,DURANT,OK,GRILL GARAGE 4 RS ADD,4,02/08/2024,38670755
975,DURANT,OK,GRILL GARAGE 4 RS STR,3,02/08/2024,38670755
986,FRISCO,CO,GRILL GARAGE 4 RS STR,1,02/08/2024,38670795
990,MILTON,FL,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670812
990,MILTON,FL,GRILL GARAGE 4 RS STR,1,02/08/2024,38670812
994,NEW PORT RICHEY,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566862
994,NEW PORT RICHEY,FL,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566862
1009,REPUBLIC,MO,GRILL GARAGE 4 RS STR,3,01/04/2024,38566887
1009,REPUBLIC,MO,GRILL GARAGE 4 RS ADD,9,01/04/2024,38566887
1011,RINCON,GA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670579
1011,RINCON,GA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670579
1025,MCCOMB,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670720
